Date,Open,High,Low,Close,Volume,OpenInt
2017-03-29,19.416,19.445,19.416,19.445,204,0
2017-04-24,19.982,19.982,19.982,19.982,101,0
2017-05-01,20.215,20.215,20.215,20.215,181,0
2017-05-04,20.298,20.298,20.298,20.298,202,0
2017-05-05,20.367,20.367,20.367,20.367,289,0
2017-05-10,20.397,20.397,20.397,20.397,109,0
2017-05-15,20.496,20.496,20.496,20.496,389,0
2017-05-16,20.684,20.763,20.684,20.763,228,0
2017-06-13,20.998,20.998,20.998,20.998,253,0
2017-06-19,21.028,21.028,21.028,21.028,101,0
2017-06-20,20.709,20.818,20.709,20.818,283,0
2017-06-23,20.734,20.734,20.734,20.734,100,0
2017-06-27,20.86,20.86,20.86,20.86,474,0
2017-07-06,21.253,21.253,21.253,21.253,104,0
2017-07-12,21.661,21.661,21.482,21.502,1594,0
2017-07-13,21.412,21.442,21.412,21.442,1204,0
2017-07-19,21.312,21.592,21.312,21.592,1103,0
2017-07-20,21.592,21.592,21.592,21.592,0,0
2017-07-31,21.841,21.841,21.841,21.841,401,0
2017-08-01,22.19,22.19,22.19,22.19,301,0
2017-08-08,22.14,22.14,21.739,21.739,501,0
2017-08-16,22.661,22.661,22.661,22.661,262,0
2017-08-22,22.186,22.186,22.186,22.186,525,0
2017-08-23,22.389,22.389,22.389,22.389,112,0
2017-09-05,22.21,22.21,21.646,21.646,856,0
2017-09-14,22.19,22.19,22.19,22.19,501,0
2017-09-15,22.25,22.25,22.25,22.25,0,0
2017-09-19,22.5089,22.5089,22.5089,22.5089,138,0
2017-09-21,22.86,22.86,22.86,22.86,351,0
2017-09-25,22.75,22.75,22.75,22.75,321,0
2017-10-10,23.01,23.22,23.01,23.0983,1069,0
2017-10-11,23.319,23.319,23.2733,23.2733,337,0
2017-10-12,23.2154,23.2154,23.2154,23.2154,281,0
2017-10-13,23.519,23.519,23.519,23.519,120,0
2017-10-24,23.2533,23.2533,23.2533,23.2533,310,0
2017-10-25,23.53,23.53,23.53,23.53,657,0
2017-10-26,23.235,23.235,23.235,23.235,201,0
2017-10-30,22.65,22.65,22.65,22.65,196,0
2017-11-02,23.29,23.29,22.8456,22.8456,704,0
