Date,Open,High,Low,Close,Volume,OpenInt
2017-06-27,49.675,49.675,49.665,49.665,504,0
2017-06-28,49.655,49.655,49.655,49.655,200,0
2017-07-06,49.418,49.418,49.418,49.418,908,0
2017-07-12,49.518,49.518,49.502,49.502,565,0
2017-07-17,49.715,49.715,49.715,49.715,271,0
2017-07-18,49.735,49.735,49.735,49.735,100,0
2017-07-20,49.904,49.904,49.894,49.894,200,0
2017-07-24,50.014,50.024,50.014,50.024,14787,0
2017-07-28,49.972,49.972,49.972,49.972,503,0
2017-07-31,49.994,49.994,49.984,49.994,2515,0
2017-08-01,49.964,49.974,49.964,49.974,200,0
2017-08-03,50.053,50.062,50.053,50.062,603,0
2017-08-04,50.053,50.132,50.053,50.126,5832,0
2017-08-07,50.232,50.252,50.202,50.202,2085,0
2017-08-08,50.202,50.202,50.202,50.202,1006,0
2017-08-09,50.232,50.247,50.184,50.184,2968,0
2017-08-15,50.759,50.759,50.759,50.759,240,0
2017-08-16,50.421,50.421,50.391,50.421,1107,0
2017-08-17,50.371,50.387,50.313,50.313,1006,0
2017-08-22,50.351,50.351,50.351,50.351,100,0
2017-08-23,50.461,50.461,50.461,50.461,100,0
2017-08-24,50.421,50.441,50.321,50.321,502,0
2017-08-25,50.361,50.396,50.361,50.396,9438,0
2017-08-29,50.441,50.491,50.441,50.471,4116,0
2017-08-31,50.6,50.6,50.6,50.6,150,0
2017-09-01,50.546,50.589,50.546,50.546,1566,0
2017-09-05,50.6,50.64,50.6,50.64,2208,0
2017-09-07,50.71,50.71,50.71,50.71,552,0
2017-09-11,50.799,50.799,50.69,50.69,2912,0
2017-09-12,50.76,50.775,50.76,50.76,627,0
2017-09-13,50.71,50.76,50.61,50.61,6044,0
2017-09-14,50.68,50.69,50.68,50.69,402,0
2017-09-15,50.68,50.68,50.68,50.68,402,0
2017-09-18,50.615,50.686,50.615,50.615,809,0
2017-09-20,50.65,50.66,50.511,50.511,3766,0
2017-09-21,50.64,50.64,50.64,50.64,500,0
2017-09-26,50.59,50.67,50.59,50.619,952,0
2017-09-27,50.59,50.607,50.471,50.471,4043,0
2017-09-28,50.521,50.521,50.471,50.471,995,0
2017-09-29,50.491,50.501,50.464,50.491,6062,0
2017-10-04,50.521,50.521,50.521,50.521,301,0
2017-10-05,50.471,50.481,50.461,50.481,1201,0
2017-10-06,50.401,50.401,50.401,50.401,551,0
2017-10-10,50.501,50.501,50.501,50.501,802,0
2017-10-11,50.531,50.531,50.531,50.531,59340,0
2017-10-13,50.62,50.62,50.5,50.5,1726,0
2017-10-16,50.68,50.68,50.623,50.623,401,0
2017-10-17,50.7,50.7,50.7,50.7,1644,0
2017-10-18,50.76,50.76,50.7,50.7,929,0
2017-10-19,50.81,50.81,50.81,50.81,150,0
2017-10-20,50.75,50.75,50.75,50.75,2698,0
2017-10-23,50.81,50.81,50.81,50.81,140,0
2017-10-24,50.76,50.85,50.76,50.7906,1991,0
2017-10-26,50.6436,50.689,50.6436,50.689,361,0
2017-10-27,50.7,50.7,50.65,50.65,589,0
2017-10-30,50.585,50.67,50.585,50.67,2100,0
2017-10-31,50.688,50.688,50.68,50.68,213,0
2017-11-01,50.7,50.7,50.7,50.7,207,0
2017-11-02,50.6,50.61,50.6,50.61,1000,0
2017-11-03,50.95,50.95,50.95,50.95,293,0
2017-11-06,50.89,50.89,50.89,50.89,253,0
2017-11-07,50.86,50.86,50.86,50.86,226,0
2017-11-10,50.95,50.96,50.95,50.95,683,0
