Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.275,10.685,10.275,10.485,216132,0
2005-02-28,10.745,10.92,10.1,10.14,544166,0
2005-03-01,10.085,11.825,10.085,11.665,1815642,0
2005-03-02,11.4,11.55,11.065,11.305,585152,0
2005-03-03,11.115,11.695,10.615,10.66,580260,0
2005-03-04,10.71,10.935,10.33,10.4,534336,0
2005-03-07,10.535,10.94,10.21,10.485,1013080,0
2005-03-08,10.6,10.875,10.285,10.63,426168,0
2005-03-09,10.59,10.86,10.21,10.23,368190,0
2005-03-10,10.205,10.62,9.975,10.09,537696,0
2005-03-11,10.05,10.315,9.525,9.705,1524812,0
2005-03-14,9.125,9.6,8.375,8.4,2534466,0
2005-03-15,8.34,8.545,8.08,8.19,1591958,0
2005-03-16,8.1,8.4,8.1,8.36,537558,0
2005-03-17,8.35,8.35,8.155,8.185,231846,0
2005-03-18,8.125,8.125,7.855,8,443078,0
2005-03-21,7.98,7.98,7.45,7.55,725008,0
2005-03-22,7.5,8.66,7.5,8.36,1545790,0
2005-03-23,8.42,8.6,7.79,7.9,791824,0
2005-03-24,8.085,8.245,7.88,7.975,229916,0
2005-03-28,7.975,8.15,7.785,7.82,355860,0
2005-03-29,7.92,8.055,7.7,7.715,477698,0
2005-03-30,7.7,8.725,7.7,8.375,939250,0
2005-03-31,8.6,8.75,8.47,8.47,880572,0
2005-04-01,8.75,8.95,8.6,8.63,337498,0
2005-04-04,8.59,8.82,8.41,8.71,264170,0
2005-04-05,8.655,9.195,8.655,9.03,378120,0
2005-04-06,9.25,9.25,8.9,8.995,290104,0
2005-04-07,9.125,9.125,8.55,8.62,280298,0
2005-04-08,8.685,8.86,8.685,8.725,151988,0
2005-04-11,8.65,8.7,8.3,8.555,179998,0
2005-04-12,8.41,8.58,8.41,8.52,65476,0
2005-04-13,8.65,8.76,8.45,8.51,80072,0
2005-04-14,8.425,8.54,8.27,8.3,103626,0
2005-04-15,8.255,8.43,8.025,8.03,136994,0
2005-04-18,7.875,8.62,7.875,8.615,362520,0
2005-04-19,8.67,8.75,8.5,8.645,85544,0
2005-04-20,8.74,8.74,8.38,8.435,55960,0
2005-04-21,8.39,8.755,8,8.695,172410,0
2005-04-22,8.695,8.865,8.585,8.67,113510,0
2005-04-25,8.5,8.835,8.5,8.75,131210,0
2005-04-26,8.585,8.645,8.275,8.52,148512,0
2005-04-27,8.41,8.57,8.41,8.545,87802,0
2005-04-28,8.425,8.585,8.425,8.55,70106,0
2005-04-29,8.445,8.755,8.425,8.525,194304,0
2005-05-02,8.54,8.725,8.52,8.65,92240,0
2005-05-03,8.74,8.74,8.575,8.715,56452,0
2005-05-04,8.71,10.575,8.71,10.35,1188752,0
2005-05-05,10.11,10.61,10.05,10.34,568860,0
2005-05-06,10.465,10.5,9.975,10.22,196998,0
2005-05-09,9.325,9.325,7.35,7.35,3774250,0
2005-05-10,7.5,7.5,6.75,6.9,2426366,0
2005-05-11,7.03,7.05,6.615,6.705,770850,0
2005-05-12,6.68,6.85,6.575,6.665,557618,0
2005-05-13,6.625,6.765,6.55,6.59,462708,0
