Date,Open,High,Low,Close,Volume,OpenInt
2017-08-23,88.556,89.802,88.556,89.802,362,0
2017-08-31,91.63,91.63,91.63,91.63,110,0
2017-09-20,86.5,86.5,86.5,86.5,115,0
2017-09-26,84.2123,84.2123,84.2123,84.2123,174,0
2017-09-27,84.21,84.21,83.84,83.84,651,0
2017-10-04,84.9014,85.7867,84.7967,85.7867,540,0
2017-10-06,82.35,82.35,82.34,82.34,300,0
2017-10-10,82.9256,86.2,82.9256,85.7839,730,0
2017-10-19,84.7978,84.7978,84.7978,84.7978,100,0
2017-10-25,84.4,84.4,84.4,84.4,200,0
2017-11-01,85.8499,85.8499,85.8499,85.8499,250,0
2017-11-07,85.85,85.85,85.85,85.85,111,0
2017-11-08,83.2,83.2,83.2,83.2,200,0
