Date,Open,High,Low,Close,Volume,OpenInt
2017-05-04,20,20.25,17,17.5,3942470,0
2017-05-05,17.5,18.44,17.2101,17.91,702282,0
2017-05-08,17.99,19.4,17.97,19.4,351789,0
2017-05-09,19.75,20,19.45,19.85,230650,0
2017-05-10,19.93,21.87,19.16,21.87,304647,0
2017-05-11,21.87,22.7,21.26,21.9,327029,0
2017-05-12,21.91,22.1999,21.43,21.59,70224,0
2017-05-15,21.51,22.32,21.51,21.97,89654,0
2017-05-16,21.9,22.99,21.88,22.85,127943,0
2017-05-17,22.49,23.13,21.75,22.09,251967,0
2017-05-18,21.76,22.5,21.5101,22.42,83742,0
2017-05-19,22.47,23.059,21.65,22.02,241725,0
2017-05-22,22.01,22.2499,20.561,20.9,233495,0
2017-05-23,20.97,22.15,20.655,21.94,160314,0
2017-05-24,22.03,22.03,21.6601,21.84,90401,0
2017-05-25,21.85,23.45,21.6101,22.97,202979,0
2017-05-26,23.19,25.2,22.79,23.79,219668,0
2017-05-30,24.57,25.87,23.71,24.09,802015,0
2017-05-31,24.29,25.4,24.11,25.21,242946,0
2017-06-01,25.46,26.28,24.78,24.89,215178,0
2017-06-02,25.09,25.35,24.01,24.51,187614,0
2017-06-05,24.56,24.81,24.1496,24.75,129315,0
2017-06-06,24.73,24.99,21.67,22.22,308695,0
2017-06-07,22.08,22.618,21.82,22.01,98923,0
2017-06-08,21.84,22.31,21.8301,21.99,40359,0
2017-06-09,21.85,21.99,20.9,21.5,107669,0
2017-06-12,21.74,21.9,21,21.57,232914,0
2017-06-13,21.66,22.835,21.25,22.68,112403,0
2017-06-14,22.64,23.74,22.13,23.52,249450,0
2017-06-15,23.34,23.3968,22.3867,23.08,256196,0
2017-06-16,22.93,25.8,22.76,25.58,606671,0
2017-06-19,25.7,26.87,25.31,25.63,365625,0
2017-06-20,25.5,26.265,25.36,25.58,217612,0
2017-06-21,25.47,26.98,25.14,26.8,259575,0
2017-06-22,26.93,28.34,24.92,25.46,273412,0
2017-06-23,25.55,25.76,24.58,25.33,1293094,0
2017-06-26,25.3,25.6304,24.76,25.01,241714,0
2017-06-27,24.9,25.46,24.9,25.06,104932,0
2017-06-28,25.15,25.33,24.76,24.79,76471,0
2017-06-29,24.65,25.22,24.33,25.13,65856,0
2017-06-30,25.06,25.42,24.59,25,209851,0
2017-07-03,25.18,26.1,25.12,26.01,24069,0
2017-07-05,25.77,26.64,25.04,25.51,48854,0
2017-07-06,25.6,25.6,24.53,24.66,64177,0
2017-07-07,24.81,25,23.53,24.01,160228,0
2017-07-10,23.91,24.65,23.03,24,118604,0
2017-07-11,23.96,24.505,23.015,23.83,160785,0
2017-07-12,23.92,25.17,23.45,24.6,165233,0
2017-07-13,24.56,25.02,24.0578,24.4,93075,0
2017-07-14,24.52,25.27,24.0501,24.73,94721,0
2017-07-17,24.66,25.215,24.38,25.03,51163,0
2017-07-18,24.93,25.32,23.58,24.91,82465,0
2017-07-19,24.87,25,24.22,24.74,39971,0
2017-07-20,24.8,25,24.08,24.33,74101,0
2017-07-21,24.8,25.25,24.1301,24.88,94165,0
2017-07-24,24.77,25.95,24.25,25.79,58390,0
2017-07-25,25.91,26.27,25.31,26.23,86064,0
2017-07-26,26.45,26.45,25.421,26.12,127476,0
2017-07-27,26.07,26.07,24.56,25.25,47552,0
2017-07-28,25.19,25.75,25.1101,25.61,13410,0
2017-07-31,25.61,26.14,25.07,25.76,46008,0
2017-08-01,25.61,25.845,24.47,25.34,59523,0
2017-08-02,25.15,25.78,23.475,23.63,74360,0
2017-08-03,23.81,24.25,23.14,23.54,44002,0
2017-08-04,23.54,23.71,23.01,23.58,22309,0
2017-08-07,23.77,24.14,23.28,23.98,45162,0
2017-08-08,24,24.58,23.77,24.24,74837,0
2017-08-09,24.17,24.4,23.925,24.18,34290,0
2017-08-10,24.07,24.43,23.1872,23.62,61483,0
2017-08-11,23.57,24.6,23.57,24.4,69526,0
2017-08-14,24.22,24.55,22.951,24.41,303584,0
2017-08-15,24.41,25.41,24.33,24.59,172946,0
