Date,Open,High,Low,Close,Volume,OpenInt
2017-01-06,25.86,25.88,25.43,25.55,5800,0
2017-01-09,24.33,24.33,22.96,22.96,4695,0
2017-01-10,23.71,23.71,22.01,22.01,28177,0
2017-01-11,22.23,23.722,21.54,23.21,8493,0
2017-01-12,24.61,24.62,24.1232,24.34,7863,0
2017-01-13,23.85,24,23.43,23.56,3234,0
2017-01-17,24.47,24.5,23.68,23.68,2500,0
2017-01-18,22.23,22.9,21.82,21.97,8462,0
2017-01-19,22.3552,22.36,21.77,21.77,2005,0
2017-01-20,23.54,23.82,23.19,23.25,13730,0
2017-01-23,22.31,23,22.2799,22.9,7070,0
2017-01-24,23.41,23.6701,23.11,23.11,5665,0
2017-01-25,22.84,23.56,22.75,22.886,5638,0
2017-01-26,23.55,24.24,23.46,24.12,12650,0
2017-01-27,23.33,23.41,22.58,23.18,11330,0
2017-01-30,22.73,22.73,22.3,22.5,8620,0
2017-01-31,23.15,23.6,22.61,22.61,13875,0
2017-02-01,23.21,23.84,22.96,23.64,3926,0
2017-02-02,24.1901,24.1901,23.94,23.94,4175,0
2017-02-03,23.75,24.42,23.66,23.87,3980,0
2017-02-06,24.01,24.01,23.07,23.07,3729,0
2017-02-07,22.03,22.0399,21.45,21.81,14307,0
2017-02-08,21.56,22.315,21.0483,22.14,11163,0
2017-02-09,22.99,22.99,22.5,22.78,7745,0
2017-02-10,23.83,24.07,23.78,23.8453,7217,0
2017-02-13,22.6199,22.67,22.5,22.67,3727,0
2017-02-14,23.44,23.4401,23.1,23.1,3305,0
2017-02-15,22.9305,23.16,22.72,22.92,5641,0
2017-02-16,23.2344,23.2773,22.38,23.05,5172,0
2017-02-17,22.54,22.81,22.49,22.71,4940,0
2017-02-21,24.2,24.2,23.97,23.97,13415,0
2017-02-22,22.84,22.84,22.628,22.7,13236,0
2017-02-23,24.08,24.12,23.51,23.68,9811,0
2017-02-24,23.19,23.49,23.19,23.37,6330,0
2017-02-27,23.7,23.7,23.38,23.38,7610,0
2017-02-28,22.88,23.33,22.399,23.33,17146,0
2017-03-01,23.67,23.7303,23.16,23.16,8359,0
2017-03-02,22.03,22.3,21.6499,21.71,30669,0
2017-03-03,21.88,22.54,21.7916,22.3347,38596,0
2017-03-06,22.49,22.8,22.17,22.41,27700,0
2017-03-07,22.98,22.98,22.324,22.324,13828,0
2017-03-08,21.4799,21.9001,18.75,18.85,52863,0
2017-03-09,18.36,18.36,17.1,18.22,52102,0
2017-03-10,18.07,18.07,16.77,16.81,17706,0
2017-03-13,16.92,17.04,16.6,16.82,14599,0
2017-03-14,15.94,16.36,15.65,16.36,26266,0
2017-03-15,16.89,17.37,16.69,17.25,29912,0
2017-03-16,17.25,17.28,16.85,17.19,23436,0
2017-03-17,17.5,17.5,17.04,17.04,6217,0
2017-03-20,16.6,17.072,16.53,16.76,31519,0
2017-03-21,16.8599,16.93,15.86,16,17613,0
2017-03-22,15.52,16.09,15,15.896,10391,0
2017-03-23,15.55,15.61,15.41,15.48,1945,0
2017-03-24,15.5312,15.8001,15.491,15.8,11497,0
2017-03-27,15.12,15.5437,14.9,15.53,12795,0
2017-03-28,15.99,16.43,15.92,16.1344,24977,0
2017-03-29,16.3216,17.2,16.261,17.17,25471,0
2017-03-30,17.65,18.182,17.55,18.16,23843,0
2017-03-31,17.87,18.6,17.87,18.5,24135,0
2017-04-03,18.4,18.46,17.96,18.0598,14463,0
2017-04-04,18.45,19,18.27,18.91,19150,0
2017-04-05,19.54,19.79,18.7,18.7,14941,0
2017-04-06,19.5,19.62,19.45,19.62,6875,0
2017-04-07,19.7733,20.23,19.772,20.16,13606,0
2017-04-10,20.9,21.1332,20.7,21.1332,11448,0
2017-04-11,21.13,21.4474,20.82,21.34,25061,0
2017-04-12,21.75,21.7955,20.94,21.01,13031,0
2017-04-13,21.48,21.51,21.07,21.16,8699,0
2017-04-17,21.16,21.18,20.7,20.7301,18357,0
2017-04-18,20.5803,20.95,20.2132,20.73,5952,0
2017-04-19,20.53,20.66,17.93,18.18,20055,0
2017-04-20,18.18,18.53,17.82,17.95,2958,0
2017-04-21,17.89,17.89,16.47,16.81,17800,0
2017-04-24,16.7,16.7,16.3,16.46,21192,0
2017-04-25,16.18,17.03,16.15,17,9732,0
2017-04-26,16.3402,17.4,16.3,16.57,12598,0
2017-04-27,15.91,16.46,15.45,16.44,19277,0
2017-04-28,16.678,16.7499,16.08,16.3214,15903,0
2017-05-01,16.15,16.15,15.85,15.99,25451,0
2017-05-02,15.92,15.92,14.67,14.94,51279,0
2017-05-03,15.0025,15.15,14.62,15.03,31089,0
2017-05-04,14.18,14.18,12.75,12.86,76551,0
2017-05-05,12.95,13.8899,12.92,13.633,76922,0
2017-05-08,13.69,13.98,13.21,13.75,34704,0
2017-05-09,13.62,13.6752,12.95,13.32,26431,0
