Date,Open,High,Low,Close,Volume,OpenInt
2017-09-08,24.293,24.293,24.241,24.241,509,0
2017-09-11,24.162,24.162,24.162,24.162,412,0
2017-09-13,24.163,24.163,24.163,24.163,101,0
2017-09-14,24.163,24.163,24.163,24.163,0,0
2017-09-15,24.09,24.09,24.09,24.09,410,0
2017-09-22,23.65,23.65,23.65,23.65,305,0
2017-09-28,23.2575,23.2575,23.2575,23.2575,297,0
2017-10-04,24.22,24.33,24.22,24.27,1384,0
2017-10-05,23.8,24.28,23.8,24.28,5351,0
2017-10-06,24.14,24.3545,24.14,24.29,566,0
2017-10-09,24.15,24.15,24.13,24.13,500,0
2017-10-10,24.24,24.25,24.2123,24.25,1500,0
2017-10-11,24.3,24.3,24.1,24.29,900,0
2017-10-12,24.37,24.376,24.32,24.32,1480,0
2017-10-13,24.31,24.31,24.31,24.31,200,0
2017-10-16,24.32,24.37,24.23,24.23,3594,0
2017-10-17,23.95,23.96,23.95,23.96,300,0
2017-10-18,23.85,23.85,23.85,23.85,579,0
2017-10-19,23.68,23.69,23.68,23.69,574,0
2017-10-20,23.84,23.84,23.84,23.84,200,0
2017-10-23,23.71,23.71,23.71,23.71,0,0
2017-10-24,23.79,23.81,23.79,23.81,682,0
2017-10-25,23.9399,23.98,23.9399,23.98,524,0
2017-10-26,24.03,24.03,24.02,24.02,500,0
2017-10-27,24.29,24.29,24.24,24.24,700,0
2017-10-30,24.06,24.06,23.89,23.99,3200,0
2017-10-31,23.89,23.92,23.89,23.92,924,0
2017-11-01,24.045,24.07,24,24,10200,0
2017-11-02,24.06,24.06,24.06,24.06,298,0
2017-11-03,23.87,23.87,23.87,23.87,100,0
2017-11-08,24.13,24.13,24.06,24.07,4908,0
2017-11-09,24.18,24.18,24.18,24.18,200,0
2017-11-10,24.46,24.46,24.3,24.3,800,0
