Date,Open,High,Low,Close,Volume,OpenInt
2001-10-23,16.74,17.465,16.656,17.143,39552671,0
2001-10-24,17.227,18.123,17.143,18.082,7098092,0
2001-10-25,17.959,18.082,17.68,17.918,2474835,0
2001-10-26,17.918,17.959,17.473,17.555,4053225,0
2001-10-29,17.959,17.959,17.143,17.308,2134830,0
2001-10-30,17.473,18.166,17.143,17.992,2701219,0
2001-10-31,18.289,19.584,17.918,18.371,6192913,0
2001-11-01,18.478,18.478,17.72,17.918,3334981,0
2001-11-02,18.042,18.166,17.918,18.108,1436977,0
2001-11-05,18.042,18.123,17.762,17.959,1388667,0
2001-11-06,17.894,18.536,17.834,18.452,843758,0
2001-11-07,18.496,18.496,17.68,17.834,1217387,0
2001-11-08,17.918,17.959,17.629,17.811,1994143,0
2001-11-09,17.555,17.771,17.555,17.638,1943400,0
2001-11-12,17.648,17.959,17.398,17.942,1336952,0
2001-11-13,17.959,17.959,17.762,17.834,834295,0
2001-11-14,18.042,18.042,17.473,17.762,2384034,0
2001-11-15,17.68,17.95,17.638,17.903,1052785,0
2001-11-16,17.959,18.675,17.942,18.166,2247599,0
2001-11-19,17.959,18.568,17.959,18.231,1495243,0
2001-11-20,18.166,18.577,18.166,18.553,1435158,0
2001-11-21,18.618,18.693,18.496,18.666,1233777,0
2001-11-23,18.675,18.675,18.123,18.272,399120,0
2001-11-26,18.042,18.355,17.942,18.231,2934526,0
2001-11-27,18.166,18.452,18.166,18.289,1864501,0
2001-11-28,18.717,18.717,18.355,18.618,1058372,0
2001-11-29,18.618,18.733,18.371,18.675,634972,0
2001-11-30,18.693,18.774,18.536,18.733,2737393,0
2001-12-03,18.759,18.94,18.166,18.733,1259509,0
2001-12-04,18.733,18.767,18.496,18.733,702462,0
2001-12-05,18.799,19.02,18.733,18.94,1663484,0
2001-12-06,18.94,19.443,18.874,19.143,618347,0
2001-12-07,19.02,19.417,18.94,19.143,1427023,0
2001-12-10,19.137,19.137,18.94,19.065,1695654,0
2001-12-11,19.065,19.474,19.065,19.18,1670646,0
2001-12-12,19.311,19.558,19.188,19.311,2347377,0
2001-12-13,19.392,19.474,19.065,19.17,2201227,0
2001-12-14,19.105,19.878,19.105,19.655,2590269,0
2001-12-17,19.823,20.208,19.203,19.344,1560423,0
2001-12-18,19.516,19.664,19.188,19.344,2366799,0
2001-12-19,19.499,19.69,18.774,19.197,3815796,0
2001-12-20,19.197,19.352,18.774,19.252,4442755,0
2001-12-21,18.857,19.236,18.842,19.081,3485499,0
2001-12-24,19.105,19.18,19.02,19.105,1915728,0
2001-12-26,19.188,19.352,18.982,19.02,2612363,0
2001-12-27,19.143,19.516,18.94,19.228,2151458,0
2001-12-28,19.268,19.631,19.105,19.203,2400910,0
2001-12-31,19.268,19.631,19.228,19.59,1937336,0
