Date,Open,High,Low,Close,Volume,OpenInt
2014-10-02,13.3,13.542,12.333,12.536,7231510,0
2014-10-03,12.333,12.565,12.246,12.333,898629,0
2014-10-06,12.575,12.643,12.188,12.304,910727,0
2014-10-07,12.236,12.236,11.453,11.608,724040,0
2014-10-08,11.559,11.608,10.776,10.882,637976,0
2014-10-09,10.776,10.969,9.915,10.128,542082,0
2014-10-10,10.089,10.592,9.925,10.244,439641,0
2014-10-13,10.137,10.544,10.137,10.437,121074,0
2014-10-14,10.282,10.282,9.992,9.992,305261,0
2014-10-15,9.731,9.886,9.2958,9.4506,194373,0
2014-10-16,9.1991,10.147,9.1991,9.992,258434,0
2014-10-17,10.128,10.399,9.896,10.07,195793,0
2014-10-20,9.915,10.06,9.654,9.779,89805,0
2014-10-21,9.673,10.089,9.625,9.934,368914,0
2014-10-22,9.779,9.992,9.4409,9.518,302913,0
2014-10-23,9.538,9.789,9.4312,9.692,84965,0
2014-10-24,9.557,9.673,9.4506,9.518,108977,0
2014-10-27,9.3635,9.528,8.7541,9.1217,207726,0
2014-10-28,9.2281,9.741,8.9959,9.644,308522,0
2014-10-29,9.4796,10.64,9.4119,10.534,438202,0
2014-10-30,10.399,10.921,10.186,10.882,285428,0
2014-10-31,10.669,11.685,10.602,11.356,409905,0
2014-11-03,11.492,11.598,11.337,11.482,126584,0
2014-11-04,11.53,11.608,11.279,11.501,89690,0
2014-11-05,11.608,11.714,11.163,11.617,301379,0
2014-11-06,11.501,11.956,11.453,11.762,241606,0
2014-11-07,11.733,12.043,11.733,11.908,193818,0
2014-11-10,11.849,12.091,11.772,12.014,157943,0
2014-11-11,12.014,12.091,11.434,11.54,200554,0
2014-11-12,11.511,11.762,11.259,11.453,246631,0
2014-11-13,11.608,11.637,11.153,11.346,76637,0
2014-11-14,11.317,11.385,10.805,10.969,116696,0
2014-11-17,11.027,11.327,10.573,10.698,58785,0
2014-11-18,10.766,10.931,10.263,10.447,156821,0
2014-11-19,10.263,10.843,10.244,10.505,179872,0
2014-11-20,10.437,11.124,10.089,10.727,121326,0
2014-11-21,11.056,11.066,10.553,10.737,108554,0
2014-11-24,10.737,10.911,10.65,10.785,116687,0
2014-11-25,10.834,11.027,10.718,10.873,78895,0
2014-11-26,10.795,10.863,10.689,10.727,96591,0
2014-11-28,10.698,10.882,10.35,10.669,129913,0
2014-12-01,10.65,10.766,10.457,10.66,115210,0
2014-12-02,10.65,10.795,10.495,10.495,37855,0
2014-12-03,10.534,10.805,10.292,10.698,63709,0
2014-12-04,10.611,10.979,10.35,10.698,75824,0
2014-12-05,10.582,11.027,10.582,11.018,47088,0
2014-12-08,10.96,11.608,10.737,10.969,68521,0
2014-12-09,10.853,11.182,10.747,11.124,215445,0
2014-12-10,11.018,11.114,10.698,10.727,71839,0
2014-12-11,10.737,10.737,10.166,10.544,135289,0
2014-12-12,10.428,10.544,9.77,10.166,80537,0
2014-12-15,10.34,10.679,10.157,10.215,66212,0
2014-12-16,10.118,10.176,9.625,9.828,119289,0
2014-12-17,9.789,10.089,9.4796,9.915,164201,0
2014-12-18,10.079,10.147,9.712,10.031,167851,0
2014-12-19,10.041,10.041,9.4409,9.663,167367,0
2014-12-22,9.615,9.799,9.4796,9.634,54325,0
2014-12-23,9.654,9.837,9.3732,9.77,84235,0
2014-12-24,9.712,9.915,9.4215,9.615,36051,0
2014-12-26,9.3442,9.779,8.9959,9.3345,189667,0
2014-12-29,9.3442,9.741,9.3442,9.538,103261,0
2014-12-30,9.567,10.157,9.4602,10.137,161936,0
2014-12-31,10.118,10.157,9.692,10.108,110354,0
2015-01-02,10.089,10.631,9.644,10.37,65866,0
2015-01-05,10.389,11.018,10.331,10.863,129240,0
2015-01-06,11.027,11.027,10.302,10.544,41933,0
2015-01-07,10.65,10.911,10.195,10.853,39324,0
2015-01-08,10.853,11.221,10.611,11.008,121809,0
2015-01-09,10.979,10.979,10.756,10.843,48772,0
2015-01-12,10.766,10.921,10.524,10.611,41799,0
2015-01-13,10.495,10.611,9.992,10.389,109308,0
2015-01-14,10.186,10.921,10.186,10.921,50497,0
2015-01-15,10.969,11.134,10.573,10.95,63828,0
2015-01-16,10.892,10.921,10.65,10.785,13321,0
2015-01-20,10.737,11.095,10.66,10.979,69738,0
2015-01-21,10.931,11.511,10.679,11.443,59126,0
2015-01-22,11.588,11.608,11.047,11.405,68263,0
2015-01-23,11.317,11.608,11.317,11.511,67521,0
2015-01-26,11.453,11.598,11.356,11.559,66105,0
2015-01-27,11.511,11.559,11.279,11.482,169216,0
2015-01-28,11.472,11.743,11.192,11.569,42569,0
2015-01-29,11.646,11.666,11.317,11.356,37172,0
2015-01-30,11.308,11.608,11.259,11.521,76607,0
2015-02-02,11.472,11.53,11.201,11.337,109038,0
2015-02-03,11.366,11.559,11.192,11.463,27145,0
2015-02-04,11.327,11.608,11.201,11.317,29821,0
2015-02-05,11.317,11.598,11.23,11.598,22144,0
2015-02-06,11.608,11.608,11.221,11.375,41288,0
2015-02-09,11.414,11.646,11.356,11.472,151657,0
2015-02-10,11.414,11.588,11.288,11.463,40447,0
2015-02-11,11.395,11.598,11.308,11.492,73090,0
2015-02-12,11.463,11.714,11.424,11.54,135624,0
2015-02-13,11.463,11.569,11.211,11.337,31437,0
2015-02-17,11.279,11.317,10.679,10.853,74015,0
2015-02-18,10.873,11.066,10.873,11.027,95428,0
2015-02-19,10.96,11.337,10.95,11.269,47791,0
2015-02-20,11.201,11.453,11.056,11.375,20606,0
2015-02-23,11.472,11.54,11.259,11.395,18530,0
2015-02-24,11.453,11.482,11.288,11.375,19198,0
2015-02-25,11.337,11.695,11.134,11.617,93883,0
2015-02-26,11.608,11.946,11.559,11.801,77895,0
2015-02-27,11.724,11.859,10.65,11.143,379278,0
2015-03-02,11.192,11.192,10.476,10.824,290601,0
2015-03-03,10.834,10.834,10.582,10.737,366896,0
2015-03-04,10.698,11.366,10.669,11.221,102036,0
2015-03-05,11.269,11.405,11.172,11.327,24398,0
2015-03-06,11.269,11.559,11.221,11.317,25431,0
2015-03-09,11.405,11.588,10.64,11.143,34219,0
2015-03-10,11.695,11.695,10.64,10.979,204589,0
2015-03-11,10.95,10.969,10.737,10.805,319134,0
2015-03-12,10.766,10.979,10.718,10.979,91802,0
2015-03-13,10.998,11.076,10.698,10.873,203038,0
2015-03-16,10.843,11.153,10.592,11.085,121058,0
2015-03-17,11.027,11.298,10.94,11.298,51587,0
2015-03-18,11.221,11.434,11.221,11.424,49622,0
2015-03-19,11.385,11.472,11.327,11.414,18608,0
2015-03-20,11.385,11.704,11.385,11.704,41972,0
2015-03-23,11.608,11.608,11.366,11.414,65646,0
2015-03-24,11.453,11.453,11.346,11.443,72263,0
2015-03-25,11.405,11.637,11.356,11.598,82187,0
2015-03-26,11.598,11.598,11.472,11.559,188462,0
2015-03-27,11.579,11.588,11.414,11.521,128295,0
2015-03-30,11.453,11.579,11.385,11.414,83841,0
2015-03-31,11.443,11.656,11.317,11.501,67094,0
2015-04-01,11.434,11.927,11.366,11.801,270236,0
2015-04-02,11.801,11.849,11.724,11.791,21090,0
2015-04-06,11.724,11.849,11.685,11.849,62855,0
2015-04-07,11.849,11.869,11.511,11.637,303325,0
2015-04-08,11.762,12.014,11.704,11.946,71539,0
2015-04-09,12.033,12.091,11.975,12.043,56539,0
2015-04-10,12.14,12.169,12.072,12.159,27913,0
2015-04-13,12.188,12.43,12.14,12.381,83014,0
2015-04-14,12.43,12.565,12.294,12.488,48589,0
2015-04-15,12.536,12.875,12.498,12.72,67947,0
2015-04-16,12.788,12.797,12.604,12.739,61332,0
2015-04-17,12.778,12.778,12.294,12.556,91181,0
2015-04-20,12.556,12.594,12.294,12.498,46409,0
2015-04-21,12.565,12.565,12.323,12.517,23773,0
2015-04-22,12.449,12.478,11.927,12.42,64307,0
2015-04-23,12.411,12.643,12.381,12.498,29980,0
2015-04-24,12.459,12.594,12.381,12.536,71746,0
2015-04-27,12.546,12.643,12.236,12.527,45074,0
2015-04-28,12.449,12.633,12.391,12.565,44040,0
2015-04-29,12.594,12.73,12.546,12.604,21606,0
2015-04-30,12.536,12.817,12.536,12.672,81877,0
2015-05-01,12.701,12.817,12.498,12.643,11475,0
2015-05-04,12.73,12.778,12.556,12.594,52517,0
2015-05-05,12.556,12.681,12.488,12.594,55722,0
2015-05-06,12.604,12.73,12.536,12.546,6280,0
2015-05-07,12.585,12.585,12.314,12.381,25191,0
2015-05-08,12.469,12.488,12.314,12.314,14577,0
2015-05-11,12.285,12.604,12.256,12.498,13129,0
2015-05-12,12.459,12.565,12.285,12.411,17934,0
2015-05-13,12.401,12.681,12.333,12.556,41042,0
2015-05-14,12.604,12.855,12.575,12.72,18195,0
2015-05-15,12.681,12.846,12.585,12.643,15786,0
2015-05-18,12.614,12.884,12.44,12.701,34814,0
2015-05-19,12.681,12.817,12.604,12.672,17058,0
2015-05-20,11.82,13.049,10.863,12.807,500773,0
2015-05-21,12.817,13.039,12.817,12.817,29153,0
2015-05-22,12.836,12.981,12.681,12.778,19435,0
2015-05-26,12.71,12.797,12.411,12.411,12534,0
2015-05-27,12.44,12.594,12.42,12.449,13543,0
2015-05-28,12.42,12.71,12.42,12.575,15502,0
2015-05-29,12.556,12.739,12.44,12.604,22020,0
2015-06-01,12.672,12.759,12.546,12.672,89837,0
2015-06-02,12.633,12.826,12.575,12.662,147918,0
2015-06-03,12.672,13.059,12.498,13.01,196526,0
2015-06-04,12.981,13.059,12.962,13.049,26465,0
2015-06-05,12.904,13.059,12.807,13.03,107722,0
2015-06-08,12.981,13.078,12.914,13.039,144939,0
2015-06-09,13.059,13.068,12.884,13.03,206499,0
2015-06-10,13.059,13.242,13.001,13.204,218388,0
2015-06-11,13.242,13.3,12.972,13.059,265092,0
