Date,Open,High,Low,Close,Volume,OpenInt
2014-01-24,12.5,12.75,12.4,12.5,119738,0
2014-01-27,10.28,12.38,10.1,11.5,158737,0
2014-01-28,11.74,12.38,11.74,12.05,175444,0
2014-01-29,11.47,12.369,11.47,12,72063,0
2014-01-30,12.29,12.4,11.53,11.83,39511,0
2014-01-31,11.88,12.35,11.88,12.35,35478,0
2014-02-03,12.25,12.49,11.891,12.08,119053,0
2014-02-04,12.02,12.2,11.9,12.1,34774,0
2014-02-05,11.99,11.99,11.388,11.51,13998,0
2014-02-06,11.49,11.68,11.3,11.55,24339,0
2014-02-07,11.61,11.82,11.3,11.51,27848,0
2014-02-10,11.39,12,11.33,11.59,26429,0
2014-02-11,11.43,11.49,11.1,11.33,18282,0
2014-02-12,11.8,11.8,11.01,11.1,31594,0
2014-02-13,11.1,11.347,10.9,11.22,46000,0
2014-02-14,11.35,12.2,10.7,11.85,82258,0
2014-02-18,12.06,13,11.5,12.91,127590,0
2014-02-19,12.5,13.25,12.5,13.25,77444,0
2014-02-20,13.29,13.73,12.4,13.65,67137,0
2014-02-21,13.69,13.74,13.3,13.58,30892,0
2014-02-24,13.74,14.1,13.4,13.85,75230,0
2014-02-25,13.85,14.159,13.5,13.99,224022,0
2014-02-26,14.05,14.19,13.56,13.93,37840,0
2014-02-27,13.95,14.413,13.9,14.36,176626,0
2014-02-28,13.98,14.35,13.75,14.03,79849,0
2014-03-03,13.86,14.35,13.55,14.17,124688,0
2014-03-04,14.26,14.89,14.26,14.58,169550,0
2014-03-05,14.83,14.83,14.16,14.48,69174,0
2014-03-06,14.75,14.75,13.884,13.96,69033,0
2014-03-07,13.68,14.5,13.55,14.43,58269,0
2014-03-10,14.3,14.5,13.88,14.47,101842,0
2014-03-11,14.48,14.9,14.105,14.6,91901,0
2014-03-12,14.48,14.6,14.24,14.37,110955,0
2014-03-13,14.53,14.74,14.47,14.67,128414,0
2014-03-14,14.67,14.99,14.57,14.9,83812,0
2014-03-17,14.89,15.45,14.67,15.02,268678,0
2014-03-18,15.24,15.53,14.66,15.18,130952,0
2014-03-19,15.15,15.8,15.11,15.65,89452,0
2014-03-20,15.75,15.819,15.3,15.5,98340,0
2014-03-21,15.5,15.65,14.25,14.75,335664,0
2014-03-24,14.84,14.84,13.74,14.26,108323,0
2014-03-25,14.09,14.18,13.4,13.56,213098,0
