Date,Open,High,Low,Close,Volume,OpenInt
1999-03-16,7.8849,7.8849,7.8849,7.8849,2738,0
1999-03-26,7.825,7.8666,7.825,7.8666,37007,0
1999-03-29,7.9418,7.9964,7.9418,7.9964,25105,0
1999-03-30,8.052,8.052,7.8878,8.052,39707,0
1999-03-31,8.052,8.052,8.052,8.052,2737,0
1999-04-07,8.052,8.052,8.052,8.052,455,0
1999-04-12,8.1579,8.1579,7.8294,7.8294,19178,0
1999-04-19,7.8852,7.9684,7.8852,7.9684,82635,0
1999-04-26,8.1304,8.1304,7.8849,7.8849,2738,0
1999-04-27,7.8842,7.8842,7.8294,7.8294,27397,0
1999-05-05,7.8842,7.8842,7.8294,7.8294,8675,0
1999-05-06,7.9964,7.9964,7.9964,7.9964,5935,0
1999-05-07,7.8294,7.8294,7.8294,7.8294,5937,0
1999-05-10,7.8304,7.8849,7.8304,7.8849,31504,0
1999-05-11,7.9954,7.9954,7.9409,7.9409,2738,0
1999-05-12,7.8868,7.9964,7.8868,7.9964,30581,0
1999-05-13,7.9964,7.9964,7.9964,7.9964,8672,0
1999-05-18,7.8294,7.8294,7.8294,7.8294,2738,0
1999-05-24,7.9123,7.9954,7.9123,7.9409,67564,0
1999-05-25,7.9964,7.9964,7.9964,7.9964,5935,0
1999-05-26,7.9418,7.9964,7.8322,7.9964,79880,0
1999-05-27,8.2097,8.2097,8.2097,8.2097,39739,0
1999-05-28,8.2116,8.3211,8.2116,8.3211,22378,0
1999-06-01,8.5459,8.6556,8.1078,8.1078,15060,0
1999-06-03,8.6551,8.6551,8.6551,8.6551,8671,0
1999-06-07,8.1078,8.1078,8.1078,8.1078,2737,0
1999-06-14,8.6551,8.6551,8.6551,8.6551,455,0
1999-06-15,8.5993,8.5993,8.5993,8.5993,4108,0
1999-06-16,8.5446,8.5993,8.5446,8.5993,5934,0
1999-06-18,8.3211,8.3211,8.3211,8.3211,4110,0
1999-06-21,8.3212,8.3212,7.7739,7.7739,107318,0
1999-06-22,7.8849,7.8849,7.8849,7.8849,4109,0
1999-06-24,7.8294,7.8294,7.8294,7.8294,2738,0
1999-06-25,7.8294,7.8294,7.8294,7.8294,456,0
1999-06-29,7.8849,7.8849,7.8849,7.8849,6847,0
1999-07-02,7.7748,7.8294,7.7748,7.8294,62099,0
1999-07-06,7.8849,7.8849,7.8849,7.8849,36982,0
1999-07-13,7.8849,7.8849,7.8849,7.8849,15067,0
1999-08-03,7.8849,7.8849,7.8849,7.8849,33329,0
1999-08-04,7.8294,7.8294,7.8294,7.8294,8675,0
1999-08-05,7.8842,7.8842,7.8294,7.8294,8675,0
1999-08-06,7.718,7.718,7.718,7.718,21010,0
1999-08-10,7.718,7.718,7.718,7.718,5938,0
1999-08-11,7.8294,7.8294,7.8294,7.8294,18265,0
1999-08-19,7.718,7.718,7.718,7.718,45672,0
1999-09-02,7.7729,7.7729,7.718,7.718,45672,0
1999-09-03,7.7739,7.7739,7.7739,7.7739,12330,0
1999-09-14,7.7195,7.7459,7.7195,7.7459,308223,0
1999-09-23,7.718,7.718,7.718,7.718,30598,0
1999-10-06,7.8849,7.8849,7.8849,7.8849,2738,0
1999-10-20,7.2246,7.6624,7.2246,7.6624,19185,0
1999-10-21,7.8294,7.8294,7.8294,7.8294,16437,0
1999-10-28,7.9409,7.9409,7.9409,7.9409,16433,0
1999-11-01,7.6624,7.6624,7.6624,7.6624,456,0
1999-11-10,7.7739,7.7739,7.7739,7.7739,2740,0
1999-11-12,7.7739,7.7739,7.7739,7.7739,2740,0
1999-11-17,7.7739,7.7739,7.7739,7.7739,22378,0
1999-11-23,7.6624,7.6624,7.6624,7.6624,456,0
1999-11-29,7.6624,7.6624,7.6624,7.6624,8678,0
1999-12-08,7.5512,7.5512,7.5512,7.5512,456,0
1999-12-13,7.5512,7.5512,7.5512,7.5512,456,0
1999-12-17,7.3794,7.421,7.2283,7.3376,184900,0
1999-12-20,7.2283,7.3376,7.0639,7.3376,31503,0
1999-12-21,7.553,7.6624,7.553,7.6624,30602,0
1999-12-31,7.449,7.449,7.449,7.449,2737,0
2000-01-03,7.4769,7.4769,7.4769,7.4769,2737,0
2000-01-13,7.1708,7.1708,7.1708,7.1708,456,0
2000-01-25,7.0893,7.2821,7.0893,7.2821,6848,0
2000-01-26,7.4769,7.4769,7.4769,7.4769,4107,0
2000-01-28,7.4506,7.4769,7.4506,7.4769,219499,0
2000-02-02,7.1151,7.1151,7.1151,7.1151,4111,0
2000-02-08,7.3366,7.3366,7.1987,7.1987,2738,0
2000-02-11,7.117,7.2264,7.117,7.2264,31510,0
2000-02-24,7.0038,7.0038,7.0038,7.0038,456,0
2000-03-14,7.2237,7.2237,7.0596,7.0596,45684,0
2000-03-20,7.1717,7.2264,7.1717,7.2264,8676,0
2000-03-23,7.0596,7.0596,7.0596,7.0596,5939,0
2000-03-27,7.0596,7.0596,7.0596,7.0596,2741,0
2000-04-03,7.1134,7.1134,7.0038,7.0038,6853,0
2000-04-04,7.0038,7.0038,7.0038,7.0038,24673,0
2000-04-05,7.0873,7.0873,7.0873,7.0873,16441,0
2000-04-06,7.0062,7.0873,7.0062,7.0873,30599,0
2000-04-13,7.0038,7.0038,7.0038,7.0038,4112,0
2000-04-14,7.0038,7.0038,7.0038,7.0038,8680,0
2000-04-17,7.0038,7.0038,7.0038,7.0038,5940,0
2000-04-18,7.0038,7.0038,7.0038,7.0038,22389,0
2000-04-20,7.0596,7.0596,7.0596,7.0596,33349,0
2000-04-26,7.0605,7.1151,7.0605,7.1151,153934,0
2000-05-01,7.2271,7.2271,7.1987,7.1987,5937,0
2000-05-03,7.1158,7.1158,7.0873,7.0873,30599,0
2000-05-04,7.1151,7.1151,7.1151,7.1151,2740,0
2000-05-05,7.0038,7.0038,7.0038,7.0038,24673,0
2000-05-12,7.1134,7.1134,7.0038,7.0038,30611,0
2000-05-19,7.0038,7.0038,7.0038,7.0038,8680,0
2000-05-22,7.1151,7.1151,7.1151,7.1151,12789,0
2000-05-23,7.0612,7.1158,7.0612,7.0873,86779,0
2000-05-24,7.1171,7.1171,6.6793,6.6793,41099,0
2000-05-25,6.5677,6.5677,6.5677,6.5677,2740,0
2000-05-31,6.5122,6.5122,6.5122,6.5122,10051,0
2000-06-01,6.5165,6.7905,6.5165,6.7905,18261,0
2000-06-02,6.5677,6.5677,6.5677,6.5677,2740,0
2000-06-06,6.7905,6.7905,6.7905,6.7905,2738,0
2000-06-07,6.5122,6.5122,6.5122,6.5122,5939,0
2000-06-08,6.7347,6.7347,6.7347,6.7347,8675,0
2000-06-09,6.5122,6.5122,6.5122,6.5122,5939,0
2000-06-12,6.5131,6.5677,6.3489,6.5677,76737,0
2000-06-14,6.3544,6.3544,6.3544,6.3544,15061,0
2000-06-15,6.3544,6.4641,6.2996,6.3544,99033,0
2000-06-26,6.1875,6.1875,6.1875,6.1875,456,0
2000-06-28,6.1882,6.1882,6.1597,6.1597,37434,0
2000-06-29,6.1318,6.1318,6.1318,6.1318,8675,0
2000-06-30,6.3544,6.3544,6.3544,6.3544,4107,0
2000-07-12,6.2413,6.2413,6.1318,6.1318,4109,0
2000-07-17,6.1318,6.1318,6.1318,6.1318,456,0
2000-07-19,6.1321,6.2153,6.1321,6.2153,8675,0
2000-07-31,6.0224,6.1318,6.0224,6.1318,68496,0
2000-08-02,6.1875,6.1875,6.1875,6.1875,5936,0
2000-08-07,6.0205,6.0205,6.0205,6.0205,6851,0
