Date,Open,High,Low,Close,Volume,OpenInt
2013-12-10,23.698,24.345,23.61,24.064,18043837,0
2013-12-11,24.607,26.288,24.539,25.139,43224764,0
2013-12-12,25.342,25.832,24.616,24.616,20749989,0
2013-12-13,24.771,25.437,24.684,25.369,12588700,0
2013-12-16,25.749,25.888,25.485,25.739,17136729,0
2013-12-17,25.605,25.721,25.099,25.245,11260767,0
2013-12-18,25.139,25.369,24.714,25.369,12074578,0
2013-12-19,25.237,25.624,24.975,25.265,6863328,0
2013-12-20,25.304,25.624,25.288,25.466,12105293,0
2013-12-23,25.495,25.624,25.199,25.324,7888164,0
2013-12-24,25.149,25.399,25.149,25.389,2992380,0
2013-12-26,25.265,25.495,25.124,25.275,4760344,0
2013-12-27,25.099,25.245,24.094,24.123,13933884,0
2013-12-30,24.064,24.422,23.843,23.967,9201534,0
2013-12-31,23.967,24.422,23.823,24.422,7308913,0
2014-01-02,24.251,24.974,24.241,24.53,9373746,0
2014-01-03,24.907,25.872,24.675,25.673,14100909,0
2014-01-06,25.749,26.308,25.729,26.143,11829444,0
2014-01-07,26.308,26.504,25.795,26.03,11597247,0
2014-01-08,25.515,26.773,25.485,26.724,16614401,0
2014-01-09,27.314,28.63,27.277,28.457,25494593,0
2014-01-10,28.098,28.854,27.808,28.389,16050935,0
2014-01-13,28.225,28.562,27.644,27.711,11318594,0
2014-01-14,27.808,28.088,27.77,27.924,10199572,0
2014-01-15,27.953,28.475,27.76,27.896,10647385,0
2014-01-16,27.991,28.428,27.76,28.379,7752254,0
2014-01-17,28.34,29.036,28.216,29.036,12266334,0
2014-01-21,29.521,29.79,29.213,29.655,11466261,0
2014-01-22,29.724,30.218,29.647,30.179,8515664,0
2014-01-23,29.647,30.429,29.618,30.323,12175229,0
2014-01-24,30.005,30.159,28.928,29.403,14224921,0
2014-01-27,29.433,29.858,27.731,29.193,18110978,0
2014-01-28,29.325,31.148,29.036,30.911,25551550,0
2014-01-29,31.185,32.306,31.049,31.9,22281034,0
2014-01-30,32.266,33.081,32.113,32.693,15420389,0
2014-01-31,32.064,32.963,31.92,32.452,12633771,0
2014-02-03,32.838,33.35,31.967,32.848,20448309,0
2014-02-04,32.925,33.253,32.481,32.935,11760622,0
2014-02-05,32.819,32.858,32.306,32.693,14989240,0
2014-02-06,32.614,33.776,32.597,33.526,13605147,0
2014-02-07,33.698,34.53,33.516,34.502,17922492,0
2014-02-10,34.947,34.966,34.221,34.414,12224463,0
2014-02-11,34.414,34.473,33.263,33.979,12394970,0
2014-02-12,33.747,33.856,33.234,33.554,9704395,0
2014-02-13,32.954,33.892,32.944,33.883,8696003,0
2014-02-14,33.708,34.027,33.099,33.282,7553912,0
2014-02-18,33.581,33.806,33.081,33.186,7328702,0
2014-02-19,33.127,33.94,32.992,33.458,7505226,0
2014-02-20,33.302,34.502,33.302,34.492,9603405,0
2014-02-21,34.609,35.256,34.58,34.986,8086011,0
2014-02-24,35.014,35.459,34.841,35.449,7258224,0
2014-02-25,35.431,35.933,35.315,35.79,9295564,0
2014-02-26,35.903,36.059,35.383,35.544,10872885,0
2014-02-27,35.672,35.741,35.149,35.364,5856787,0
2014-02-28,34.938,35.77,34.889,35.721,8261967,0
2014-03-03,34.986,35.207,34.165,34.918,9819502,0
2014-03-04,35.374,36.233,35.374,36.119,12139293,0
2014-03-05,36.367,36.783,36.282,36.62,9091757,0
2014-03-06,37.026,38.042,37.026,37.538,14482792,0
2014-03-07,37.936,38.004,36.861,37.742,10895817,0
2014-03-10,37.432,38.575,37.288,37.684,11801957,0
2014-03-11,37.402,37.974,36.707,36.833,11694262,0
2014-03-12,36.697,36.833,36.009,36.327,9735465,0
2014-03-13,36.659,36.746,34.58,35.535,12141312,0
2014-03-14,34.821,35.961,34.502,35.149,7443628,0
2014-03-17,35.421,36.534,35.335,36.465,9552953,0
2014-03-18,36.534,36.793,35.873,36.129,5910492,0
