Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.754,9.982,9.691,9.97,1540880,0
2005-02-28,9.97,10.035,9.879,9.926,1237763,0
2005-03-01,9.949,10.021,9.915,9.949,1213314,0
2005-03-02,9.949,10.077,9.926,10.045,1561841,0
2005-03-03,10.043,10.086,9.937,9.97,703184,0
2005-03-04,9.987,10.006,9.915,9.98,1154781,0
2005-03-07,9.98,10.165,9.962,10.103,1452656,0
2005-03-08,10.112,10.116,9.96,9.996,1167023,0
2005-03-09,9.996,10.108,9.928,10.01,1603766,0
2005-03-10,10.01,10.013,9.917,9.982,2464169,0
2005-03-11,9.982,10.063,9.97,10.029,859534,0
2005-03-14,10.006,10.069,9.923,9.949,1385391,0
2005-03-15,9.96,10.075,9.96,9.964,1193221,0
2005-03-16,10.052,10.236,10.052,10.093,2199502,0
2005-03-17,10.108,10.185,10.097,10.143,1533883,0
2005-03-18,10.161,10.324,10.161,10.292,3094855,0
2005-03-21,10.355,10.357,10.226,10.311,1555728,0
2005-03-22,10.331,10.479,10.303,10.322,2023933,0
2005-03-23,10.308,10.308,10.102,10.144,1058696,0
2005-03-24,10.245,10.348,10.238,10.248,1392383,0
2005-03-28,10.315,10.331,10.228,10.228,1085775,0
2005-03-29,10.25,10.343,10.168,10.188,1303279,0
2005-03-30,10.19,10.273,10.177,10.25,712782,0
2005-03-31,10.25,10.25,10.08,10.131,1670165,0
2005-04-01,10.161,10.245,9.926,10.008,2694786,0
2005-04-04,10.018,10.275,10.016,10.259,1664033,0
2005-04-05,10.256,10.38,10.256,10.303,1454405,0
2005-04-06,10.305,10.377,10.256,10.256,1285813,0
2005-04-07,10.28,10.396,10.256,10.359,1549613,0
2005-04-08,10.331,10.39,10.288,10.311,926804,0
2005-04-11,10.303,10.348,10.226,10.263,1256988,0
2005-04-12,10.245,10.513,10.198,10.507,2031794,0
2005-04-13,10.505,10.515,10.268,10.375,1481041,0
2005-04-14,10.375,10.375,9.737,9.788,2779956,0
2005-04-15,9.788,9.788,9.4352,9.55,2677320,0
2005-04-18,9.514,9.693,9.2348,9.664,1678028,0
2005-04-19,9.668,9.931,9.668,9.85,1481925,0
2005-04-20,9.907,9.987,9.704,9.723,1467505,0
2005-04-21,9.747,9.84,9.664,9.803,2044016,0
2005-04-22,9.803,9.874,9.657,9.773,2092939,0
2005-04-25,9.838,9.915,9.714,9.741,2001221,0
2005-04-26,9.741,9.797,9.527,9.535,2821450,0
2005-04-27,9.539,9.564,9.3985,9.533,2485145,0
2005-04-28,9.533,9.533,9.3373,9.3417,1624305,0
2005-04-29,9.3648,9.468,9.2814,9.462,2109093,0
2005-05-02,9.508,9.592,9.456,9.589,1238209,0
2005-05-03,9.589,9.674,9.468,9.527,1130763,0
2005-05-04,9.57,9.617,9.4442,9.537,2333148,0
2005-05-05,9.537,9.707,9.48,9.623,1157398,0
2005-05-06,9.683,9.862,9.683,9.814,1184044,0
2005-05-09,9.811,9.885,9.547,9.868,921997,0
2005-05-10,9.868,9.871,9.601,9.672,879624,0
2005-05-11,9.695,9.834,9.55,9.765,768255,0
2005-05-12,9.765,9.854,9.462,9.57,1543934,0
2005-05-13,10.018,10.647,10.006,10.519,5760817,0
2005-05-16,10.442,11.094,10.442,10.667,4172770,0
2005-05-17,10.674,10.984,10.667,10.919,2447586,0
2005-05-18,10.977,11.072,10.933,11.031,1961914,0
2005-05-19,11.048,11.159,10.922,11.048,1648749,0
2005-05-20,10.99,11.088,10.683,10.99,1946185,0
2005-05-23,10.994,11.224,10.994,11.104,2472909,0
2005-05-24,10.76,10.76,10.359,10.573,7447572,0
2005-05-25,10.075,10.24,9.805,9.939,5504435,0
2005-05-26,9.939,10.131,9.939,10.077,2635391,0
2005-05-27,10.126,10.126,9.935,9.975,2155400,0
2005-05-31,9.982,9.982,9.771,9.857,2516150,0
2005-06-01,9.879,10.043,9.733,9.889,2436664,0
2005-06-02,9.915,9.915,9.617,9.67,2551968,0
2005-06-03,9.693,9.731,9.3253,9.3767,4636601,0
2005-06-06,9.2751,9.512,9.2658,9.48,4166657,0
2005-06-07,9.503,9.566,9.3985,9.4521,2444524,0
2005-06-08,9.456,9.791,9.454,9.704,3930373,0
2005-06-09,9.649,9.672,9.541,9.572,1754019,0
2005-06-10,9.57,9.681,9.485,9.537,1663612,0
2005-06-13,9.537,9.749,9.527,9.731,2847646,0
2005-06-14,9.788,9.874,9.756,9.838,3350363,0
2005-06-15,9.845,9.864,9.756,9.828,1943997,0
2005-06-16,9.875,9.933,9.831,9.842,1071801,0
2005-06-17,9.891,9.947,9.635,9.685,2875169,0
2005-06-20,9.631,9.668,9.4054,9.489,2645869,0
2005-06-21,9.48,9.503,9.3604,9.473,2497809,0
2005-06-22,9.53,9.607,9.3985,9.4999,1742220,0
2005-06-23,9.503,9.503,9.2589,9.2726,1783275,0
2005-06-24,9.2589,9.2703,8.8202,9.1016,9942321,0
2005-06-27,9.1346,9.1346,8.6551,8.7414,6320300,0
2005-06-28,8.8423,8.9256,8.7624,8.833,2475532,0
2005-06-29,8.8542,8.8738,8.6713,8.8246,3763093,0
2005-06-30,8.8468,8.9415,8.8202,8.8399,1730428,0
2005-07-01,8.8596,8.8808,8.586,8.6413,1722131,0
2005-07-05,8.6043,8.8691,8.5974,8.8349,1318123,0
2005-07-06,8.8158,8.8158,8.5629,8.6132,1531708,0
