Date,Open,High,Low,Close,Volume,OpenInt
2011-11-03,9.45,10,9.02,9.35,14441,0
2011-11-04,9.5,9.5,9.03,9.15,12123,0
2011-11-07,9.49,9.49,9.05,9.19,20405,0
2011-11-08,9.15,9.3,9.15,9.25,17902,0
2011-11-09,9.3,9.3,9.1,9.27,1656,0
2011-11-10,9.15,9.15,9.15,9.15,1000,0
2011-11-11,9.15,9.44,9.04,9.39,11237,0
2011-11-14,9.25,9.5,9.25,9.41,3042,0
2011-11-15,9.42,9.42,9.16,9.4,8650,0
2011-11-16,9.35,9.4,9.09,9.24,5392,0
2011-11-17,9.27,9.33,9.08,9.25,1600,0
2011-11-18,9.2,9.25,9.08,9.25,1342,0
2011-11-21,9.34,9.35,9.26,9.3,701,0
2011-11-22,9.11,9.25,9.11,9.2,17509,0
2011-11-23,9.19,9.19,9.19,9.19,100,0
2011-11-25,9.1,9.1,8.91,8.92,4600,0
2011-11-28,8.9,8.9,8.13,8.5,19002,0
2011-11-29,8.41,8.67,8.41,8.58,2160,0
2011-11-30,8.6,8.65,8.25,8.5,4433,0
2011-12-01,8.4,8.71,7.86,8.4,24156,0
2011-12-02,8.37,8.38,8,8.15,8098,0
2011-12-05,7.9,8,7.2,7.89,55459,0
2011-12-06,5.43,8.74,5.43,8.02,43692,0
2011-12-07,8,8.47,7.98,8.47,16594,0
2011-12-08,8.48,8.48,8,8.25,24751,0
2011-12-09,8.07,8.07,7.82,8,15804,0
2011-12-12,7.76,8.1,7.7,8.1,23961,0
2011-12-13,8.25,8.54,7.95,8,48723,0
2011-12-14,8,8.01,6.47,7.52,128132,0
2011-12-15,8.26,9.32,8.15,9.01,2142247,0
2011-12-16,8.79,9.5,8.44,9.5,184118,0
2011-12-19,9.55,10.1,8.8,9.85,107456,0
2011-12-20,10.25,10.5,9.5,9.51,126475,0
2011-12-21,9.06,9.89,9.02,9.86,27294,0
2011-12-22,9.93,9.97,9.67,9.88,15050,0
2011-12-23,9.4,10.08,9.4,9.86,24180,0
2011-12-27,9.5,10,9.5,9.85,13615,0
2011-12-28,9.61,9.85,9.51,9.53,31260,0
2011-12-29,9.65,9.85,9.6,9.83,72798,0
2011-12-30,9.85,9.97,9.798,9.97,47559,0
2012-01-03,9.82,9.97,9.71,9.92,76047,0
2012-01-04,9.71,10.05,9.71,9.74,46828,0
2012-01-05,9.72,9.95,9.38,9.77,51551,0
2012-01-06,10.49,11.81,10,11.36,464316,0
2012-01-09,11.02,11.3,10.82,11.3,59609,0
2012-01-10,10.9,11.56,10.8,11.46,61128,0
2012-01-11,11.49,11.5,11.21,11.32,30625,0
2012-01-12,11.5,11.75,11.31,11.4,93477,0
2012-01-13,11.35,11.48,11.21,11.32,19797,0
2012-01-17,11.36,11.44,11,11.39,59519,0
2012-01-18,11.45,11.7,11.1,11.54,43346,0
2012-01-19,12.02,12.13,11.48,11.48,72810,0
2012-01-20,11.4,11.66,11.35,11.59,20408,0
2012-01-23,11.46,11.6,11.25,11.28,64735,0
2012-01-24,11.32,11.34,11.14,11.21,23863,0
2012-01-25,11.16,11.16,10.75,10.83,86240,0
2012-01-26,10.83,11.18,10.65,11.03,81219,0
2012-01-27,11,11.46,10.81,11.44,210655,0
2012-01-30,11.37,11.84,11.37,11.8,34063,0
2012-01-31,11.87,12.63,11.87,12.25,179597,0
2012-02-01,12.25,12.54,12.01,12.3,75272,0
2012-02-02,12.46,12.72,12.07,12.62,45360,0
2012-02-03,12.51,12.9,12.42,12.55,82167,0
2012-02-06,12.47,13,12.45,12.77,96367,0
2012-02-07,12.89,13.15,12.65,12.81,54096,0
2012-02-08,12.82,13.49,12.75,13.2,40517,0
2012-02-09,13.2,13.5,13.09,13.3,54533,0
2012-02-10,13.32,13.44,13,13.19,77330,0
2012-02-13,13.28,13.35,12.95,12.95,147032,0
2012-02-14,13.13,13.25,13,13.15,77112,0
2012-02-15,13.1,13.46,13.09,13.16,47913,0
2012-02-16,13.19,13.71,13.19,13.65,285476,0
2012-02-17,13.5,14.09,13.5,13.87,87723,0
2012-02-21,15.02,15.02,14.04,14.22,119465,0
2012-02-22,14.65,14.75,13.82,13.89,27936,0
2012-02-23,13.89,14.25,13.77,13.85,85219,0
2012-02-24,13.99,14.12,13.86,13.92,65133,0
2012-02-27,14.09,14.24,13.85,13.93,43519,0
2012-02-28,14.1,14.14,13.79,14,38505,0
2012-02-29,14.01,14.07,13.88,13.99,33915,0
2012-03-01,14.08,14.08,13.83,13.89,19925,0
2012-03-02,13.85,13.85,13.08,13.75,59705,0
2012-03-05,14.17,14.59,13.85,14.06,139861,0
2012-03-06,14.07,14.17,13.67,13.73,19489,0
2012-03-07,13.77,14,13.54,14,29408,0
2012-03-08,13.25,14.27,13.09,14.22,122224,0
2012-03-09,14.27,15.36,13.47,14.75,109849,0
2012-03-12,14.59,14.86,14.52,14.75,93299,0
2012-03-13,14.91,15.13,14.7,15.07,75617,0
2012-03-14,15,15.29,14.99,15.24,77667,0
2012-03-15,15.45,16.36,15.1,16.23,74027,0
2012-03-16,16.27,16.5,15.91,16.32,42822,0
2012-03-19,16.48,16.49,15.93,15.96,41461,0
2012-03-20,15.75,16.05,15.41,15.74,75973,0
2012-03-21,15.5,16.25,15.28,16.14,69627,0
2012-03-22,16.12,16.28,15.8,15.9,133714,0
2012-03-23,15.84,15.84,15.5,15.67,17781,0
2012-03-26,15.43,16.12,15.43,15.84,40538,0
2012-03-27,15.8,16.32,15.8,16.19,55201,0
2012-03-28,16.14,16.14,15.75,15.96,80056,0
2012-03-29,15.89,16.45,15.83,16.38,15984,0
2012-03-30,16.5,16.5,16.17,16.3,23830,0
2012-04-02,16.27,16.77,16.12,16.76,43540,0
2012-04-03,16.71,16.83,16.05,16.19,42521,0
2012-04-04,16.25,16.25,15.8,15.82,39229,0
2012-04-05,15.94,16.05,15.51,15.54,44715,0
2012-04-09,15.5,16.1,15.35,15.49,56991,0
2012-04-10,15.49,15.69,14.64,15.12,95453,0
2012-04-11,15.17,15.42,14.4,14.89,53222,0
2012-04-12,15.08,15.29,14.89,15.02,123515,0
2012-04-13,14.96,15.19,14.5,14.84,90991,0
2012-04-16,14.79,15.06,14.69,14.9,112057,0
