Date,Open,High,Low,Close,Volume,OpenInt
2017-09-28,17.25,24.935,14.56,24,2739069,0
2017-09-29,22.21,22.57,18.38,19.2,259195,0
2017-10-02,19.89,19.89,17.661,19.13,231051,0
2017-10-03,19,20.77,18.999,19.95,300041,0
2017-10-04,20.07,20.304,19.3,19.8,92861,0
2017-10-05,19.82,19.82,18.625,18.87,99820,0
2017-10-06,18.71,18.71,16.28,16.75,240073,0
2017-10-09,16.48,17.63,16.415,17.5,116171,0
2017-10-10,17.63,18.26,17.02,17.24,97668,0
2017-10-11,17.5,17.5,17.03,17.33,69618,0
2017-10-12,17.33,18.55,17.26,18.42,53046,0
2017-10-13,17.97,18.67,17.33,18.43,96580,0
2017-10-16,18.88,19.4,18.45,18.95,119307,0
2017-10-17,19.2,19.35,18.55,19.35,150766,0
2017-10-18,19.2552,19.48,19,19.45,34072,0
2017-10-19,19.26,19.26,18.6106,19.1,28711,0
2017-10-20,19.1,19.15,18.77,19,58278,0
2017-10-23,19,19,18.01,18.7,55481,0
2017-10-24,19,19,18.7,18.77,40552,0
2017-10-25,18.085,18.95,18.08,18.95,27704,0
2017-10-26,18.95,20.4,18.765,19.65,48050,0
2017-10-27,20.4,21.23,20,20.8,432874,0
2017-10-30,20.5,20.89,20.17,20.75,21573,0
2017-10-31,20.8,21.95,20.22,21.95,28079,0
2017-11-01,22.31,23.33,21.6201,22.99,111069,0
2017-11-02,23,23.47,21.66,23,57561,0
2017-11-03,23.38,23.38,21.78,22.78,48583,0
2017-11-06,22.35,22.5744,21.455,22.31,81213,0
2017-11-07,21.795,23.06,21.57,22.63,46772,0
2017-11-08,22.49,22.49,20.67,21.84,27914,0
2017-11-09,21.75,21.84,20.5,21.3,30985,0
2017-11-10,21.23,21.23,19.01,20.01,96173,0
