Date,Open,High,Low,Close,Volume,OpenInt
2016-06-06,25.602,25.602,25.584,25.602,2053,0
2016-06-07,25.602,25.602,25.602,25.602,0,0
2016-06-08,25.602,25.602,25.602,25.602,0,0
2016-06-09,25.602,25.602,25.602,25.602,0,0
2016-06-10,25.435,25.436,25.435,25.436,719,0
2016-06-13,25.417,25.417,25.329,25.329,206,0
2016-06-14,25.329,25.329,25.329,25.329,0,0
2016-06-15,25.329,25.329,25.329,25.329,0,0
2016-06-16,25.007,25.047,25.007,25.047,206,0
2016-06-17,25.125,25.125,25.125,25.125,102,0
2016-06-20,25.125,25.125,25.125,25.125,0,0
2016-06-21,25.125,25.125,25.125,25.125,0,0
2016-06-22,25.125,25.125,25.125,25.125,0,0
2016-06-23,25.801,25.801,25.801,25.801,102,0
2016-06-24,25.801,25.801,25.801,25.801,0,0
2016-06-27,25.801,25.801,25.801,25.801,0,0
2016-06-28,25.801,25.801,25.801,25.801,0,0
2016-06-29,24.569,24.569,24.375,24.375,205,0
2016-06-30,24.727,24.727,24.727,24.727,204,0
2016-07-01,24.727,24.727,24.727,24.727,0,0
2016-07-05,24.727,24.727,24.727,24.727,0,0
2016-07-06,24.492,24.492,24.384,24.458,511,0
2016-07-07,24.55,24.55,24.55,24.55,102,0
2016-07-08,24.95,24.95,24.95,24.95,205,0
2016-07-11,24.95,24.95,24.95,24.95,0,0
2016-07-12,25.732,25.732,25.655,25.655,205,0
2016-07-13,25.655,25.655,25.655,25.655,102,0
2016-07-14,26.122,26.122,25.85,26.006,1105,0
2016-07-15,26.006,26.006,26.006,26.006,0,0
2016-07-18,26.006,26.006,26.006,26.006,0,0
2016-07-19,26.006,26.006,26.006,26.006,0,0
2016-07-20,26.006,26.006,26.006,26.006,0,0
2016-07-21,26.203,26.203,26.203,26.203,230,0
2016-07-22,26.203,26.203,26.203,26.203,0,0
2016-07-25,26.142,26.142,26.142,26.142,103,0
2016-07-26,26.142,26.142,26.142,26.142,0,0
2016-07-27,26.084,26.142,26.084,26.142,307,0
2016-07-28,26.24,26.24,26.24,26.24,230,0
2016-07-29,26.24,26.24,26.24,26.24,0,0
2016-08-01,26.24,26.24,26.24,26.24,0,0
2016-08-02,26.24,26.24,26.24,26.24,0,0
2016-08-03,26.24,26.24,26.24,26.24,0,0
2016-08-04,25.976,25.976,25.976,25.976,230,0
2016-08-05,25.976,25.976,25.976,25.976,0,0
2016-08-08,25.976,25.976,25.976,25.976,0,0
2016-08-09,25.976,25.976,25.976,25.976,0,0
2016-08-10,25.976,25.976,25.976,25.976,0,0
2016-08-11,25.976,25.976,25.976,25.976,0,0
2016-08-12,26.224,26.24,26.211,26.211,982,0
2016-08-15,26.211,26.211,26.211,26.211,0,0
2016-08-16,26.093,26.093,26.093,26.093,563,0
