Date,Open,High,Low,Close,Volume,OpenInt
2016-12-06,24.318,24.406,24.308,24.308,3139224,0
2016-12-07,23.968,24.316,23.327,24.298,11614,0
2016-12-08,24.298,24.308,22.504,24.288,7918,0
2016-12-09,24.31,24.316,24.298,24.298,3941,0
2016-12-12,24.289,24.397,24.261,24.327,12851,0
2016-12-13,24.31,24.328,24.289,24.328,16935,0
2016-12-14,24.027,24.348,24.027,24.222,32661,0
2016-12-15,24.29,24.328,24.268,24.292,18081,0
2016-12-16,24.277,24.328,24.241,24.241,14908,0
2016-12-19,24.278,26.234,24.249,24.276,9493,0
2016-12-20,24.495,24.495,24.261,24.291,22798,0
2016-12-21,24.328,24.328,24.241,24.328,21187,0
2016-12-22,24.805,24.805,24.251,24.338,32019,0
2016-12-23,24.338,24.338,24.251,24.251,27366,0
2016-12-27,24.292,24.358,24.261,24.261,9048,0
2016-12-28,24.358,24.358,24.283,24.286,9557,0
2016-12-29,24.306,24.358,24.251,24.294,10313,0
2016-12-30,24.348,24.397,24.28,24.315,24495,0
2017-01-03,24.289,24.397,24.289,24.298,17158,0
2017-01-04,24.298,24.378,24.289,24.378,2497967,0
2017-01-05,24.308,24.416,24.308,24.338,18208,0
2017-01-06,24.308,24.406,24.308,24.318,13761,0
2017-01-09,24.397,24.426,24.338,24.338,28511,0
2017-01-10,24.338,24.358,24.328,24.328,12581,0
2017-01-11,24.348,24.416,24.338,24.338,21264,0
2017-01-12,24.308,24.39,24.308,24.328,18380,0
2017-01-13,24.318,24.416,24.318,24.328,23629,0
2017-01-17,24.308,24.402,24.308,24.338,24200,0
2017-01-18,24.853,24.853,24.318,24.318,28512,0
2017-01-19,24.358,24.388,24.251,24.296,16280,0
2017-01-20,24.344,24.394,24.344,24.364,90613,0
2017-01-23,24.334,24.363,24.266,24.307,49371,0
2017-01-24,24.198,24.359,24.198,24.334,54791,0
2017-01-25,24.782,24.782,24.314,24.337,22505,0
2017-01-26,24.354,24.372,24.324,24.324,23880,0
2017-01-27,24.364,24.384,24.312,24.359,36006,0
2017-01-30,24.354,24.374,24.257,24.374,48868,0
2017-01-31,24.304,24.364,24.266,24.276,31668,0
2017-02-01,24.314,24.374,24.271,24.314,23331,0
2017-02-02,24.313,24.34,24.286,24.314,23758,0
2017-02-03,24.33,24.374,24.286,24.304,48597,0
2017-02-06,24.331,24.351,24.304,24.334,41396,0
2017-02-07,24.344,24.374,24.314,24.337,16987,0
2017-02-08,24.324,24.361,24.314,24.344,18992,0
2017-02-09,24.353,24.383,24.324,24.344,17243,0
2017-02-10,24.344,24.402,24.334,24.354,139495,0
2017-02-13,24.364,24.404,24.364,24.374,25319,0
2017-02-14,24.384,24.442,24.374,24.384,24177,0
2017-02-15,24.384,24.429,24.374,24.394,29367,0
2017-02-16,24.419,24.451,24.354,24.442,36207,0
2017-02-17,24.41,24.433,24.384,24.429,23065,0
2017-02-21,24.394,24.441,24.384,24.402,21770,0
2017-02-22,24.386,24.473,24.386,24.439,21079,0
2017-02-23,24.356,24.473,24.356,24.444,18900,0
2017-02-24,24.434,24.463,24.424,24.434,19544,0
2017-02-27,24.444,24.463,24.424,24.425,13204,0
2017-02-28,24.453,24.49,24.444,24.444,19426,0
2017-03-01,24.434,24.54,24.434,24.52,26418,0
2017-03-02,24.463,24.529,24.463,24.473,23349,0
2017-03-03,24.493,24.534,24.483,24.493,20603,0
2017-03-06,24.453,24.546,24.444,24.453,34781,0
2017-03-07,24.424,24.493,24.395,24.404,32775,0
2017-03-08,24.326,24.459,24.326,24.356,33782,0
2017-03-09,24.386,24.386,24.316,24.316,33156,0
2017-03-10,24.356,24.444,24.249,24.306,34735,0
2017-03-13,24.2,24.343,24.2,24.296,16730,0
2017-03-14,24.249,24.404,24.249,24.259,26097,0
2017-03-15,24.356,24.386,24.296,24.386,12903,0
2017-03-16,24.374,24.433,24.366,24.411,17692,0
2017-03-17,24.122,24.435,23.956,24.366,25650,0
2017-03-20,24.448,24.463,24.366,24.366,21177,0
2017-03-21,24.366,24.433,24.259,24.287,20738,0
2017-03-22,24.883,24.883,24.249,24.259,28707,0
2017-03-23,24.21,24.34,24.21,24.287,13022,0
2017-03-24,24.2,24.348,24.2,24.239,32942,0
2017-03-27,24.015,24.366,24.015,24.331,34321,0
2017-03-28,23.927,24.406,23.927,24.366,14869,0
2017-03-29,24.21,24.444,24.21,24.346,28772,0
2017-03-30,24.249,24.422,24.249,24.386,26498,0
2017-03-31,24.404,24.487,24.346,24.404,32897,0
2017-04-03,24.356,24.469,24.356,24.434,36393,0
2017-04-04,24.503,24.524,24.424,24.424,18943,0
2017-04-05,24.434,24.551,24.434,24.453,21828,0
2017-04-06,24.453,24.541,24.404,24.404,26263,0
2017-04-07,24.544,24.591,24.439,24.483,21030,0
2017-04-10,24.493,24.58,24.434,24.453,43048,0
2017-04-11,24.444,24.6,24.444,24.513,152498,0
2017-04-12,24.414,24.578,24.414,24.513,31339,0
2017-04-13,24.444,24.639,24.444,24.493,35253,0
2017-04-17,24.513,24.625,24.503,24.513,18344,0
2017-04-18,24.503,24.591,24.503,24.503,23089,0
2017-04-19,24.55,24.557,24.483,24.483,26442,0
2017-04-20,24.525,24.629,24.485,24.505,25205,0
2017-04-21,24.515,24.564,24.495,24.505,30590,0
2017-04-24,24.532,24.592,24.518,24.534,17283,0
2017-04-25,24.6,24.647,24.534,24.552,19242,0
2017-04-26,24.485,24.642,24.485,24.562,20280,0
2017-04-27,24.525,24.607,24.525,24.562,14061,0
2017-04-28,24.525,24.675,24.525,24.582,12591,0
2017-05-01,24.543,24.664,24.543,24.582,16021,0
2017-05-02,24.661,24.779,24.592,24.612,18853,0
2017-05-03,24.622,24.656,24.602,24.602,21803,0
2017-05-04,24.64,24.644,24.562,24.582,22226,0
2017-05-05,24.552,24.612,24.552,24.562,20097,0
2017-05-08,24.6,24.671,24.534,24.543,14068,0
2017-05-09,24.534,24.753,24.534,24.612,9789,0
2017-05-10,24.59,24.756,24.553,24.658,16580,0
2017-05-11,24.66,24.767,24.562,24.661,14378,0
2017-05-12,24.505,24.7,24.505,24.7,15076,0
2017-05-15,24.622,24.691,24.602,24.653,7526,0
2017-05-16,24.671,24.69,24.612,24.681,19049,0
2017-05-17,24.592,24.671,24.592,24.622,26028,0
2017-05-18,24.64,24.795,24.602,24.632,14155,0
2017-05-19,24.652,24.749,24.612,24.622,18884,0
2017-05-22,24.602,24.711,24.602,24.656,13747,0
2017-05-23,24.679,24.781,24.642,24.679,13676,0
2017-05-24,24.671,24.746,24.656,24.73,22220,0
2017-05-25,24.799,24.799,24.661,24.76,3140,0
2017-05-26,24.76,24.76,24.661,24.681,8930,0
2017-05-30,24.642,24.798,24.642,24.716,20285,0
2017-05-31,24.681,24.817,24.671,24.809,21617,0
2017-06-01,24.718,24.818,24.681,24.8,7886,0
2017-06-02,24.738,24.762,24.7,24.756,17677,0
2017-06-05,24.76,24.817,24.71,24.72,17387,0
2017-06-06,24.681,24.783,24.681,24.71,5867,0
2017-06-07,24.681,24.761,24.681,24.73,13602,0
2017-06-08,24.76,24.76,24.681,24.71,20659,0
2017-06-09,24.681,24.749,24.661,24.7,41742,0
2017-06-12,24.74,24.798,24.661,24.76,13425,0
2017-06-13,24.744,24.771,24.661,24.756,22644,0
2017-06-14,24.691,24.808,24.661,24.7,26360,0
2017-06-15,24.708,24.808,24.632,24.72,24042,0
2017-06-16,24.436,24.72,24.436,24.705,9962,0
2017-06-19,24.681,24.74,24.681,24.71,18404,0
2017-06-20,24.665,24.729,24.596,24.646,34865,0
2017-06-21,24.696,24.708,24.581,24.586,18842,0
2017-06-22,24.636,24.736,24.576,24.616,17151,0
2017-06-23,24.704,24.783,24.585,24.744,14532,0
2017-06-26,24.665,24.722,24.665,24.704,7295,0
2017-06-27,24.665,24.769,24.596,24.69,28513,0
2017-06-28,24.665,24.703,24.636,24.652,18355,0
2017-06-29,24.704,24.719,24.606,24.679,38748,0
2017-06-30,24.624,24.764,24.596,24.695,21521,0
2017-07-03,24.636,24.731,24.636,24.708,6586,0
2017-07-05,24.675,24.753,24.656,24.675,10502,0
2017-07-06,24.616,24.736,24.566,24.646,12136,0
2017-07-07,24.547,24.772,24.547,24.764,12012,0
2017-07-10,24.626,24.764,24.626,24.685,11727,0
2017-07-11,24.636,24.754,24.567,24.656,28783,0
2017-07-12,24.665,24.753,24.586,24.744,10407,0
2017-07-13,24.656,24.724,24.614,24.69,14084,0
2017-07-14,24.754,24.822,24.589,24.744,16084,0
2017-07-17,24.751,24.822,24.498,24.759,24746,0
2017-07-18,24.803,24.822,24.665,24.734,13241,0
2017-07-19,24.697,24.833,24.697,24.764,13287,0
2017-07-20,24.786,24.963,24.767,24.854,12264,0
2017-07-21,24.777,24.878,24.759,24.796,10396,0
2017-07-24,24.717,24.915,24.717,24.836,7563,0
2017-07-25,24.796,24.916,24.757,24.836,17291,0
2017-07-26,24.906,24.975,24.816,24.841,20490,0
2017-07-27,24.786,24.995,24.786,24.896,11380,0
2017-07-28,24.796,24.983,24.796,24.896,14956,0
2017-07-31,24.856,24.974,24.806,24.866,13131,0
2017-08-01,24.886,24.953,24.808,24.906,9435,0
2017-08-02,24.816,24.954,24.816,24.954,9974,0
2017-08-03,24.864,24.935,24.836,24.935,21031,0
2017-08-04,24.94,25.013,24.856,24.896,10962,0
2017-08-07,24.886,25.024,24.866,24.896,12385,0
2017-08-08,24.856,25.033,24.796,24.826,9751,0
2017-08-09,24.878,24.908,24.796,24.881,13354,0
2017-08-10,24.744,24.868,24.744,24.868,13940,0
2017-08-11,24.757,24.885,24.717,24.727,12524,0
2017-08-14,24.727,24.905,24.66,24.767,15786,0
2017-08-15,24.717,24.905,24.67,24.786,25503,0
2017-08-16,24.67,24.905,24.668,24.796,14924,0
2017-08-17,24.727,24.895,24.668,24.795,14371,0
2017-08-18,24.747,24.875,24.668,24.806,17515,0
2017-08-21,24.897,24.897,24.668,24.767,24218,0
2017-08-22,24.737,24.85,24.688,24.847,14927,0
2017-08-23,24.847,24.867,24.678,24.867,24243,0
2017-08-24,24.887,24.887,24.678,24.837,10572,0
2017-08-25,24.787,24.916,24.787,24.857,26919,0
2017-08-28,24.747,24.936,24.688,24.936,11497,0
2017-08-29,24.809,24.936,24.715,24.936,9326,0
2017-08-30,24.764,24.936,24.764,24.916,9944,0
2017-08-31,24.771,24.965,24.729,24.965,14725,0
2017-09-01,24.775,24.975,24.747,24.975,10227,0
2017-09-05,24.871,24.954,24.747,24.85,34298,0
2017-09-06,24.837,24.972,24.817,24.916,12051,0
2017-09-07,24.895,24.947,24.867,24.926,26496,0
2017-09-08,24.959,24.964,24.887,24.897,24310,0
2017-09-11,24.944,24.948,24.778,24.926,30122,0
2017-09-12,24.916,25.135,24.867,24.877,20004,0
2017-09-13,24.962,25.125,24.887,24.946,22819,0
2017-09-14,24.946,25.081,24.767,24.887,22992,0
2017-09-15,24.909,24.975,24.799,24.975,14015,0
2017-09-18,24.985,25.293,24.845,24.946,30842,0
2017-09-19,24.916,24.991,24.887,24.916,15376,0
2017-09-20,24.962,25.083,24.922,24.932,13215,0
2017-09-21,24.812,24.991,24.792,24.912,17994,0
2017-09-22,24.892,25.01,24.892,24.952,15528,0
2017-09-25,24.961,25.11,24.961,25.001,12410,0
2017-09-26,25.011,25.149,25.001,25.021,8944,0
2017-09-27,25.013,25.13,24.832,24.981,12745,0
2017-09-28,25.011,25.05,24.961,25.011,13381,0
2017-09-29,25.011,25.066,24.902,24.981,28320,0
2017-10-02,25.036,25.13,24.993,24.993,5142,0
2017-10-03,24.922,25.046,24.912,24.961,7277,0
2017-10-04,24.852,25.036,24.852,24.976,19273,0
2017-10-05,24.862,25.031,24.862,25.021,18441,0
2017-10-06,24.987,25.031,24.942,25.031,6758,0
2017-10-09,25.031,25.14,24.933,24.981,12233,0
2017-10-10,24.981,25.14,24.948,24.971,13364,0
2017-10-11,25.001,25.12,24.962,24.981,15484,0
2017-10-12,24.842,25.091,24.842,25.091,19077,0
2017-10-13,24.991,25.091,24.953,25.061,13443,0
2017-10-16,25.091,25.201,24.942,25.061,12315,0
2017-10-17,25.001,25.081,24.952,25.081,8831,0
2017-10-18,25.011,25.196,24.962,25.101,22269,0
2017-10-19,24.991,25.191,24.991,25.13,34024,0
2017-10-20,25.12,25.239,24.978,25.075,9724,0
2017-10-23,25.06,25.1451,25.0201,25.1,12059,0
2017-10-24,25.1098,25.1817,25.0101,25.1,7835,0
2017-10-25,25.05,25.17,25.0001,25.022,35386,0
2017-10-26,25.03,25.1752,24.97,25.05,24889,0
2017-10-27,25.066,25.179,25.0001,25.04,18927,0
2017-10-30,25.05,25.1099,25,25.02,24067,0
2017-10-31,25.02,25.1,25.0001,25.1,18153,0
2017-11-01,25.0101,25.25,25.0101,25.25,18744,0
2017-11-02,25.08,25.2399,25.0301,25.13,12357,0
2017-11-03,25.1325,25.22,25.04,25.14,11877,0
2017-11-06,25.1,25.2044,25.055,25.08,14989,0
2017-11-07,25.09,25.2152,25.03,25.06,37826,0
2017-11-08,25.02,25.19,25,25.08,21826,0
2017-11-09,25.0101,25.13,25,25,25340,0
2017-11-10,24.972,25.06,24.84,25.05,18493,0
