Date,Open,High,Low,Close,Volume,OpenInt
2017-10-27,26.25,27,24.68,25.5,5879298,0
2017-10-30,25.5101,25.6,24.0601,25,572941,0
2017-10-31,24.9,26.25,24.45,25.85,560708,0
2017-11-01,25.81,26.4,25.573,25.87,241048,0
2017-11-02,25.95,26.1992,24.75,24.79,89077,0
2017-11-03,24.67,25.5,24.67,25,177988,0
2017-11-06,25,25.2,24.94,25.17,32153,0
2017-11-07,25.29,25.45,24.78,25.07,58803,0
2017-11-08,25.22,25.29,24.78,25,102020,0
2017-11-09,25,25,24.01,24.47,122618,0
2017-11-10,24.54,25.14,24.2,25.12,127698,0
