Date,Open,High,Low,Close,Volume,OpenInt
2017-02-15,12.84,16.17,12.33,14.5,51488,0
2017-02-16,16,16.97,15.5,16.74,45656,0
2017-02-17,17.2,24.21,17.018,23.9,120281,0
2017-02-21,28.88,28.88,24.0577,27.7,97871,0
2017-02-22,28.18,28.7,22.06,22.4,100682,0
2017-02-23,21.45,22.02,18.0624,20,67516,0
2017-02-24,20,20.67,19.4802,20.1395,8455,0
2017-02-27,22,23.433,20.3051,20.5782,12290,0
2017-02-28,20.9,20.9,19.3355,20.401,12606,0
2017-03-01,19.6,19.986,18.6256,19.11,11166,0
2017-03-02,19.2,19.75,17.51,17.61,20788,0
2017-03-03,17.5,17.5,16.96,17.274,16418,0
2017-03-06,17.06,19.1651,16.78,17.5,7506,0
2017-03-07,18.482,18.482,17.1,17.962,2471,0
2017-03-08,17.98,17.98,17.125,17.256,3624,0
2017-03-09,17,17.88,17,17.56,3601,0
2017-03-10,17.51,17.644,17.51,17.51,2636,0
2017-03-13,17.2501,17.2845,17.2501,17.2845,1742,0
2017-03-14,17.0024,17.6604,17.0024,17.6604,577,0
2017-03-15,17,17.2428,16.5333,16.65,2237,0
2017-03-16,16.68,17.87,16.01,17.204,71063,0
2017-03-17,16.52,16.95,15.01,16.95,21028,0
2017-03-20,15.29,17.32,15.29,16.23,1478,0
2017-03-21,17.1499,17.1499,15.531,16.548,1351,0
2017-03-22,16.84,16.84,16.01,16.285,411,0
2017-03-23,16.827,16.827,16.827,16.827,104,0
2017-03-24,16.3098,18.24,16.1001,16.68,61892,0
2017-03-27,17.99,17.99,15.34,15.8,27772,0
2017-03-28,16.04,16.5,15.53,15.53,18765,0
2017-03-29,16.5,16.5,15.7137,15.75,7364,0
2017-03-30,15.79,15.79,14.68,14.9562,15576,0
2017-03-31,15.05,15.05,12.25,13.49,48338,0
2017-04-03,13.65,13.65,12.5,13.32,9351,0
2017-04-04,12.65,13.44,12.65,12.7701,4981,0
2017-04-05,13.4738,13.4738,12.601,13.1,7618,0
2017-04-06,13.41,13.41,13.07,13.4,520,0
2017-04-07,12.73,13.62,12.73,13.26,3485,0
2017-04-10,13.49,14.65,13.25,14.12,7107,0
2017-04-11,14,14.69,13.7601,14.022,2399,0
2017-04-12,14.98,14.98,14,14.6,3491,0
2017-04-13,13.79,14.37,13.79,14.37,2220,0
2017-04-17,14.09,14.26,13.09,13.09,3273,0
2017-04-18,13.5,13.97,13.0801,13.71,4555,0
2017-04-19,13.08,13.5,13.08,13.1,13439,0
2017-04-20,13.12,13.795,12.85,13.35,10298,0
2017-04-21,13.77,14.21,13.4701,14.21,8911,0
2017-04-24,14.49,14.5,13.22,13.41,8085,0
2017-04-25,13.4,14.39,13.2,13.5101,2699,0
2017-04-26,13.37,13.9,13.3689,13.7,4312,0
2017-04-27,13.65,14,13.65,14,602,0
2017-04-28,14,14.3,13.37,13.37,3845,0
2017-05-01,13.55,14,13.55,13.94,1816,0
2017-05-02,13.3,14,13.1,13.98,8611,0
2017-05-03,13.28,14,13.28,13.52,8428,0
2017-05-04,13.97,13.97,13.32,13.87,1264,0
2017-05-05,13.6753,13.88,13.22,13.32,2406,0
2017-05-08,13.65,13.65,12.9,13.15,8606,0
2017-05-09,12.87,13.71,12.87,13.71,4849,0
2017-05-10,13.6,13.79,12.96,13.24,4019,0
2017-05-11,13.4,13.59,12.9,12.95,3448,0
2017-05-12,12.79,13.512,12.21,12.8,12474,0
2017-05-15,12.7,12.91,12.2,12.79,7032,0
2017-05-16,12.77,12.86,12.3,12.83,3777,0
2017-05-17,13.11,13.11,12.87,13.07,1647,0
2017-05-18,13.25,13.25,12.5331,13.2,13366,0
2017-05-19,13.1,13.12,12.5,13.08,3457,0
2017-05-22,13.08,13.74,12.04,13.73,8763,0
2017-05-23,13.7,13.7,13.33,13.7,3471,0
2017-05-24,13.42,13.42,12.65,13,15527,0
2017-05-25,12.9,13.1,12.73,13,5905,0
2017-05-26,13.03,13.03,12.51,13.03,2460,0
2017-05-30,12.99,12.99,12.59,12.66,2258,0
2017-05-31,12.93,12.93,12.41,12.9,2343,0
2017-06-01,12.2,12.95,12.2,12.8,3663,0
2017-06-02,12.95,12.95,12.62,12.94,3217,0
2017-06-05,12.95,12.99,12.4,12.99,7237,0
2017-06-06,13.03,13.8,13,13.7,19732,0
2017-06-07,13.7,14.4,13.7,14.4,9974,0
2017-06-08,12.5017,15.5,12.5017,15.17,14243,0
2017-06-09,15.44,16.355,15.44,16,8192,0
2017-06-12,14.61,15.485,13.92,13.96,9805,0
2017-06-13,15.195,15.195,15.195,15.195,338,0
2017-06-15,15.1,15.1,13.2,13.67,2448,0
2017-06-16,14.92,14.92,12,12.15,32665,0
2017-06-19,12.64,14,12.21,12.4,17261,0
2017-06-20,12.57,12.69,11.86,12.06,16689,0
2017-06-21,12.03,12.5,11.5601,12.4,13114,0
2017-06-22,12.8499,12.8499,11.91,12.18,12472,0
2017-06-23,12,12.3,11.95,11.95,8704,0
2017-06-26,12.8,12.8,11.6,11.89,18227,0
2017-06-27,12.8,12.8,11.5,11.72,29653,0
2017-06-28,12.35,12.48,11.75,11.99,12233,0
2017-06-29,11.7,12.4,11.7,12.01,6905,0
2017-06-30,12.1001,12.4568,11.86,12.25,24388,0
2017-07-03,12.165,12.9,12.165,12.7447,12641,0
2017-07-05,12.77,12.8,12.3101,12.4,12606,0
2017-07-06,12.81,12.81,12.477,12.59,4222,0
2017-07-07,12.6,12.7,12.5,12.7,6057,0
2017-07-10,12.6,12.62,12.18,12.21,17638,0
2017-07-11,12.4751,12.4751,12.21,12.44,1406,0
2017-07-12,13.11,13.11,12.95,12.95,1104,0
2017-07-13,13.03,13.04,12.908,12.908,902,0
2017-07-14,13.48,13.75,13.2,13.385,16417,0
2017-07-17,13.61,13.77,13.6001,13.7,3161,0
2017-07-18,13.699,13.699,13.46,13.65,7939,0
2017-07-19,13.2001,13.463,12.5811,13.25,2921,0
2017-07-20,12.98,13.09,12.98,13,2012,0
2017-07-21,13.68,13.6992,13.2859,13.5373,1548,0
2017-07-24,13.3552,13.3599,13.35,13.35,1043,0
2017-07-25,13.9805,13.9805,13.9805,13.9805,108,0
2017-07-26,13.9999,14.06,13.69,14.05,7451,0
2017-07-27,13.9588,14,13.9588,13.9639,1024,0
2017-07-28,13.83,13.8963,13.0131,13.79,2496,0
2017-07-31,13.787,13.79,13.787,13.7892,300,0
2017-08-01,14.0203,14.0203,13.9024,13.9024,601,0
2017-08-02,13.9999,13.9999,13.4101,13.7046,701,0
2017-08-03,13.987,13.987,13.66,13.66,330,0
2017-08-04,13.04,13.6,12.95,13.0601,7051,0
2017-08-07,13.03,13.03,12.9264,12.9264,1826,0
2017-08-08,12.92,14.1,12.8944,13.2001,3316,0
2017-08-09,12.99,12.99,12.99,12.99,130,0
2017-08-10,12.93,12.93,12.81,12.81,557,0
2017-08-14,12.83,12.925,12.83,12.89,3534,0
2017-08-15,12.86,12.86,12.53,12.53,1048,0
2017-08-16,12.56,12.56,12.1494,12.23,3460,0
