Date,Open,High,Low,Close,Volume,OpenInt
2010-11-26,32,32.48,31.52,32,16827,0
2010-11-29,32.8,32.8,30.8,31.2,37093,0
2010-11-30,31.68,31.68,30.4,30.64,16555,0
2010-12-01,30.8,32.4,30.4,32,19409,0
2010-12-02,32.8,37.92,32.32,37.12,38925,0
2010-12-03,37.52,43.52,36.16,42.08,24586,0
2010-12-06,43.84,50.4,42.8,46.32,36008,0
2010-12-07,50.56,52,44.8,45.84,18227,0
2010-12-08,44.4,49.68,44.4,47.44,25351,0
2010-12-09,49.92,49.92,45.2,47.84,10552,0
2010-12-10,46.16,48.4,44.16,47.6,11669,0
2010-12-13,48,48,46,47.36,58849,0
2010-12-14,45.84,47.76,42.48,46.4,7375,0
2010-12-15,45.2,47.28,43.6,46.24,5506,0
2010-12-16,46.4,47.84,45.44,46.48,11750,0
2010-12-17,47.2,49.6,45.28,47.2,23221,0
2010-12-20,47.68,49.04,46.4,47.44,7978,0
2010-12-21,48,48.56,42,44.4,14711,0
2010-12-22,44.48,48.24,44.48,47.44,19097,0
2010-12-23,47.68,48.24,46.16,46.48,5608,0
2010-12-27,47.44,48,46.48,47.76,5933,0
2010-12-28,46.24,47.2,44.24,45.12,12572,0
2010-12-29,45.44,45.84,43.44,44.48,2615,0
2010-12-30,46,46.4,45.04,46.4,5802,0
2010-12-31,46.4,46.48,45.04,45.36,3759,0
2011-01-03,47.84,55.2,47.2,50.56,94857,0
2011-01-04,51.44,53.04,44,46.4,44909,0
2011-01-05,50.32,50.32,46.56,49.28,15899,0
2011-01-06,52,52,47.84,49.6,34552,0
2011-01-07,50,50,47.28,47.6,15919,0
2011-01-10,47.92,49.6,47.52,47.52,6499,0
2011-01-11,46.88,48,45.76,46.72,15795,0
2011-01-12,46.48,46.48,45.6,46.16,8683,0
2011-01-13,46.16,47.04,45.84,45.84,8917,0
2011-01-14,47.92,48,45.2,45.6,19350,0
2011-01-18,45.36,46.72,42,43.12,11546,0
2011-01-19,42.72,44.24,41.6,41.84,12875,0
2011-01-20,41.52,42.24,36.8,41.36,14683,0
2011-01-21,41.6,42.32,40.4,42,4643,0
2011-01-24,40.96,42,39.84,40.48,12479,0
2011-01-25,40.48,40.64,39.12,39.84,18420,0
2011-01-26,40.4,40.48,39.44,40,9698,0
2011-01-27,42.08,42.08,39.92,40.08,4274,0
2011-01-28,39.68,39.68,38.08,38.4,6001,0
2011-01-31,40.72,41.12,38,40.32,7975,0
2011-02-01,39.76,40.8,39.04,39.28,6270,0
2011-02-02,39.2,41.04,37.6,37.6,7903,0
2011-02-03,38,39.2,38,38.72,14646,0
2011-02-04,38.88,38.88,37.36,37.68,3571,0
2011-02-07,37.6,37.6,36,36,9069,0
2011-02-08,36.4,36.56,34.8,34.88,7711,0
2011-02-09,34.8,36,33.92,34,15254,0
2011-02-10,34,34.4,32.16,32.32,17267,0
2011-02-11,34.16,34.16,32,32.16,9740,0
