Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.5156,8.5511,8.4656,8.5333,68361,0
2005-02-28,8.5156,8.5333,8.4764,8.5156,55167,0
2005-03-01,8.5156,8.5746,8.4524,8.5333,81891,0
2005-03-02,8.4985,8.5333,8.4933,8.5047,63218,0
2005-03-03,8.5089,8.5333,8.4707,8.4933,67496,0
2005-03-04,8.5262,8.5937,8.4823,8.4823,105529,0
2005-03-07,8.5156,8.5333,8.4823,8.4823,63899,0
2005-03-08,8.4823,8.5262,8.4823,8.5047,57047,0
2005-03-09,8.4823,8.4985,8.3813,8.3813,78466,0
2005-03-10,8.4329,8.4524,8.3655,8.3655,117694,0
2005-03-11,8.4041,8.4041,8.3655,8.3708,47284,0
2005-03-14,8.3708,8.4329,8.3708,8.4041,128320,0
2005-03-15,8.4094,8.4094,8.278,8.2831,107417,0
2005-03-16,8.3101,8.3813,8.1331,8.2442,238307,0
2005-03-17,8.2392,8.2927,8.2062,8.2927,80013,0
2005-03-18,8.2927,8.2971,8.2711,8.2711,58417,0
2005-03-21,8.2191,8.2321,8.1942,8.2005,81891,0
2005-03-22,8.2005,8.2641,8.2005,8.2392,35465,0
2005-03-23,8.2005,8.2005,8.0523,8.0594,135352,0
2005-03-24,8.1152,8.1381,7.8035,7.8035,202843,0
2005-03-28,7.9041,7.9041,7.7804,7.7804,94915,0
2005-03-29,7.8268,7.9319,7.8156,7.8156,85324,0
2005-03-30,7.8156,7.937,7.8091,7.919,35629,0
2005-03-31,7.961,8.2641,7.961,8.1595,74870,0
2005-04-01,8.1152,8.2442,8.0838,8.1221,33570,0
2005-04-04,8.1152,8.1595,8.0047,8.1084,44541,0
2005-04-05,8.1654,8.2005,8.1381,8.2005,31179,0
2005-04-06,8.2547,8.2547,8.1434,8.1874,37515,0
2005-04-07,8.1874,8.1874,8.0767,8.1874,31344,0
2005-04-08,8.2442,8.2885,8.1754,8.2442,40777,0
2005-04-11,8.2442,8.2442,8.1526,8.2131,36835,0
2005-04-12,8.2131,8.2131,8.1331,8.1813,62017,0
2005-04-13,8.1434,8.2131,8.1331,8.1813,57737,0
2005-04-14,8.1595,8.1874,8.1595,8.1595,32203,0
2005-04-15,8.1874,8.1874,7.9486,8.0156,55678,0
2005-04-18,7.9911,8.065,7.9669,8.065,49002,0
2005-04-19,8.1084,8.1331,8.0894,8.1023,35802,0
2005-04-20,8.0838,8.1084,8.0523,8.1084,37696,0
2005-04-21,8.127,8.127,7.9735,8.0213,31008,0
2005-04-22,8.0213,8.0721,7.9979,8.065,17478,0
2005-04-25,8.1221,8.1221,8.0838,8.0838,27922,0
2005-04-26,8.0838,8.0838,8.0213,8.0274,60469,0
2005-04-27,8.065,8.0721,8.0213,8.0484,42831,0
2005-04-28,8.0721,8.0721,7.9669,8.0156,56704,0
2005-04-29,8.065,8.1221,8.0594,8.0894,49511,0
2005-05-02,8.0966,8.1526,8.0966,8.1434,42831,0
2005-05-03,8.1595,8.1595,8.1023,8.1331,23470,0
2005-05-04,8.1331,8.1331,8.0966,8.1084,31179,0
2005-05-05,8.1595,8.2005,8.0966,8.2005,54142,0
2005-05-06,8.2442,8.2605,8.1706,8.2062,47116,0
2005-05-09,8.2131,8.2131,8.0894,8.1084,50712,0
2005-05-10,8.1084,8.1942,8.1084,8.1942,48483,0
2005-05-11,8.2005,8.2062,8.1381,8.1874,46084,0
2005-05-12,8.2062,8.2062,8.1434,8.1874,34772,0
2005-05-13,8.2062,8.2062,8.1381,8.1706,47974,0
2005-05-16,8.1706,8.1813,8.1476,8.1813,43347,0
