Date,Open,High,Low,Close,Volume,OpenInt
2014-11-19,17,22.45,16.2,19.97,4895371,0
2014-11-20,22.67,24.02,21.25,23.6,2873812,0
2014-11-21,23.75,23.75,19.78,21.14,1349874,0
2014-11-24,20.42,21.1,19.07,19.55,704273,0
2014-11-25,20.2,20.2,17.43,17.91,737769,0
2014-11-26,17.95,18.8,16.95,17.3,619803,0
2014-11-28,17.077,17.64,15.26,15.32,419166,0
2014-12-01,15.01,15.2,13.5,13.7,588758,0
2014-12-02,13.8,15.9,13.5,15.7,995456,0
2014-12-03,15.77,16.58,14.6,14.71,536934,0
2014-12-04,14.45,14.9,13.74,14.06,246398,0
2014-12-05,14.45,14.45,13.01,14.1,247073,0
2014-12-08,14.12,15.59,13.52,14.74,432369,0
2014-12-09,14.54,15.91,14.25,15.46,394488,0
2014-12-10,15.85,16.38,14.6,14.94,458402,0
2014-12-11,15.28,15.74,14.3,14.53,268024,0
2014-12-12,14.21,15.49,14.15,15.24,120700,0
2014-12-15,15.14,15.3,13.95,14.11,179086,0
2014-12-16,13.75,14.37,13.57,13.76,144059,0
2014-12-17,14.25,14.48,13.01,13.21,190603,0
2014-12-18,13.56,13.68,11.82,12.58,433077,0
2014-12-19,12.74,12.74,11.07,11.19,964000,0
2014-12-22,11.08,11.879,10.36,10.6,551638,0
2014-12-23,10.61,10.85,10,10.15,404390,0
2014-12-24,10.14,11.249,10.14,11.01,339552,0
2014-12-26,11.01,11.75,11.01,11.17,489338,0
2014-12-29,11.1,11.29,10.56,10.62,178573,0
2014-12-30,10.52,10.92,10.52,10.76,108364,0
2014-12-31,10.82,10.946,10.15,10.26,253736,0
2015-01-02,10.37,10.57,10.1,10.15,154213,0
2015-01-05,10.14,10.65,10.06,10.33,252099,0
2015-01-06,10.41,11.4,10.4,11.31,559016,0
2015-01-07,11.65,11.75,10.6,10.74,345894,0
2015-01-08,10.8,11.28,10.66,10.96,260359,0
2015-01-09,11,11.14,10.63,10.84,202900,0
2015-01-12,12.4,12.65,11.3,11.75,1032318,0
