Date,Open,High,Low,Close,Volume,OpenInt
2014-10-02,10.22,11.24,9.26,9.41,4633059,0
2014-10-03,9.29,9.75,9.29,9.35,350297,0
2014-10-06,9.6,9.65,9.35,9.35,187431,0
2014-10-07,9.08,9.4,9.06,9.25,38873,0
2014-10-08,9.35,10.4,9.01,9.13,163500,0
2014-10-09,9.15,9.24,8.05,8.42,175517,0
2014-10-10,8.02,8.4999,6.51,7.47,173227,0
2014-10-13,7.35,7.45,6.9,7.01,226840,0
2014-10-14,6.88,7.4438,6.88,7.15,146630,0
2014-10-15,6.95,7.85,6.63,7.49,160116,0
2014-10-16,7.49,9.2295,7.41,8.42,96729,0
2014-10-17,8.9,9.2,8.6332,9.02,68291,0
2014-10-20,9.08,10.29,8.99,10.07,152953,0
2014-10-21,10.2,10.89,9.7,10.53,262948,0
2014-10-22,10.86,10.86,9.04,9.62,110315,0
2014-10-23,10.49,10.49,9.61,9.9,68373,0
2014-10-24,9.71,11.7,9.35,11.04,140076,0
2014-10-27,11,11,9.5,10.4,79005,0
2014-10-28,10.41,10.9,9.89,10.56,107942,0
2014-10-29,11.4,11.4,10.14,10.33,57170,0
2014-10-30,10.14,10.5,10.14,10.31,46937,0
2014-10-31,10.43,10.9,9.4,9.42,161995,0
2014-11-03,9.31,11,9.31,9.85,118787,0
2014-11-04,10.31,10.6,10.01,10.15,82844,0
2014-11-05,10.14,10.94,9.8,10.17,66924,0
2014-11-06,9.85,10.05,9.51,9.72,68205,0
2014-11-07,9.62,10.32,9.62,9.93,38790,0
2014-11-10,10.2,10.501,9.91,10.13,75069,0
2014-11-11,10.25,10.25,9.794,10.13,36839,0
2014-11-12,10.23,10.74,9.88,10.04,47373,0
2014-11-13,10.05,10.29,9.88,9.96,46251,0
2014-11-14,10.15,10.26,9.75,9.88,42279,0
2014-11-17,9.75,9.965,9.37,9.4,51893,0
2014-11-18,9.5,9.85,9.31,9.68,26245,0
2014-11-19,9.81,9.96,9.61,9.95,11558,0
2014-11-20,9.89,10.31,9.66,9.74,27993,0
2014-11-21,10.7,10.7,9.76,9.8,48912,0
2014-11-24,9.8,10.4,9.8,10.17,80859,0
2014-11-25,10.07,10.5,10,10.12,52034,0
2014-11-26,10.19,10.72,10.11,10.5,76909,0
2014-11-28,10.49,10.8,10.35,10.67,18123,0
2014-12-01,10.36,10.949,8.08,8.54,237862,0
2014-12-02,8.54,9.74,8.54,9.64,87850,0
2014-12-03,9.72,10.554,9.6,10.42,46551,0
2014-12-04,10.44,10.45,9.77,10.22,23142,0
2014-12-05,10.22,10.58,10.095,10.57,103953,0
2014-12-08,10.62,13.23,10.62,12.95,321859,0
2014-12-09,12.92,14.18,11.54,13.22,123703,0
2014-12-10,13.22,17.94,13.01,17.17,524412,0
2014-12-11,17.64,25.3,17.29,23.2,1407118,0
2014-12-12,22.9,31.49,20.91,29.85,1178644,0
2014-12-15,31.85,33.48,25.62,26.75,1491285,0
2014-12-16,26.06,28.5,25.36,26.32,397639,0
2014-12-17,26.68,26.75,21.5,26.46,555515,0
2014-12-18,27.47,29.49,25.22,28.75,368828,0
2014-12-19,29,30,27.31,27.93,1394525,0
2014-12-22,27.45,27.663,23.02,23.03,236245,0
2014-12-23,22.95,23.5,20.73,21.17,178347,0
2014-12-24,21.18,23.95,21,22.33,145334,0
2014-12-26,22,23.52,21.47,22.34,93275,0
2014-12-29,22.55,22.99,19.29,19.81,186885,0
2014-12-30,20.15,20.15,17.34,18.31,180123,0
2014-12-31,18.27,22.662,17.77,20.2,345212,0
2015-01-02,20.19,21.4,19.3,20.9,167328,0
2015-01-05,20.86,21.98,20.001,21.7,92027,0
2015-01-06,21.9,24,21.19,23.85,189027,0
2015-01-07,24.36,25.41,22.81,24.4,139535,0
2015-01-08,25.09,25.35,23.03,23.58,108490,0
2015-01-09,23.72,24.5,22.26,23.64,61011,0
2015-01-12,24.098,24.098,22.32,22.86,47449,0
2015-01-13,23,23.75,21.7,22.14,111610,0
2015-01-14,21.72,23,21.7,22.82,39931,0
2015-01-15,23,23,21.21,21.47,45992,0
2015-01-16,21.38,23.21,21.26,23.18,52549,0
2015-01-20,23.3,23.574,21.11,22.66,64976,0
2015-01-21,22.17,23.29,21.3,21.53,67771,0
2015-01-22,22.41,22.41,20.24,20.74,62175,0
2015-01-23,20.68,20.79,19.35,19.67,83095,0
2015-01-26,18.25,20.54,18.08,20.28,60425,0
2015-01-27,19.77,20.945,19.42,20.43,25002,0
2015-01-28,21.16,21.46,18.43,18.84,114377,0
2015-01-29,19,19.98,18.2,19.82,38967,0
2015-01-30,19.64,21.26,18.81,19.89,47567,0
2015-02-02,20,21.1,19.61,20.94,51597,0
2015-02-03,20.92,20.92,19.04,19.69,40301,0
2015-02-04,19.45,19.45,17.61,17.75,52794,0
2015-02-05,17.95,18.39,16.76,17.63,91694,0
2015-02-06,17.56,17.56,16.81,17.18,42377,0
2015-02-09,17.12,18.53,16.6,18.18,31384,0
2015-02-10,18.33,18.35,17.57,17.94,21354,0
2015-02-11,17.66,18.98,16,16.4,69000,0
2015-02-12,16.54,16.77,15.32,15.49,52096,0
2015-02-13,15.5,16.45,15.5,16.11,26764,0
2015-02-17,15.76,17.059,15.76,16.7,32138,0
2015-02-18,16.89,17.29,16.25,16.39,29459,0
2015-02-19,16.22,16.81,15.733,16.34,16133,0
2015-02-20,16.39,16.39,16,16.21,40430,0
