Date,Open,High,Low,Close,Volume,OpenInt
2017-08-11,19.822,19.822,19.748,19.748,3027,0
2017-08-14,19.891,19.891,19.891,19.891,151,0
2017-08-15,19.841,19.891,19.841,19.891,301,0
2017-08-16,19.936,19.936,19.906,19.906,387,0
2017-08-17,19.772,19.772,19.672,19.672,5203,0
2017-08-18,19.602,19.642,19.562,19.612,903,0
2017-08-21,19.562,19.562,19.562,19.562,102,0
2017-08-23,19.668,19.668,19.668,19.668,401,0
2017-08-24,19.672,19.672,19.672,19.672,100,0
2017-08-25,19.732,19.732,19.732,19.732,100,0
2017-08-30,19.723,19.723,19.723,19.723,506,0
2017-09-07,19.754,19.754,19.692,19.692,508,0
2017-09-12,20.021,20.021,19.959,19.998,865,0
2017-09-13,20.041,20.041,20.001,20.041,7309,0
2017-09-14,20.042,20.042,20.042,20.042,177,0
2017-09-15,20.136,20.161,20.136,20.149,3308,0
2017-09-18,20.121,20.231,20.121,20.211,1513,0
2017-09-19,20.27,20.27,20.269,20.27,2205,0
2017-09-20,20.268,20.268,20.268,20.268,1278,0
2017-09-21,20.274,20.274,20.27,20.27,1066,0
2017-09-25,20.2299,20.23,20.2173,20.2173,894,0
2017-09-27,20.21,20.21,20.21,20.21,504,0
2017-09-28,20.25,20.25,20.23,20.2325,685,0
2017-09-29,20.3,20.3,20.19,20.25,4058,0
2017-10-02,20.33,20.39,20.33,20.38,1240,0
2017-10-03,20.434,20.47,20.434,20.465,6150,0
2017-10-04,20.5,20.51,20.48,20.49,1564,0
2017-10-05,20.529,20.5832,20.49,20.5832,5326,0
2017-10-06,20.6,20.6,20.56,20.57,654,0
2017-10-10,20.61,20.63,20.61,20.63,1289,0
2017-10-11,20.6,20.65,20.6,20.65,1300,0
2017-10-13,20.6401,20.6401,20.6401,20.6401,160,0
2017-10-16,20.71,20.71,20.66,20.71,2052,0
2017-10-17,20.715,20.75,20.715,20.75,699,0
2017-10-18,20.8316,20.8316,20.824,20.824,230,0
2017-10-19,20.75,20.75,20.75,20.75,100,0
2017-10-20,20.932,21,20.932,21,1193,0
2017-10-23,21.04,21.045,20.99,20.99,808,0
2017-10-24,21.051,21.09,21.051,21.09,440,0
2017-10-25,21.049,21.049,20.9,20.95,1881,0
2017-10-26,20.94,21.099,20.94,21.099,3689,0
2017-10-27,21.049,21.11,21.049,21.09,34857,0
2017-10-31,20.87,20.999,20.87,20.95,1101,0
2017-11-01,21.07,21.08,21.05,21.05,4755,0
2017-11-02,21.14,21.14,21.0101,21.0844,5505,0
2017-11-03,21.09,21.135,21.09,21.1189,1975,0
2017-11-06,21.125,21.125,21.09,21.09,3742,0
2017-11-07,21.08,21.11,21.07,21.11,1012,0
2017-11-08,21.11,21.14,21.11,21.14,1306,0
2017-11-09,20.98,21.043,20.97,21.0413,1210,0
