Date,Open,High,Low,Close,Volume,OpenInt
1998-05-14,8.1621,8.238,7.982,8.0857,21826200,0
1998-05-15,8.0857,8.1621,7.7535,7.8017,4626218,0
1998-05-18,7.7535,7.7808,7.7535,7.7535,2928256,0
1998-05-19,7.7535,7.9612,7.7535,7.9612,930136,0
1998-05-20,7.9612,8.0096,7.7535,7.7535,383679,0
1998-05-21,7.7535,7.8017,7.7535,7.7535,1996241,0
1998-05-22,7.7535,7.7535,7.1435,7.3446,3332870,0
1998-05-26,7.3446,7.3999,7.1643,7.2195,1120916,0
1998-05-27,7.2195,7.4967,7.0394,7.3164,922840,0
1998-05-28,7.3164,7.3446,7.2406,7.3446,393557,0
1998-05-29,7.3446,7.3999,7.2406,7.3164,437073,0
1998-06-01,7.2681,7.2959,6.915,6.9912,693014,0
1998-06-02,6.8869,6.915,6.5269,6.8594,1078573,0
1998-06-03,6.8386,6.915,6.8109,6.8109,310045,0
1998-06-04,6.8109,6.9358,6.7833,6.9358,287461,0
1998-06-05,6.8869,7.4206,6.8869,7.2959,492588,0
1998-06-08,7.3446,7.4967,6.9358,7.1435,303929,0
1998-06-09,7.1435,7.3446,7.0882,7.2406,338509,0
1998-06-10,7.192,7.2406,7.0394,7.1156,330041,0
1998-06-11,7.1435,7.1643,7.0674,7.0882,492356,0
1998-06-12,7.2406,7.2681,7.0394,7.0674,462478,0
1998-06-15,6.9912,6.9912,6.6586,6.6794,196424,0
1998-06-16,6.8109,7.0394,6.7833,6.9358,605506,0
1998-06-17,7.0394,7.0674,6.8869,6.9358,317808,0
1998-06-18,6.9631,7.1156,6.9358,7.0674,433310,0
1998-06-19,7.0394,7.3164,7.0119,7.2959,645259,0
1998-06-22,7.3164,7.3164,7.1435,7.2959,128442,0
1998-06-23,7.3164,7.4483,7.1156,7.1643,228413,0
1998-06-24,7.2195,7.2195,6.6308,6.6308,229825,0
1998-06-25,6.7346,6.8109,6.6308,6.7069,484124,0
1998-06-26,6.7346,6.8386,6.6794,6.7346,335920,0
1998-06-29,6.7833,6.9912,6.7346,6.9358,542933,0
1998-06-30,6.9358,7.5521,6.6794,7.5521,845687,0
1998-07-01,7.3446,7.3446,6.7833,6.8386,326276,0
1998-07-02,6.9358,6.9358,6.7625,6.7625,281344,0
1998-07-06,6.7833,6.9358,6.7625,6.8109,289577,0
1998-07-07,6.8594,6.8594,6.7625,6.8109,248414,0
1998-07-08,6.8109,6.8594,6.7625,6.7833,696308,0
