Date,Open,High,Low,Close,Volume,OpenInt
2017-04-21,15.3,15.3,15.1105,15.168,25650,0
2017-04-24,15.6,15.6,15.3202,15.3598,5000,0
2017-04-25,15.55,15.55,15.4244,15.44,27151,0
2017-04-26,15.48,15.52,15.4159,15.47,3540,0
2017-04-27,15.55,15.55,15.3225,15.3997,8820,0
2017-04-28,15.5,15.5,15.3057,15.3057,15381,0
2017-05-01,15.41,15.41,15.2999,15.35,24003,0
2017-05-02,15.35,15.35,15.25,15.34,2440,0
2017-05-03,15.34,15.34,15.28,15.28,1004,0
2017-05-04,15.4,15.4,15.3,15.3,22981,0
2017-05-05,15.48,15.48,15.25,15.37,5689,0
2017-05-08,15.4096,15.4096,15.2638,15.271,3879,0
2017-05-09,15.37,15.41,15.3341,15.3341,3895,0
2017-05-10,15.3024,15.38,15.3024,15.365,600,0
2017-05-11,15.49,15.49,15.298,15.368,4766,0
2017-05-12,15.3089,15.36,15.2101,15.34,3086,0
2017-05-15,15.35,15.56,15.35,15.52,2648,0
2017-05-16,15.44,15.485,15.44,15.485,579,0
2017-05-17,15.4,15.4,15.11,15.11,5610,0
2017-05-18,15.11,15.11,15.1,15.1,1205,0
2017-05-19,15.25,15.3,15.24,15.3,848,0
2017-05-22,15.46,15.46,15.3529,15.3529,306,0
2017-05-23,15.39,15.39,15.3248,15.3248,8112,0
2017-05-24,15.3932,15.4199,15.3932,15.4,1879,0
2017-05-25,15.45,15.46,15.43,15.46,2701,0
2017-05-26,15.47,15.5299,15.47,15.4953,663,0
2017-05-30,15.53,15.53,15.46,15.47,1402,0
2017-05-31,15.3004,15.4299,15.3,15.4111,710,0
2017-06-01,15.55,15.74,15.526,15.74,2059,0
2017-06-02,15.6807,15.7143,15.6807,15.7143,421,0
2017-06-05,15.715,15.7499,15.715,15.7392,878,0
2017-06-06,15.68,15.68,15.5901,15.6592,1736,0
2017-06-07,15.61,15.84,15.61,15.84,800,0
2017-06-08,15.9001,15.9001,15.9001,15.9001,135,0
2017-06-09,16.125,16.2,16.12,16.12,2888,0
2017-06-12,16.124,16.2046,16.124,16.2046,1280,0
2017-06-13,16.3,16.3499,16.2497,16.2708,1692,0
2017-06-14,16.27,16.3547,16.1908,16.3547,1037,0
2017-06-15,16.3003,16.3393,16.3003,16.3393,1030,0
2017-06-16,16.45,16.45,16.3017,16.32,3703,0
2017-06-19,16.48,16.49,16.42,16.47,2019,0
2017-06-20,16.4743,16.4743,16.4,16.42,3592,0
2017-06-21,16.34,16.34,16.2569,16.2569,2069,0
2017-06-22,16.22,16.3199,16.22,16.31,11489,0
2017-06-23,16.28,16.28,16.22,16.22,867,0
2017-06-26,16.22,16.36,16.22,16.34,3723,0
2017-06-27,16.365,16.48,16.365,16.4102,6646,0
2017-06-28,16.54,16.63,16.5339,16.62,3657,0
2017-06-29,16.6403,16.65,16.54,16.55,2636,0
2017-06-30,16.54,16.55,16.536,16.54,3475,0
2017-07-03,16.71,16.71,16.71,16.71,400,0
2017-07-05,16.78,16.78,16.78,16.78,1861,0
2017-07-06,16.68,16.68,16.609,16.61,776,0
2017-07-07,16.65,16.74,16.65,16.74,1297,0
2017-07-10,16.79,16.83,16.7403,16.77,945,0
2017-07-11,16.75,16.75,16.68,16.6844,1474,0
2017-07-12,16.75,16.75,16.7145,16.7145,507,0
2017-07-13,16.71,16.8,16.71,16.8,4628,0
2017-07-14,16.7399,16.759,16.738,16.759,697,0
2017-07-17,16.6964,16.7599,16.6964,16.7599,2861,0
2017-07-18,16.76,16.76,16.64,16.7472,7174,0
2017-07-19,16.84,16.84,16.65,16.6674,1841,0
2017-07-20,16.75,16.75,16.7281,16.73,1068,0
2017-07-21,16.7604,16.7672,16.7604,16.7672,363,0
2017-07-24,16.7794,16.7794,16.7794,16.7794,346,0
2017-07-25,16.9486,16.9822,16.9486,16.9822,554,0
2017-07-26,17.0656,17.0656,16.96,16.96,2033,0
2017-07-27,16.7676,16.8099,16.6485,16.7,22737,0
2017-07-28,16.79,16.79,16.5601,16.6574,1138,0
2017-07-31,16.72,16.819,16.72,16.819,13469,0
2017-08-01,16.86,16.86,16.85,16.85,398,0
2017-08-02,16.94,16.94,16.6964,16.7246,4739,0
2017-08-03,16.739,16.74,16.718,16.74,2667,0
2017-08-04,16.8,16.8,16.7599,16.7599,6712,0
2017-08-07,16.7747,16.783,16.76,16.783,728,0
2017-08-08,16.7615,16.79,16.66,16.67,9599,0
2017-08-09,16.6,16.6456,16.6,16.6456,2300,0
2017-08-10,16.55,16.5504,16.3601,16.3601,7629,0
2017-08-11,16.4055,16.4202,16.3999,16.4,2148,0
2017-08-14,16.41,16.65,16.41,16.56,41785,0
2017-08-15,16.58,16.58,16.535,16.535,302,0
2017-08-16,16.6692,16.71,16.6692,16.71,610,0
2017-08-17,16.466,16.466,16.2572,16.2572,2268,0
2017-08-18,16.24,16.261,16.16,16.261,1754,0
2017-08-21,16.38,16.38,16.17,16.2551,13138,0
2017-08-22,16.39,16.39,16.29,16.37,2265,0
2017-08-23,16.3903,16.3903,16.3903,16.3903,170,0
2017-08-24,16.441,16.446,16.441,16.443,841,0
2017-08-25,16.519,16.519,16.519,16.519,205,0
2017-08-28,16.5563,16.5563,16.5563,16.5563,407,0
2017-08-29,16.29,16.3751,16.29,16.37,2409,0
2017-08-30,16.29,16.4,16.29,16.4,799,0
2017-08-31,16.5,16.555,16.5,16.555,736,0
2017-09-01,16.63,16.63,16.63,16.63,317,0
2017-09-05,16.435,16.435,16.34,16.3532,490,0
2017-09-06,16.405,16.405,16.3,16.3,245,0
2017-09-07,16.32,16.32,16.179,16.1902,8778,0
2017-09-08,16.1,16.36,16.1,16.36,6721,0
2017-09-11,16.52,16.52,16.52,16.52,370,0
2017-09-12,16.62,16.66,16.6075,16.6543,982,0
2017-09-13,16.59,16.59,16.585,16.585,250,0
2017-09-14,16.67,16.67,16.6548,16.6548,200,0
2017-09-15,16.54,16.6452,16.54,16.6451,2260,0
2017-09-18,16.65,16.75,16.65,16.75,409,0
2017-09-19,16.8,16.85,16.8,16.8399,1053,0
2017-09-20,16.81,16.9,16.81,16.9,709,0
2017-09-21,16.86,16.9797,16.86,16.9697,8355,0
2017-09-22,17.019,17.019,17.005,17.005,573,0
2017-09-25,17.009,17.009,17.009,17.009,192,0
2017-09-26,17.06,17.11,17.06,17.0701,1431,0
2017-09-27,17.2236,17.2236,17.21,17.22,1823,0
2017-09-28,17.309,17.31,17.28,17.3099,1278,0
2017-09-29,17.34,17.4351,17.34,17.4351,347,0
2017-10-02,17.53,17.5899,17.53,17.5899,205,0
2017-10-03,17.5439,17.63,17.5439,17.63,277,0
2017-10-04,17.62,17.7264,17.62,17.7264,1136,0
2017-10-05,17.7588,17.86,17.7588,17.86,455,0
2017-10-06,17.82,17.82,17.76,17.76,417,0
2017-10-10,17.78,17.78,17.78,17.78,276,0
2017-10-11,17.9,17.91,17.7543,17.91,9569,0
2017-10-12,17.96,18.03,17.955,17.97,4361,0
2017-10-13,18.08,18.08,17.8932,17.94,4418,0
2017-10-16,17.9442,17.98,17.85,17.8743,858,0
2017-10-17,17.99,17.99,17.7,17.7,5272,0
2017-10-18,17.79,17.82,17.79,17.82,697,0
2017-10-19,17.7,17.7699,17.7,17.7699,666,0
2017-10-20,17.88,17.96,17.88,17.923,4019,0
2017-10-23,17.87,17.9,17.87,17.87,3883,0
2017-10-24,17.9241,17.9241,17.905,17.905,489,0
2017-10-25,17.89,17.89,17.64,17.729,2083,0
2017-10-26,17.8206,17.96,17.8206,17.96,4604,0
