Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,6.7767,6.8657,6.7542,6.8139,160611,0
2005-02-28,6.8509,6.8805,6.7689,6.8433,232050,0
2005-03-01,6.8433,7.1708,6.8433,7.1487,342706,0
2005-03-02,7.0816,7.1638,7.0445,7.1638,209491,0
2005-03-03,7.1415,7.1415,7.0667,7.1039,96419,0
2005-03-04,7.1487,7.3645,7.1487,7.2679,275562,0
2005-03-07,7.2527,7.3423,7.2383,7.3053,165975,0
2005-03-08,7.3576,7.5954,7.3576,7.5808,239563,0
2005-03-09,7.6702,7.7819,7.4395,7.4988,235545,0
2005-03-10,7.506,7.7594,7.506,7.6253,224534,0
2005-03-11,7.6327,7.7224,7.5358,7.5658,148259,0
2005-03-14,7.5358,7.7744,7.5358,7.7224,375473,0
2005-03-15,7.7594,7.8485,7.6476,7.6476,319877,0
2005-03-16,7.6554,7.7073,7.5358,7.5583,126501,0
2005-03-17,7.5583,7.6702,7.4317,7.6403,313964,0
2005-03-18,7.6403,7.6403,7.462,7.506,165447,0
2005-03-21,7.5658,7.5881,7.4169,7.462,276904,0
2005-03-22,7.5215,7.5881,7.4685,7.5358,280400,0
2005-03-23,7.4912,7.5658,7.4169,7.4538,319340,0
2005-03-24,7.4988,7.5658,7.4762,7.4762,157928,0
2005-03-28,7.4538,7.5508,7.4169,7.5137,242258,0
2005-03-29,7.4762,7.5954,7.4169,7.4395,113605,0
2005-03-30,7.4538,7.4839,7.3645,7.4317,229639,0
2005-03-31,7.5287,7.6104,7.4685,7.5881,192032,0
2005-04-01,7.5658,7.5658,7.4092,7.4685,111463,0
2005-04-04,7.3943,7.4538,7.3801,7.4241,166786,0
2005-04-05,7.4169,7.5508,7.4169,7.5358,108502,0
2005-04-06,7.5358,7.5358,7.4241,7.4241,250855,0
2005-04-07,7.4169,7.4988,7.3576,7.3943,324977,0
2005-04-08,7.3943,7.402,7.2453,7.3278,324977,0
2005-04-11,7.3278,7.402,7.2453,7.2976,145572,0
2005-04-12,7.3278,7.3351,7.2453,7.3351,77084,0
2005-04-13,7.3053,7.3351,7.1415,7.2234,163825,0
2005-04-14,7.2156,7.2305,7.0445,7.1638,210833,0
2005-04-15,7.2607,7.4317,7.2305,7.2607,224534,0
2005-04-18,7.2679,7.3278,7.0667,7.2081,198480,0
2005-04-19,7.2156,7.2305,7.1039,7.1264,388634,0
2005-04-20,7.0445,7.2234,7.0369,7.1487,203578,0
2005-04-21,7.1638,7.1859,7.1264,7.1487,113068,0
2005-04-22,7.1487,7.2453,7.1039,7.2156,124625,0
2005-04-25,7.2081,7.2527,7.1415,7.2453,384874,0
2005-04-26,7.2305,7.2453,7.1708,7.2012,238492,0
2005-04-27,7.1708,7.2679,7.1708,7.2383,305642,0
2005-04-28,7.1859,7.2976,7.1487,7.2081,154426,0
2005-04-29,7.2305,7.2679,7.156,7.2305,482634,0
2005-05-02,7.2607,7.4169,7.2012,7.4169,456584,0
2005-05-03,7.4241,7.4241,7.3498,7.3576,182631,0
2005-05-04,7.3943,7.4395,7.3801,7.4169,204658,0
2005-05-05,7.4462,7.5358,7.4169,7.4912,178066,0
2005-05-06,7.4988,7.6998,7.4241,7.4839,152280,0
2005-05-09,7.6327,7.6327,7.4762,7.6033,147722,0
2005-05-10,7.6403,7.7744,7.6033,7.6178,145301,0
2005-05-11,7.6702,7.6922,7.5358,7.5881,120859,0
2005-05-12,7.6033,7.6178,7.402,7.4462,162220,0
2005-05-13,7.4317,7.5435,7.3718,7.3869,87555,0
2005-05-16,7.3869,7.5583,7.3869,7.4317,234202,0
2005-05-17,7.4395,7.4912,7.3498,7.4685,333567,0
2005-05-18,7.4762,7.506,7.4241,7.4839,174036,0
2005-05-19,7.4762,7.7891,7.4685,7.6178,199017,0
2005-05-20,7.6253,7.7445,7.6033,7.6702,162220,0
2005-05-23,7.6702,7.7224,7.6702,7.6774,29541,0
2005-05-24,7.7445,7.7666,7.6403,7.6403,145839,0
2005-05-25,7.6476,7.6774,7.5734,7.6554,118716,0
2005-05-26,7.6403,7.7073,7.5583,7.6403,105285,0
2005-05-27,7.6626,7.8192,7.6403,7.8113,59088,0
2005-05-31,7.7965,8.0952,7.7666,7.8863,324977,0
2005-06-01,7.8559,7.9607,7.7819,7.8637,359354,0
2005-06-02,7.8113,7.931,7.7073,7.8559,181284,0
2005-06-03,7.9009,7.9901,7.8637,7.931,274491,0
2005-06-06,7.9677,8.0797,7.9157,7.9826,134020,0
2005-06-07,8.005,8.005,7.8936,7.9454,141275,0
2005-06-08,7.9826,8.005,7.8863,7.9157,116562,0
2005-06-09,7.9083,7.9157,7.8336,7.8559,96687,0
2005-06-10,7.8863,7.9157,7.8559,7.8936,78958,0
2005-06-13,7.7891,7.8336,7.7297,7.7445,189614,0
2005-06-14,7.7594,7.7594,7.5881,7.6178,205733,0
2005-06-15,7.6626,7.8784,7.6626,7.8784,210294,0
2005-06-16,7.8863,7.9754,7.8113,7.8263,157656,0
2005-06-17,7.8936,7.931,7.7744,7.7965,138051,0
2005-06-20,7.7891,7.9607,7.7891,7.9009,107970,0
2005-06-21,7.9009,7.931,7.7891,7.7891,114678,0
2005-06-22,7.8113,7.8415,7.7819,7.7965,121127,0
2005-06-23,7.7819,7.7891,7.6702,7.7368,218356,0
2005-06-24,7.7297,7.7594,7.5508,7.6033,96150,0
2005-06-27,7.6033,7.6327,7.5358,7.5881,121127,0
2005-06-28,7.5808,7.8192,7.5808,7.6853,89710,0
2005-06-29,7.7445,7.7594,7.6178,7.7073,214862,0
2005-06-30,7.7073,7.7891,7.6403,7.7297,161145,0
2005-07-01,7.7297,7.7819,7.6853,7.7073,43232,0
2005-07-05,7.5215,7.5734,7.4092,7.4092,193107,0
2005-07-06,7.4538,7.6104,7.4092,7.4912,156048,0
2005-07-07,7.5215,7.6327,7.4092,7.6033,101523,0
2005-07-08,7.6033,7.6327,7.4241,7.5358,341364,0
2005-07-11,7.5583,7.6033,7.4762,7.5734,256221,0
2005-07-12,7.5583,7.6403,7.4912,7.5658,345394,0
2005-07-13,7.5508,7.6327,7.4839,7.5435,263207,0
2005-07-14,7.5734,7.6403,7.5435,7.5583,565361,0
2005-07-15,7.5358,7.5734,7.462,7.5508,451478,0
2005-07-18,7.5954,7.6554,7.4988,7.6253,559986,0
2005-07-19,7.6554,7.7594,7.6104,7.7445,557834,0
2005-07-20,7.7744,7.7965,7.6702,7.6702,702604,0
2005-07-21,7.7594,7.9826,7.7368,7.9157,2451047,0
2005-07-22,7.8936,7.9009,7.7965,7.8192,1010926,0
2005-07-25,7.8415,7.8713,7.8044,7.8415,808686,0
2005-07-26,7.7297,7.7891,7.6702,7.7145,645125,0
2005-07-27,7.7145,7.7445,7.6626,7.7073,640827,0
2005-07-28,7.6922,7.7445,7.6104,7.7445,520239,0
2005-07-29,7.7297,7.7445,7.6853,7.7297,1176374,0
2005-08-01,7.6853,7.7744,7.6702,7.6998,378699,0
2005-08-02,7.8263,7.8559,7.7368,7.7445,539845,0
2005-08-03,7.7819,8.1169,7.7819,8.005,2539405,0
2005-08-04,8.0571,8.3244,8.0498,8.2638,1504848,0
2005-08-05,8.2283,8.2421,8.1096,8.1468,2588290,0
2005-08-08,8.2152,8.2222,8.0952,8.1389,3676836,0
2005-08-09,8.1617,8.2152,8.0952,8.0952,421399,0
2005-08-10,8.0952,8.2152,8.0348,8.0797,496062,0
2005-08-11,8.1468,8.1693,8.0423,8.1019,658822,0
2005-08-12,8.0423,8.0722,7.9754,7.9977,547630,0
2005-08-15,7.9677,8.0124,7.9532,7.9826,398031,0
2005-08-16,7.931,8.0797,7.931,7.9754,311817,0
2005-08-17,7.931,8.0722,7.8863,8.0203,999645,0
2005-08-18,8.0348,8.0498,7.9754,7.9826,599733,0
2005-08-19,8.332,8.332,7.9532,7.9901,633574,0
2005-08-22,8.005,8.0571,8.005,8.0203,493914,0
2005-08-23,8.0722,8.0722,8.005,8.027,801169,0
2005-08-24,8.0642,8.1316,7.9677,7.9977,1345313,0
2005-08-25,8.0348,8.0797,7.9826,8.005,590329,0
2005-08-26,7.9677,7.9826,7.6476,7.7965,818085,0
2005-08-29,7.7073,7.8637,7.6998,7.8263,357207,0
2005-08-30,7.7666,7.8713,7.7666,7.8192,1010122,0
2005-08-31,7.8415,7.8863,7.8113,7.8192,640289,0
2005-09-01,7.8113,7.8637,7.6922,7.7891,418981,0
2005-09-02,7.7965,7.8044,7.6998,7.7819,127844,0
2005-09-06,7.8044,7.8415,7.7594,7.8044,192032,0
2005-09-07,7.8263,7.8936,7.7891,7.8192,865895,0
2005-09-08,7.8044,7.9009,7.7744,7.8263,706632,0
2005-09-09,7.8336,7.8936,7.7519,7.7666,225873,0
2005-09-12,7.7224,7.7594,7.6702,7.7445,157656,0
2005-09-13,7.7744,7.8485,7.7297,7.8113,184783,0
2005-09-14,7.8044,7.9754,7.7965,7.8336,202778,0
2005-09-15,7.7744,7.8713,7.7368,7.8485,446382,0
2005-09-16,7.9607,7.9977,7.9083,7.9379,283890,0
2005-09-19,8.0203,8.0203,7.9532,7.9532,211643,0
2005-09-20,8.0722,8.0952,7.8263,7.8263,662584,0
2005-09-21,7.8336,7.8713,7.7744,7.7819,329544,0
2005-09-22,7.7965,7.9083,7.7519,7.7744,335998,0
2005-09-23,7.7819,7.7819,7.6922,7.6998,639216,0
2005-09-26,7.6853,7.7666,7.6774,7.6998,873952,0
2005-09-27,7.7073,7.7891,7.6998,7.7445,2084436,0
2005-09-28,7.7519,7.7891,7.6922,7.7297,2473337,0
2005-09-29,7.7744,7.7819,7.7145,7.7445,1710577,0
2005-09-30,7.7819,7.8559,7.7819,7.8044,1288370,0
2005-10-03,7.8415,7.8784,7.7744,7.7819,751480,0
2005-10-04,7.7891,7.8485,7.7594,7.8044,1627586,0
2005-10-05,7.8336,7.8863,7.7819,7.7891,1115674,0
2005-10-06,7.7891,7.8336,7.6178,7.6403,606181,0
2005-10-07,7.6853,7.7368,7.6853,7.7073,432413,0
2005-10-10,8.0571,8.0571,7.6922,7.7073,170011,0
