Date,Open,High,Low,Close,Volume,OpenInt
2017-01-26,16,17.72,15.17,17,3285948,0
2017-01-27,16.81,18.35,16.38,17.53,260481,0
2017-01-30,17.16,17.71,17.05,17.16,86275,0
2017-01-31,17.05,17.11,16.8,16.95,51614,0
2017-02-01,17.26,17.26,16.59,16.62,101465,0
2017-02-02,16.82,17,16.06,16.98,55813,0
2017-02-03,16.99,18.14,16.4895,17.53,38279,0
2017-02-06,17.89,19.5,17.56,18.84,122720,0
2017-02-07,19.33,19.5,18.18,18.54,27329,0
2017-02-08,18.48,20,18.3887,19.81,65656,0
2017-02-09,20,20.25,19.55,20.15,55570,0
2017-02-10,20.76,22.6,19.717,22.52,132922,0
2017-02-13,22.5,23.43,22.22,23.38,105340,0
2017-02-14,23.41,23.59,22.65,23.59,64389,0
2017-02-15,23.23,23.7213,22.4,23.5,81272,0
2017-02-16,24,24.9499,22.16,22.55,132398,0
2017-02-17,23.14,23.89,21.68,23.89,80695,0
2017-02-21,24.25,25.434,23.51,23.73,129593,0
2017-02-22,24.4,24.4,22.8901,23.15,194855,0
2017-02-23,23.42,23.94,22.4505,23.57,223157,0
2017-02-24,22.3,26.4085,22.3,24.6,119067,0
2017-02-27,24.74,24.74,23.4161,24.16,111183,0
2017-02-28,23.79,24.2999,23.6301,23.85,52415,0
2017-03-01,23.85,24.0499,22.511,23.07,95492,0
2017-03-02,23.05,23.53,21.9339,22.78,85881,0
2017-03-03,23,23.65,22.2501,22.7,78312,0
2017-03-06,22.83,23.5,22.83,23,108954,0
2017-03-07,23.1,24.22,23.1,23.8501,45063,0
2017-03-08,24.22,24.5,22.38,22.95,96201,0
2017-03-09,22.97,24.119,22.59,23.1,45264,0
2017-03-10,23.48,23.53,22.8953,23.4,77377,0
2017-03-13,23.24,26.6,23,25.56,97047,0
2017-03-14,25.55,27.79,24.29,26.39,133988,0
2017-03-15,26.24,26.61,25.61,25.93,81509,0
2017-03-16,26.14,26.92,25.9,26.53,144960,0
2017-03-17,26.7,27.0783,26.36,26.52,236864,0
2017-03-20,26.6,27.9477,26.6,27.39,81675,0
2017-03-21,27.35,27.8,27.02,27.52,100604,0
2017-03-22,27.54,27.9442,26.68,27.03,33874,0
2017-03-23,27,28,26.9,27.6,84373,0
2017-03-24,27.3,27.99,26.71,27.74,65388,0
2017-03-27,27.53,28.2276,27.05,27.53,106158,0
2017-03-28,27.6,28.215,27.29,27.7,61259,0
2017-03-29,27.91,28.42,27.41,27.88,66706,0
2017-03-30,28,29.96,28,28.78,118132,0
2017-03-31,29.17,29.5,27.38,27.75,439514,0
2017-04-03,27.7,28.23,27.5801,27.9,62177,0
2017-04-04,27.89,28.4,27,27.29,116019,0
2017-04-05,27.29,27.29,25.58,25.98,120559,0
2017-04-06,25.46,25.56,22.4,24.89,67230,0
2017-04-07,25.09,25.22,23.84,24.69,46244,0
2017-04-10,24.89,25.74,24.5,25.11,42173,0
2017-04-11,25.17,25.25,23.51,25,59800,0
2017-04-12,25.15,25.92,24.97,25.38,52094,0
2017-04-13,25.135,25.135,24.4376,24.74,10484,0
2017-04-17,25,25.66,24.3257,24.95,64541,0
2017-04-18,25,25.625,23.6386,24.28,111299,0
2017-04-19,24.5,24.96,24.2,24.64,62566,0
2017-04-20,24.86,25.39,24.5,24.67,35902,0
2017-04-21,24.58,25.47,24.31,24.52,64090,0
2017-04-24,24.81,25.05,24.07,24.78,74750,0
2017-04-25,24.68,25.9,24.18,25.39,76959,0
2017-04-26,25.29,27.62,25.2,26.8,53147,0
2017-04-27,26.95,27.35,25.531,26.95,56716,0
2017-04-28,27.01,27.8,26.53,26.68,39931,0
2017-05-01,26.53,26.53,24.57,26.22,15980,0
2017-05-02,26.4,27.28,25.601,26.24,19954,0
2017-05-03,25.81,27.05,24.7,26.1,29076,0
2017-05-04,25.35,26.52,25.35,25.79,21456,0
2017-05-05,25.64,26.73,25.055,26.14,16420,0
2017-05-08,25.9,26.37,25.7,26.08,15584,0
2017-05-09,26.07,26.36,24.277,25.79,39129,0
2017-05-10,25.89,25.89,25.64,25.64,1843,0
2017-05-11,26.08,26.92,25.6,26.68,98752,0
2017-05-12,26.12,26.7804,25.68,26.29,44198,0
2017-05-15,26.2792,26.39,25.69,26.39,41681,0
2017-05-16,26.8,27.69,26.46,27.55,72627,0
2017-05-17,27.33,27.48,26.35,26.74,67161,0
2017-05-18,26.1171,28,25.64,26.64,43346,0
2017-05-19,26.48,27.2237,26.48,26.9,14695,0
2017-05-22,26.75,26.93,26.5401,26.91,11059,0
2017-05-23,26.3492,27.5,26.3492,27.29,29529,0
2017-05-24,27.2694,27.355,26.08,26.42,51672,0
2017-05-25,26.15,26.94,26.15,26.7,86650,0
2017-05-26,26.15,26.55,25.55,25.7,56525,0
2017-05-30,25.47,26.19,25.43,25.99,8851,0
2017-05-31,27.38,27.38,25.025,25.59,53708,0
2017-06-01,26.03,26.31,24.02,24.82,80022,0
2017-06-02,24.63,25.67,24.63,25.06,68969,0
2017-06-05,24.95,26.1972,22.07,22.43,96460,0
2017-06-06,22.45,23.7368,22.45,23.01,51649,0
2017-06-07,23.02,23.34,18.1501,19.27,164989,0
2017-06-08,19.14,22.9,19.14,22.65,75617,0
2017-06-09,22.65,23.289,22.02,22.45,86534,0
2017-06-12,22.62,22.85,21.73,22.05,61560,0
2017-06-13,22.09,22.58,21.51,22.33,28100,0
2017-06-14,22.16,23.48,21.7,23.14,44330,0
2017-06-15,22.88,24.165,22.365,23.4,95153,0
