Date,Open,High,Low,Close,Volume,OpenInt
2001-05-14,10.205,10.323,10.17,10.313,404053,0
2001-05-15,20.504,20.773,20.413,20.747,431402,0
2001-05-16,20.574,21.195,20.487,21.185,689089,0
2001-05-17,21.131,21.258,20.909,20.986,586151,0
2001-05-18,20.872,20.953,20.717,20.872,919564,0
2001-05-21,20.925,20.986,20.717,20.8,813055,0
2001-05-22,20.881,21.331,20.649,21.069,734168,0
2001-05-25,21.025,21.158,20.881,20.89,373268,0
2001-05-29,20.835,21.167,20.764,21.131,620513,0
2001-05-30,21.131,21.222,20.944,20.944,580378,0
2001-05-31,20.986,21.293,20.853,21.222,493934,0
2001-06-01,21.167,21.258,20.909,21.25,509053,0
2001-06-04,21.293,21.374,21.098,21.331,380826,0
2001-06-05,21.321,21.597,21.293,21.597,522937,0
2001-06-06,21.597,21.597,21.148,21.411,599211,0
2001-06-07,21.374,21.411,21.148,21.331,588899,0
2001-06-08,21.393,21.393,20.996,21.139,497920,0
2001-06-11,21.139,21.274,21.025,21.025,552894,0
2001-06-12,20.986,20.996,20.737,20.961,1317572,0
2001-06-13,21.131,21.139,20.773,20.809,1848479,0
2001-06-14,20.747,20.764,20.151,20.422,2777389,0
2001-06-15,20.487,20.863,20.394,20.773,5233048,0
2001-06-18,20.764,21.043,20.612,20.935,1003399,0
2001-06-19,20.925,21.357,20.917,21.284,1266172,0
2001-06-20,21.25,21.717,21.185,21.53,906785,0
2001-06-21,21.579,22.047,21.521,22.028,1150727,0
2001-06-22,22.021,22.085,21.571,21.579,840817,0
2001-06-25,21.547,21.868,21.547,21.625,758219,0
2001-06-26,21.571,21.717,21.428,21.617,1545022,0
2001-06-27,21.557,21.905,21.411,21.557,629306,0
2001-06-28,21.653,22.021,21.557,21.905,874487,0
2001-06-29,21.905,22.768,21.617,22.085,2024118,0
2001-07-02,21.752,22.257,21.708,22.174,983337,0
2001-07-03,21.95,22.157,21.915,22.104,372858,0
2001-07-05,22.076,22.148,21.987,22.002,361726,0
2001-07-06,22.038,22.038,21.564,21.681,1453357,0
2001-07-09,21.798,21.807,21.444,21.643,856760,0
2001-07-10,21.672,21.681,21.321,21.321,1558904,0
2001-07-12,21.42,21.743,21.205,21.681,363510,0
2001-07-13,21.597,22.113,21.482,22.021,581615,0
2001-07-16,21.915,22.121,21.752,21.831,498056,0
2001-07-17,21.84,22.218,21.743,22.157,362135,0
2001-07-18,22.021,22.399,21.95,22.309,612126,0
2001-07-19,22.363,22.427,21.978,22.113,867480,0
2001-07-20,21.942,22.066,21.868,21.868,501907,0
2001-07-23,21.85,22.012,21.752,21.831,760831,0
2001-07-24,21.831,21.932,21.617,21.681,506579,0
2001-07-25,21.681,21.734,21.302,21.521,968215,0
2001-07-26,21.521,21.905,21.357,21.84,831333,0
2001-07-27,21.798,22.113,21.788,22.076,513585,0
2001-07-30,21.95,22.218,21.932,22.056,915441,0
2001-07-31,22.056,22.209,21.969,22.085,978386,0
2001-08-01,22.104,22.257,21.895,22.237,700085,0
2001-08-02,22.227,22.363,22.056,22.174,356504,0
2001-08-03,22.138,22.325,22.076,22.325,558530,0
2001-08-06,22.325,22.427,22.148,22.148,534341,0
2001-08-07,22.148,22.399,22.121,22.29,592337,0
2001-08-08,22.138,22.266,22.047,22.085,445832,0
2001-08-09,22.047,22.121,21.886,22.076,608004,0
2001-08-10,22.047,22.325,21.717,22.085,490361,0
2001-08-13,22.094,22.182,22.021,22.104,491736,0
2001-08-14,22.174,22.319,21.905,22.021,310051,0
2001-08-15,21.95,22.201,21.78,21.84,333138,0
2001-08-16,21.752,22.021,21.717,22.002,301120,0
2001-08-17,21.743,22.021,21.681,21.788,602783,0
2001-08-20,21.831,21.987,21.672,21.734,557568,0
2001-08-21,21.672,22.021,21.492,21.681,372033,0
2001-08-22,21.708,21.925,21.681,21.798,281601,0
2001-08-23,21.788,21.932,21.564,21.564,272941,0
2001-08-24,21.597,21.708,21.175,21.293,599620,0
2001-08-27,21.293,21.463,20.737,20.747,577358,0
2001-08-28,20.773,20.953,20.699,20.727,635627,0
2001-08-29,20.773,20.773,20.376,20.422,600034,0
2001-08-30,20.529,20.764,20.261,20.342,936055,0
2001-08-31,20.251,20.556,20.198,20.288,442671,0
2001-09-04,20.288,20.809,19.828,20.564,1399206,0
2001-09-05,20.422,20.583,20.223,20.432,740075,0
