Date,Open,High,Low,Close,Volume,OpenInt
1999-11-10,51.042,55.211,50.649,53.59,98281166,0
1999-11-11,53.985,60.412,53.985,58.893,34436368,0
1999-11-12,59.683,60.168,54.379,55.361,17964593,0
1999-11-15,55.361,55.655,52.859,54.182,10552792,0
1999-11-17,51.485,53.542,51.141,53.158,7063781,0
1999-11-18,53.343,54.134,51.922,52.068,5740044,0
1999-11-19,52.068,52.068,50.449,51.042,6193049,0
1999-11-22,50.301,50.449,47.901,49.572,5821182,0
1999-11-23,49.767,52.613,49.67,51.972,3445219,0
1999-11-24,52.059,53.787,52.014,53.393,2651122,0
1999-11-26,53.985,54.773,53.787,54.527,1608750,0
1999-11-29,55.22,55.415,52.849,53.739,2417078,0
1999-11-30,53.148,53.343,52.112,52.112,2051047,0
1999-12-01,52.261,53.148,51.766,51.963,1709960,0
1999-12-02,52.059,52.902,51.963,52.902,1692075,0
1999-12-03,53.196,53.393,52.304,52.409,2133038,0
1999-12-06,52.454,52.454,51.567,52.261,1701687,0
1999-12-07,52.014,53.639,51.963,53.639,2181213,0
1999-12-08,53.639,53.935,52.655,53.935,2157976,0
1999-12-09,53.935,54.231,52.555,53.244,2084500,0
1999-12-10,52.359,52.849,51.567,52.161,1518853,0
1999-12-13,52.359,52.803,51.175,52.059,1724676,0
1999-12-14,52.059,52.059,51.074,51.272,2294944,0
1999-12-15,51.272,51.321,50.238,50.285,1949719,0
1999-12-16,50.285,50.532,49.891,50.485,1659959,0
1999-12-17,51.074,53.343,51.028,52.555,2409537,0
1999-12-20,53.393,54.037,52.803,54.037,1826252,0
1999-12-21,53.837,54.43,53.244,54.43,1539048,0
1999-12-22,54.379,54.379,52.112,52.849,1538441,0
1999-12-23,52.454,53.542,51.766,53.444,1436137,0
1999-12-27,54.037,54.974,53.244,54.974,1798881,0
1999-12-28,54.824,54.974,53.689,54.43,1278972,0
1999-12-29,54.43,54.726,53.295,53.639,1100517,0
1999-12-30,54.626,54.824,53.639,53.639,1127282,0
1999-12-31,54.33,54.824,53.935,54.43,789838,0
2000-01-03,54.974,55.02,52.849,52.902,1548778,0
2000-01-04,52.849,52.849,50.976,51.221,1685752,0
2000-01-05,51.175,53.639,51.074,53.639,1705093,0
2000-01-06,51.963,53.739,51.272,53.639,2383138,0
2000-01-07,53.343,53.343,51.864,52.359,1211578,0
2000-01-10,52.753,53.196,52.409,52.902,1449637,0
2000-01-11,52.948,53.196,51.469,51.469,1240772,0
2000-01-12,52.161,53.244,51.618,53.148,1335293,0
2000-01-13,53.343,54.037,53.148,53.889,1303056,0
2000-01-14,54.33,54.626,53.889,54.477,1411077,0
2000-01-18,54.43,54.43,53.148,54.182,1192726,0
2000-01-19,54.037,54.083,53.196,53.837,1322641,0
2000-01-20,53.739,54.527,53.739,54.33,2398832,0
2000-01-21,54.33,54.33,52.604,53.048,1545008,0
2000-01-24,53.542,53.837,52.059,52.059,1011354,0
2000-01-25,51.766,52.555,51.074,51.963,1536372,0
2000-01-26,51.469,51.766,50.879,51.371,1135431,0
2000-01-27,51.52,51.567,50.485,51.371,1372634,0
2000-01-28,51.371,51.963,50.485,51.221,1611426,0
2000-01-31,49.694,50.485,46.536,47.326,6989455,0
2000-02-01,47.08,48.51,45.993,48.411,5791498,0
2000-02-02,47.129,47.278,45.107,45.946,5766680,0
2000-02-03,46.734,46.933,45.256,45.45,2374380,0
2000-02-04,45.895,45.895,44.227,44.476,2122942,0
2000-02-07,44.67,44.81,43.784,43.98,1800582,0
2000-02-08,44.374,46.832,43.98,46.832,2499919,0
2000-02-09,46.933,47.031,45.748,45.748,1471173,0
2000-02-10,45.798,46.141,44.574,45.009,1211216,0
2000-02-11,44.81,44.958,43.488,43.488,1233355,0
2000-02-14,43.635,43.784,42.699,42.895,2497121,0
2000-02-15,42.946,43.387,42.254,43.339,1438937,0
2000-02-16,43.537,44.522,42.995,44.179,1861160,0
2000-02-17,44.574,45.946,44.276,45.748,1260239,0
2000-02-18,45.748,46.884,43.585,44.908,1860189,0
2000-02-22,44.908,44.908,43.042,43.387,1491362,0
2000-02-23,43.437,44.374,42.647,43.339,1040913,0
2000-02-24,43.52,43.52,42.582,42.779,1276415,0
2000-02-25,43.471,44.111,42.779,43.915,1169855,0
2000-02-28,43.965,44.012,43.127,43.52,688023,0
2000-02-29,43.52,43.767,43.127,43.225,913428,0
2000-03-01,43.225,43.274,41.045,41.539,1789396,0
2000-03-02,41.242,42.434,41.195,42.19,1382612,0
2000-03-03,42.19,42.337,41.589,41.687,1253793,0
2000-03-06,43.027,43.027,41.539,41.737,1741343,0
2000-03-07,41.737,41.786,38.768,40.059,2821061,0
2000-03-08,41.737,43.127,40.602,42.978,2767782,0
2000-03-09,43.127,43.127,41.489,41.935,1459371,0
2000-03-10,42.533,43.027,41.983,42.286,944813,0
2000-03-13,41.343,42.879,41.242,41.737,817089,0
2000-03-14,41.539,42.337,41.391,41.589,1304636,0
2000-03-15,41.883,43.817,40.849,43.471,2767173,0
2000-03-16,44.21,45.6,43.569,44.504,1989255,0
2000-03-17,45.15,45.15,43.915,43.915,757115,0
2000-03-20,44.704,45.002,43.718,44.755,1025950,0
2000-03-21,44.556,46.192,43.718,46.043,1081422,0
2000-03-22,46.043,46.734,44.949,45.002,928271,0
2000-03-23,44.949,47.425,44.31,47.178,1791702,0
2000-03-24,47.474,50.738,47.326,50.44,2613168,0
2000-03-27,49.851,50.641,49.555,49.999,1168273,0
2000-03-28,49.456,49.851,47.525,47.67,777677,0
2000-03-29,48.469,48.469,46.141,46.734,1057944,0
2000-03-30,46.536,47.573,46.141,46.341,830102,0
2000-03-31,47.129,49.851,46.043,49.834,884479,0
2000-04-03,49.062,49.062,46.686,46.98,1009650,0
2000-04-04,46.98,47.278,43.817,45.748,1592326,0
2000-04-05,44.949,46.095,44.949,46.043,581460,0
2000-04-06,46.141,47.623,46.141,47.377,974009,0
2000-04-07,47.377,48.617,46.784,48.165,946638,0
2000-04-10,48.37,50.641,48.263,50.641,1551695,0
2000-04-11,50.097,50.097,49.162,49.999,750182,0
2000-04-12,49.702,49.751,48.469,48.666,740451,0
2000-04-13,48.666,48.666,47.031,47.67,688875,0
2000-04-14,46.291,46.489,43.52,43.52,1045900,0
2000-04-17,45.098,47.08,43.52,45.895,1402441,0
2000-04-18,45.895,48.42,45.895,48.016,869639,0
2000-04-19,47.623,47.867,46.489,46.734,620632,0
2000-04-20,48.263,50.541,47.968,50.245,2105181,0
2000-04-24,49.851,50.047,49.062,49.555,1302814,0
2000-04-25,50.887,52.567,50.494,52.567,2000564,0
2000-04-26,52.622,52.965,51.381,52.376,1507539,0
2000-04-27,51.83,52.671,51.585,52.174,838618,0
2000-04-28,52.771,52.816,51.83,52.622,1230068,0
2000-05-01,52.717,52.965,50.836,50.836,1100399,0
2000-05-02,50.687,50.985,50.047,50.494,1904104,0
2000-05-03,50.687,50.687,49.309,49.356,688996,0
2000-05-04,49.162,49.162,47.474,48.214,813802,0
2000-05-05,47.278,48.165,46.686,47.377,1014878,0
2000-05-08,46.686,48.864,46.141,48.321,2100071,0
2000-05-09,48.666,50.145,48.116,49.456,1045169,0
2000-05-10,49.062,49.356,47.968,48.116,1070956,0
2000-05-11,48.165,48.814,48.165,48.469,1136402,0
2000-05-12,48.666,49.555,48.568,48.717,734245,0
2000-05-15,48.717,50.641,48.016,50.097,1350498,0
2000-05-16,50.641,50.641,48.961,49.062,640454,0
2000-05-17,48.864,49.751,48.42,49.309,567229,0
2000-05-18,49.259,49.259,48.568,49.162,762104,0
2000-05-19,48.961,49.206,47.867,48.961,918173,0
2000-05-22,48.766,48.961,47.377,48.617,853578,0
2000-05-23,48.42,49.259,48.37,48.961,814409,0
2000-05-24,48.263,48.568,46.784,47.178,720988,0
2000-05-25,47.162,47.811,46.027,46.717,967439,0
2000-05-26,46.818,47.063,45.034,45.378,1220214,0
2000-05-30,45.229,47.063,45.229,46.866,732423,0
2000-05-31,47.566,48.355,47.317,47.517,965859,0
2000-06-01,48.255,49.25,48.107,48.806,1533939,0
2000-06-02,49.346,49.548,48.355,48.402,906374,0
2000-06-05,48.306,49.595,48.255,48.855,987877,0
2000-06-06,48.855,49.102,48.207,49.004,711618,0
