Date,Open,High,Low,Close,Volume,OpenInt
2016-02-24,23.377,23.428,23.377,23.428,493,0
2016-02-25,23.388,23.428,23.388,23.428,715,0
2016-02-26,23.42,23.483,23.398,23.473,2368,0
2016-02-29,23.687,23.688,23.687,23.688,671,0
2016-03-01,23.724,23.977,23.724,23.977,1176,0
2016-03-02,23.762,24.039,23.762,24.039,1489,0
2016-03-03,23.919,23.919,23.919,23.919,107,0
2016-03-04,24.096,24.221,24.05,24.207,50396,0
2016-03-07,24.19,24.236,24.133,24.199,1518,0
2016-03-08,24.19,25.295,24.161,24.19,3778,0
2016-03-09,24.346,24.478,24.346,24.459,1714,0
2016-03-11,24.646,24.646,24.337,24.366,37560,0
2016-03-14,24.524,24.672,24.217,24.217,2413,0
2016-03-15,24.337,24.432,23.995,24.03,12186,0
2016-03-16,23.797,24.133,23.772,24.133,3511,0
2016-03-17,24.272,24.272,24.181,24.181,1058,0
2016-03-18,24.626,24.626,24.571,24.571,5297,0
2016-03-21,24.05,24.386,24.05,24.386,485,0
2016-03-22,24.532,24.532,24.532,24.532,433,0
2016-03-23,24.765,24.765,24.422,24.541,6755,0
2016-03-24,24.692,25.604,24.32,24.589,17805,0
2016-03-28,24.45,24.775,24.386,24.386,2378,0
2016-03-29,24.432,25.119,24.432,24.487,2593,0
2016-03-31,24.943,24.952,24.943,24.952,737,0
2016-04-01,24.887,24.887,24.877,24.877,871,0
2016-04-04,24.765,24.765,24.765,24.765,811,0
2016-04-05,24.756,24.756,24.541,24.571,3386,0
2016-04-07,24.58,24.58,24.571,24.571,323,0
2016-04-08,24.711,24.775,24.711,24.775,1444,0
2016-04-11,24.943,24.952,24.849,24.952,3535,0
2016-04-12,24.924,24.924,24.924,24.924,107,0
2016-04-13,24.878,24.878,24.878,24.878,682,0
2016-04-14,24.893,24.971,24.893,24.971,627,0
2016-04-19,25.313,25.313,25.313,25.313,2797,0
2016-04-20,25.295,25.295,25.295,25.295,199,0
2016-04-21,25.109,25.132,25.109,25.109,740,0
2016-04-22,25.016,25.016,24.934,24.952,597,0
2016-04-25,25.044,25.044,25.035,25.035,676,0
2016-04-26,25.138,25.194,25.119,25.194,5725,0
2016-04-27,25.464,25.464,25.184,25.184,3060,0
2016-04-28,25.278,25.278,25.278,25.278,177,0
2016-04-29,25.612,25.612,25.23,25.313,4992,0
2016-05-02,25.575,25.604,25.288,25.343,5312,0
2016-05-03,25.343,25.343,25.204,25.204,728,0
2016-05-04,25.128,25.138,25.109,25.109,5166,0
2016-05-05,25.039,25.064,25.022,25.054,4921,0
2016-05-06,25.064,25.064,25.064,25.064,269,0
2016-05-09,25.064,25.064,24.998,25.022,1413,0
2016-05-11,25.083,25.083,25.083,25.083,109,0
2016-05-12,25.105,25.105,25.035,25.035,251,0
2016-05-13,25.016,25.204,25.016,25.035,1059,0
2016-05-16,25.128,25.138,25.082,25.082,6860,0
2016-05-17,24.98,25.044,24.98,25.017,1821,0
2016-05-18,24.98,24.989,24.877,24.903,3935,0
2016-05-19,24.626,24.626,24.524,24.571,5484,0
2016-05-20,24.523,24.534,24.523,24.532,690,0
2016-05-24,24.672,24.672,24.672,24.672,486,0
2016-05-25,24.711,24.711,24.695,24.695,1027,0
2016-05-26,24.831,25.184,24.831,24.905,5368,0
2016-05-27,24.952,24.98,24.924,24.924,2132,0
2016-05-31,24.924,24.943,24.887,24.887,2053,0
2016-06-01,24.719,24.719,24.719,24.719,454,0
2016-06-02,24.692,24.887,24.692,24.877,2470,0
2016-06-06,25.538,25.538,24.993,25.239,3503,0
2016-06-07,25.23,25.259,25.226,25.259,867,0
2016-06-10,25.547,25.547,25.239,25.239,5067,0
2016-06-13,25.157,25.166,25.157,25.157,910,0
2016-06-14,24.877,24.943,24.877,24.877,3095,0
2016-06-15,25.054,25.054,25.054,25.054,178,0
2016-06-20,25.204,25.312,25.204,25.312,560,0
2016-06-22,25.39,26.002,25.39,25.678,15197,0
2016-06-23,25.518,25.761,25.518,25.761,4301,0
2016-06-24,25.128,25.204,25.128,25.204,1183,0
