Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,24.607,25.987,24.607,25.18,557663,0
2005-02-28,25.131,25.299,23.984,24.217,526080,0
2005-03-01,24.103,24.568,23.34,23.488,403496,0
2005-03-02,23.732,23.732,22.515,23.013,420230,0
2005-03-03,23.031,23.799,22.856,23.004,276772,0
2005-03-04,23.04,23.759,22.994,23.35,592494,0
2005-03-07,24.274,24.314,23.32,23.605,637890,0
2005-03-08,23.732,23.769,22.39,22.419,433403,0
2005-03-09,22.505,22.65,21.183,21.251,503615,0
2005-03-10,21.213,21.474,20.247,20.493,667194,0
2005-03-11,21.104,21.862,20.57,20.888,604653,0
2005-03-14,20.81,21.271,19.372,19.848,784735,0
2005-03-15,19.76,20.677,19.664,20.267,610122,0
2005-03-16,21.134,21.243,19.567,21.114,1020363,0
2005-03-17,21.094,21.415,20.658,20.977,388177,0
2005-03-18,21.358,21.494,20.473,20.762,267066,0
2005-03-21,20.771,21.094,19.654,20.093,462988,0
2005-03-22,20.277,20.753,19.828,19.935,397959,0
2005-03-23,19.8,20.093,18.721,18.75,396125,0
2005-03-24,18.76,19.313,18.566,18.662,269240,0
2005-03-28,18.614,18.75,17.611,18.526,559740,0
2005-03-29,18.329,18.711,17.631,17.728,637930,0
2005-03-30,17.553,18.087,16.833,17.106,775059,0
2005-03-31,17.368,17.678,16.813,17.018,479601,0
2005-04-01,17.124,17.611,17.047,17.086,376179,0
2005-04-04,16.998,17.008,16.424,16.629,310833,0
2005-04-05,17.134,17.144,16.57,16.95,378552,0
2005-04-06,16.561,16.969,16.433,16.775,267140,0
2005-04-07,16.911,17.162,16.706,17.124,239496,0
2005-04-08,17.066,17.115,16.687,16.901,342607,0
2005-04-11,16.901,16.901,16.053,16.151,286477,0
2005-04-12,16.19,16.376,15.277,15.752,682787,0
2005-04-13,15.664,15.801,15.14,15.395,315892,0
2005-04-14,15.385,15.453,14.519,14.614,534643,0
2005-04-15,14.519,15.071,14.313,14.796,569041,0
2005-04-18,14.45,15.208,14.313,14.779,349024,0
2005-04-19,14.653,15.634,14.566,15.473,439813,0
2005-04-20,15.597,15.791,15.277,15.336,258344,0
2005-04-21,15.443,15.859,14.653,15.228,425086,0
2005-04-22,15.13,15.365,14.401,15.11,274653,0
2005-04-25,15.13,15.606,14.954,15.606,301954,0
2005-04-26,15.587,15.985,15.587,15.908,612148,0
2005-04-27,15.597,15.762,15.081,15.101,612238,0
2005-04-28,15.023,15.14,14.002,14.002,727794,0
2005-04-29,14.021,14.274,13.806,13.924,367854,0
2005-05-02,13.806,13.963,13.388,13.698,308034,0
2005-05-03,13.63,13.953,13.466,13.573,241365,0
2005-05-04,13.526,15.791,13.526,15.081,592317,0
2005-05-05,15.081,15.375,14.431,14.692,332554,0
2005-05-06,14.75,15.277,14.75,15.238,187503,0
