Date,Open,High,Low,Close,Volume,OpenInt
2016-11-08,19.5,19.5,19,19.4,5400,0
2016-11-23,19.05,19.05,19.05,19.05,300,0
2016-12-05,1,1,1,1,500,0
2016-12-13,19.04,19.04,19.04,19.04,1000,0
2016-12-22,19.5,19.5,19,19,400,0
2017-01-06,18.99,19.02,18.99,19.01,2500,0
2017-01-30,19.24,19.24,19.24,19.24,400,0
2017-01-31,19.3,19.3,19.3,19.3,800,0
2017-05-01,20,20,20,20,300,0
2017-05-02,20,21,20,21,500,0
2017-05-03,19.5,19.5,19.5,19.5,600,0
2017-05-09,20,20,20,20,300,0
2017-05-10,20,20,20,20,600,0
2017-05-11,21,21,20.65,20.65,3100,0
2017-05-18,20.5,20.5,20.5,20.5,300,0
2017-05-22,20.34,20.34,20.34,20.34,200,0
2017-06-13,20.34,20.34,20.34,20.34,1400,0
2017-06-14,20.5,20.5,20.5,20.5,300,0
2017-06-15,20.5,20.5,20.5,20.5,50100,0
2017-06-20,20.5,23,20.5,23,5400,0
2017-06-23,23,23,23,23,200,0
2017-07-12,18.4,18.4,18.4,18.4,10100,0
2017-07-17,18.5,19,18.5,19,300,0
2017-07-18,19.01,19.01,18.99,18.99,400,0
2017-08-16,18.5,18.5,18.5,18.5,2400,0
2017-09-20,19,19,19,19,1000,0
2017-10-16,19.05,19.05,19.05,19.05,200,0
2017-10-17,19.15,19.2,19.05,19.2,4800,0
2017-10-18,18.5,18.65,18.5,18.65,3800,0
2017-10-20,18.75,18.75,18.75,18.75,100,0
2017-10-27,1.01,1.01,1.01,1.01,400,0
2017-11-03,18.8,18.8,18.8,18.8,1200,0
