Date,Open,High,Low,Close,Volume,OpenInt
2017-06-09,49.098,49.186,49.098,49.186,11551,0
2017-06-12,49.158,49.364,49.137,49.226,62613,0
2017-06-13,49.216,49.216,49.204,49.204,683,0
2017-06-14,49.453,49.513,49.393,49.393,1000,0
2017-06-15,49.443,49.453,49.403,49.403,8694,0
2017-06-16,49.483,49.523,49.453,49.453,74914,0
2017-06-19,49.523,49.523,49.453,49.465,12897,0
2017-06-20,49.473,49.572,49.473,49.562,24972,0
2017-06-21,49.483,49.562,49.473,49.562,37901,0
2017-06-22,49.612,49.612,49.523,49.572,76805,0
2017-06-23,49.532,49.576,49.532,49.552,63065,0
2017-06-26,49.682,49.691,49.612,49.642,32027,0
2017-06-27,49.532,49.532,49.487,49.509,1058,0
2017-06-28,49.483,49.532,49.428,49.532,405,0
2017-06-29,49.344,49.433,49.344,49.433,2177,0
2017-06-30,49.433,49.433,49.374,49.403,97826,0
2017-07-03,49.433,49.433,49.324,49.324,1664,0
2017-07-05,49.314,49.364,49.314,49.324,10164,0
2017-07-06,49.246,49.246,49.136,49.226,42666,0
2017-07-07,49.226,49.226,49.186,49.186,817,0
2017-07-10,49.261,49.265,49.239,49.239,1391,0
2017-07-11,49.256,49.295,49.236,49.295,981,0
2017-07-12,49.413,49.453,49.413,49.443,907,0
2017-07-13,49.384,49.384,49.306,49.354,2803,0
2017-07-14,49.532,49.532,49.423,49.463,622,0
2017-07-17,49.473,49.532,49.473,49.523,1328,0
2017-07-18,49.602,49.672,49.602,49.672,8725,0
2017-07-19,49.672,49.721,49.652,49.672,4923,0
2017-07-20,49.75,49.81,49.728,49.73,2949,0
2017-07-21,49.84,49.86,49.83,49.84,916,0
2017-07-25,49.622,49.632,49.552,49.552,10239,0
2017-07-26,49.592,49.73,49.592,49.73,4440,0
2017-07-27,49.582,49.629,49.582,49.627,788330,0
2017-07-28,49.662,49.73,49.662,49.701,305777,0
2017-07-31,49.691,49.73,49.691,49.73,23105,0
2017-08-01,49.784,49.874,49.784,49.874,582777,0
2017-08-02,49.894,49.894,49.834,49.834,171079,0
2017-08-03,49.844,49.884,49.844,49.884,505397,0
2017-08-04,49.764,49.764,49.665,49.705,11431,0
2017-08-07,49.734,49.764,49.705,49.734,85767,0
2017-08-08,49.693,49.693,49.535,49.565,12154,0
2017-08-09,49.645,49.665,49.582,49.582,4430,0
2017-08-10,49.595,49.625,49.535,49.615,9039,0
2017-08-11,49.506,49.625,49.506,49.625,9076,0
2017-08-14,49.595,49.655,49.555,49.615,14680,0
2017-08-15,49.557,49.557,49.557,49.557,303,0
2017-08-16,49.575,49.764,49.575,49.715,18182,0
2017-08-17,49.675,49.774,49.675,49.764,13686,0
2017-08-18,49.804,49.824,49.715,49.731,17020,0
2017-08-21,49.734,49.794,49.734,49.784,3787,0
2017-08-22,49.734,49.774,49.711,49.734,9310,0
2017-08-23,49.824,49.854,49.784,49.834,1024263,0
2017-08-24,49.784,49.834,49.784,49.789,25923,0
2017-08-25,49.804,49.904,49.794,49.844,83983,0
2017-08-28,49.859,49.884,49.844,49.884,19847,0
2017-08-29,49.973,49.983,49.844,49.874,20784,0
2017-08-30,49.874,49.874,49.874,49.874,403,0
2017-08-31,49.924,49.924,49.884,49.924,21790,0
2017-09-01,49.918,49.918,49.848,49.848,1251,0
2017-09-05,49.918,50.039,49.908,50.013,20669,0
2017-09-06,50.027,50.057,49.947,49.947,2261,0
2017-09-07,49.987,50.196,49.987,50.196,41223,0
2017-09-08,49.987,50.047,49.987,50.047,6049,0
2017-09-11,49.858,49.858,49.858,49.858,151,0
2017-09-12,49.858,49.858,49.798,49.798,2258,0
2017-09-13,49.868,49.868,49.778,49.793,6285,0
2017-09-14,49.788,49.868,49.778,49.858,12379,0
2017-09-15,49.828,49.868,49.82,49.868,28846,0
2017-09-18,49.858,49.858,49.858,49.858,1206,0
2017-09-19,49.878,49.878,49.878,49.878,1004,0
2017-09-20,49.868,49.868,49.719,49.838,17748,0
2017-09-21,49.838,49.918,49.798,49.808,35974,0
2017-09-22,49.898,49.898,49.808,49.878,31026,0
2017-09-25,49.908,50.027,49.908,50.007,27135,0
2017-09-26,49.957,49.977,49.957,49.977,4020,0
2017-09-27,49.748,49.748,49.738,49.738,302,0
2017-09-28,49.758,49.878,49.728,49.868,12642,0
2017-09-29,49.947,49.967,49.828,49.937,62059,0
2017-10-02,49.886,49.886,49.886,49.886,108,0
2017-10-03,49.887,49.966,49.887,49.966,6481,0
2017-10-04,49.956,50.046,49.956,50.036,8734,0
2017-10-05,49.956,49.986,49.956,49.986,2141,0
2017-10-06,49.927,49.927,49.917,49.917,2105,0
2017-10-09,49.917,49.986,49.907,49.976,2205,0
2017-10-10,49.956,50.086,49.956,49.986,24871,0
2017-10-11,50.026,50.026,49.986,49.986,2131,0
2017-10-12,49.907,50.016,49.907,49.996,53569,0
2017-10-13,50.026,50.128,50.026,50.046,1016,0
2017-10-16,50.126,50.126,50.069,50.069,1268,0
2017-10-17,50.046,50.136,50.036,50.126,7889,0
2017-10-18,49.966,50.026,49.966,50.023,4709,0
2017-10-19,50.071,50.146,50.026,50.076,44404,0
2017-10-20,49.956,49.961,49.946,49.961,4390,0
2017-10-23,50.013,50.013,50.013,50.013,371,0
2017-10-24,49.956,49.966,49.946,49.946,12846,0
2017-10-25,49.807,49.853,49.787,49.853,15814,0
2017-10-26,49.787,49.887,49.787,49.882,925,0
2017-10-27,49.956,49.976,49.956,49.976,2033,0
2017-10-30,50.061,50.061,50.061,50.061,120,0
2017-10-31,50.021,50.021,50.008,50.008,386,0
2017-11-01,50,50.07,50,50.03,3501,0
2017-11-02,50.065,50.08,50.065,50.08,465,0
2017-11-03,50.1,50.1,50.1,50.1,902,0
2017-11-06,50.0947,50.205,50.0947,50.1944,14159,0
2017-11-07,50.05,50.126,50.05,50.09,2940,0
2017-11-08,50.09,50.09,50.05,50.05,1463,0
2017-11-09,49.94,49.989,49.915,49.989,1983,0
2017-11-10,49.79,49.79,49.7099,49.72,1348,0
