Date,Open,High,Low,Close,Volume,OpenInt
2017-10-11,25.17,25.2,25.17,25.18,40325,0
2017-10-12,25.18,25.23,25.18,25.2,64268,0
2017-10-13,25.2,25.2,25.18,25.19,45291,0
2017-10-16,25.18,25.2,25.18,25.1879,27025,0
2017-10-17,25.2,25.2,25.18,25.18,10945,0
2017-10-18,25.18,25.2,25.18,25.2,20113,0
2017-10-19,25.19,25.2,25.19,25.19,12540,0
2017-10-20,25.19,25.22,25.19,25.22,50131,0
2017-10-23,25.2152,25.3,25.19,25.3,39037,0
2017-10-24,25.19,25.24,25.19,25.1974,8386,0
2017-10-25,25.2,25.2322,25.19,25.2092,18694,0
2017-10-26,25.23,25.23,25.19,25.21,15535,0
2017-10-27,25.2147,25.2259,25.2,25.2,3381,0
2017-10-30,25.22,25.22,25.2,25.22,9286,0
2017-10-31,25.23,25.23,25.2,25.23,13809,0
2017-11-01,25.2,25.23,25.2,25.22,10694,0
2017-11-02,25.23,25.23,25.2,25.23,16216,0
2017-11-03,25.23,25.23,25.2132,25.23,820,0
2017-11-06,25.2122,25.23,25.21,25.23,5681,0
2017-11-07,25.2189,25.23,25.21,25.21,10166,0
2017-11-08,25.21,25.2263,25.19,25.2013,8785,0
