Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,8.6173,8.7158,8.4564,8.5807,76018,0
2005-02-28,8.5362,8.775,8.452,8.5807,112153,0
2005-03-01,8.6208,8.7066,8.5807,8.5807,35310,0
2005-03-02,8.5255,8.8262,8.452,8.7431,35861,0
2005-03-03,8.6253,8.8326,8.3991,8.7158,44371,0
2005-03-04,8.7257,8.7257,8.4666,8.652,31571,0
2005-03-07,8.6119,8.7066,8.5105,8.5105,54739,0
2005-03-08,8.5425,8.8262,8.4356,8.452,30872,0
2005-03-09,8.4356,8.8262,8.3305,8.452,43745,0
2005-03-10,8.4846,8.505,8.2033,8.2515,60099,0
2005-03-11,8.178,8.6253,8.0919,8.1661,96924,0
2005-03-14,8.3245,8.4791,8.2455,8.3782,33928,0
2005-03-15,8.4615,8.4615,8.2976,8.3245,12936,0
2005-03-16,8.2515,8.3044,8.124,8.2829,38602,0
2005-03-17,8.3878,8.4252,8.0767,8.1713,185381,0
2005-03-18,8.0286,8.1881,7.9927,8.1661,6825013,0
2005-03-21,8.0979,8.1661,8.0708,8.1089,900695,0
2005-03-22,8.0919,8.1469,8.0708,8.1189,839904,0
2005-03-23,8.1189,8.1189,7.7974,7.9435,863108,0
2005-03-24,8.0506,8.0506,7.8709,7.88,1132136,0
2005-03-28,7.8545,7.903,7.734,7.8545,341185,0
2005-03-29,7.903,8.0244,7.866,7.9763,415521,0
2005-03-30,7.9977,8.124,7.9927,8.1089,661795,0
2005-03-31,8.151,8.3088,8.0708,8.2777,801602,0
2005-04-01,8.5192,8.5255,8.2922,8.4104,837638,0
2005-04-04,8.5192,8.5192,8.3305,8.4564,275423,0
2005-04-05,8.4477,8.4881,8.2151,8.4252,248040,0
2005-04-06,8.5521,8.5521,8.2236,8.3851,176679,0
2005-04-07,8.2922,8.5105,8.2236,8.5105,251303,0
2005-04-08,8.5105,8.5105,8.3245,8.3782,148796,0
2005-04-11,8.4739,8.4739,8.2295,8.3044,129802,0
2005-04-12,8.367,8.505,8.2515,8.4988,447195,0
2005-04-13,8.452,8.4791,8.3245,8.4199,278590,0
2005-04-14,8.4791,8.4791,8.1984,8.2829,285484,0
2005-04-15,8.3991,8.3991,8.0708,8.1089,526027,0
2005-04-18,8.0767,8.2236,8.0767,8.102,322366,0
2005-04-19,8.102,8.178,7.8982,8.1138,259993,0
2005-04-20,8.178,8.178,8.0566,8.0566,221631,0
2005-04-21,8.0979,8.2922,8.0919,8.2568,221039,0
2005-04-22,8.1661,8.2922,8.124,8.2455,224680,0
2005-04-25,8.2976,8.3878,8.2033,8.3878,166312,0
2005-04-26,8.4034,8.452,8.3305,8.3409,147732,0
2005-04-27,8.3782,8.452,8.2295,8.3782,120078,0
2005-04-28,8.4477,8.5192,8.367,8.4165,417639,0
2005-04-29,8.4165,8.4615,8.102,8.367,1010982,0
2005-05-02,8.1342,8.4165,8.1342,8.3618,379685,0
2005-05-03,8.4302,8.4302,8.0919,8.2346,246110,0
2005-05-04,8.321,8.4252,8.151,8.3723,267286,0
2005-05-05,8.3088,8.3782,8.2193,8.2976,291635,0
2005-05-06,8.3991,8.4791,8.1399,8.2976,148004,0
2005-05-09,8.3358,8.4356,8.2236,8.4356,114982,0
2005-05-10,8.2515,8.3782,8.178,8.2612,96194,0
2005-05-11,8.2829,8.2829,8.0608,8.2412,156178,0
2005-05-12,8.2888,8.2888,8.1291,8.1399,161421,0
2005-05-13,8.1291,8.2724,8.0566,8.0979,124492,0
2005-05-16,8.2455,8.2922,8.1822,8.2295,113909,0
2005-05-17,8.2777,8.3245,8.1984,8.3088,178952,0
2005-05-18,8.3618,8.4739,8.2612,8.4104,219750,0
2005-05-19,8.4739,8.5362,8.3471,8.505,127165,0
2005-05-20,8.5255,8.5611,8.3245,8.5477,112359,0
2005-05-23,8.4615,8.5736,8.2829,8.5255,115624,0
2005-05-24,8.4302,8.5477,8.3471,8.3851,90698,0
2005-05-25,8.505,8.5736,8.3245,8.3991,137667,0
2005-05-26,8.4477,8.5521,8.3782,8.5521,65935,0
2005-05-27,8.5165,8.6253,8.505,8.5683,142930,0
2005-05-31,8.6253,8.6253,8.4034,8.5192,1384819,0
2005-06-01,8.6253,8.6793,8.4252,8.6119,150513,0
2005-06-02,8.3878,8.6793,8.3878,8.5611,146897,0
2005-06-03,8.6793,8.6939,8.4252,8.5105,208625,0
2005-06-06,8.5995,8.775,8.5521,8.6939,132543,0
2005-06-07,8.7842,8.817,8.7066,8.7066,205179,0
2005-06-08,8.6793,8.7431,8.5807,8.6369,152220,0
2005-06-09,8.6793,8.8262,8.5736,8.7898,138430,0
2005-06-10,8.8262,8.8812,8.7211,8.8747,98551,0
2005-06-13,8.8536,8.8812,8.7003,8.87,66800,0
2005-06-14,8.87,8.9073,8.8071,8.8812,172310,0
2005-06-15,8.8812,8.9904,8.8435,8.9709,223005,0
2005-06-16,8.9335,9.0119,8.8812,9.0119,126773,0
2005-06-17,9.0708,9.0765,8.9335,9.0166,235455,0
2005-06-20,9.0494,9.0765,8.9382,8.9971,258729,0
2005-06-21,9.0026,9.0765,8.9073,8.9709,213642,0
2005-06-22,9.0344,9.0447,8.9224,9.0344,185325,0
2005-06-23,9.0344,9.0344,8.7313,8.7898,255491,0
2005-06-24,8.9224,9.1557,8.8636,9.1557,1618276,0
2005-06-27,8.9531,9.1329,8.9531,9.1329,202318,0
2005-06-28,9.0813,9.1233,8.9756,9.0344,304123,0
2005-06-29,8.9803,9.0447,8.8117,8.8905,177077,0
2005-06-30,8.9335,9.1309,8.9335,8.9971,341813,0
2005-07-01,9.0861,9.0861,8.9597,9.0708,118183,0
2005-07-05,9.0813,9.1071,8.9709,9.0813,159831,0
2005-07-06,9.0765,9.1329,8.9476,9.04,182905,0
2005-07-07,8.9803,9.1137,8.9438,9.0661,84999,0
2005-07-08,9.0595,9.2569,8.9652,9.1329,119638,0
2005-07-11,9.0918,9.3338,9.0595,9.3338,253412,0
2005-07-12,9.3338,9.3602,9.2025,9.3289,127551,0
2005-07-13,9.2616,9.3338,9.1806,9.3289,116051,0
2005-07-14,9.3875,9.3875,9.0344,9.0813,154761,0
2005-07-15,8.9904,9.2889,8.9597,9.2702,75455,0
2005-07-18,9.2454,9.3563,9.0708,9.0861,127583,0
2005-07-19,9.1806,9.2967,9.0595,9.2889,137429,0
2005-07-20,9.1863,9.3455,9.1013,9.3455,257743,0
2005-07-21,9.3084,9.4226,9.04,9.234,134426,0
2005-07-22,9.2967,9.3777,9.234,9.3338,109301,0
2005-07-25,9.3455,9.3973,9.2388,9.2388,49385,0
2005-07-26,9.4109,9.4226,9.2569,9.3192,210758,0
2005-07-27,9.3973,9.4226,9.2772,9.3875,86942,0
2005-07-28,9.4295,9.4568,9.1758,9.213,249041,0
2005-07-29,9.1557,9.2454,8.3878,9.0494,561305,0
2005-08-01,9.0813,9.1806,8.9167,9.1557,108190,0
2005-08-02,9.1968,9.2454,9.04,9.2025,211239,0
2005-08-03,9.2702,9.626,9.1557,9.594,1047062,0
2005-08-04,9.673,9.747,9.4939,9.715,1070822,0
2005-08-05,9.838,9.838,9.1968,9.2772,866819,0
2005-08-08,9.1968,9.3777,9.1233,9.1233,109574,0
2005-08-09,9.367,9.726,9.0965,9.2082,172621,0
2005-08-10,9.4148,9.4597,9.0918,9.1233,142656,0
2005-08-11,9.1481,9.2616,8.9904,9.1329,256122,0
2005-08-12,9.1806,9.2967,8.9709,9.0813,155759,0
2005-08-15,9.0222,9.171,9.0222,9.1137,113656,0
2005-08-16,9.1615,9.1615,9.0222,9.1013,123383,0
2005-08-17,9.0813,9.1615,8.9597,8.9597,133670,0
2005-08-18,8.9009,9.04,8.8326,8.9382,144188,0
2005-08-19,8.8905,9.0595,8.8536,9.0166,86520,0
2005-08-22,9.0708,9.2967,8.8812,9.2082,102260,0
2005-08-23,9.1615,9.4353,8.8326,8.8812,550682,0
2005-08-24,8.8262,9.0531,8.6838,8.7943,136168,0
2005-08-25,8.817,8.9597,8.7632,8.8582,127677,0
2005-08-26,8.8071,8.8326,8.6628,8.6628,51827,0
2005-08-29,8.6431,8.8326,8.5931,8.8326,85872,0
2005-08-30,8.7158,8.885,8.5888,8.7569,90735,0
2005-08-31,8.6628,8.9756,8.6208,8.9756,138101,0
2005-09-01,8.9709,8.9709,8.7066,8.7898,137555,0
2005-09-02,8.8536,8.9009,8.7211,8.7569,48068,0
2005-09-06,8.7842,8.9073,8.7842,8.9073,79106,0
2005-09-07,8.849,8.9382,8.7806,8.8905,94656,0
2005-09-08,8.885,8.9073,8.7495,8.87,79514,0
2005-09-09,8.9438,8.9756,8.7806,8.8582,161594,0
2005-09-12,8.7842,8.8326,8.7211,8.7806,244969,0
2005-09-13,8.7257,8.8016,8.5807,8.6253,276330,0
2005-09-14,8.5843,8.6431,8.505,8.6253,140486,0
2005-09-15,8.6484,8.6484,8.3991,8.4615,169900,0
2005-09-16,8.5165,8.6253,8.2295,8.4477,526081,0
2005-09-19,8.4615,8.5807,8.3522,8.452,78372,0
2005-09-20,8.4356,8.5683,8.1984,8.3305,107684,0
