Date,Open,High,Low,Close,Volume,OpenInt
2017-04-19,4.2792,4.2792,4.2792,4.2792,153,0
2017-04-20,4.2494,4.2494,4.2295,4.2298,1945,0
2017-04-21,3.9807,3.9936,3.8613,3.8812,7226,0
2017-04-24,4.2033,4.2792,3.8812,4.1386,7874,0
2017-04-25,4.0802,4.0844,3.8812,3.9812,11588,0
2017-04-26,4.0412,4.0701,4.0412,4.0701,10551,0
2017-04-27,4.172,4.172,4.172,4.172,111,0
2017-04-28,4.1665,4.197,3.8812,4.0411,9738,0
2017-05-01,4.0105,4.2098,4.0105,4.1634,9211,0
2017-05-02,4.1923,4.1945,3.7319,4.1216,13898,0
2017-05-03,4,4.2,4,4.168,12220,0
2017-05-04,4.0174,4.1702,4,4.01,3402,0
2017-05-08,4.25,4.25,3.93,4,998,0
2017-05-09,4.09,4.09,4.09,4.09,105,0
2017-05-10,4.0466,4.0466,3.86,3.86,2103,0
2017-05-11,3.86,3.86,3.86,3.86,101,0
2017-05-12,3.8,3.8,3.7815,3.7999,2305,0
2017-05-15,4.15,4.15,3.68,3.68,1007,0
2017-05-16,4.09,4.09,3.834,3.9333,355,0
2017-05-17,3.93,4.0067,3.7286,3.7286,1221,0
2017-05-18,3.61,4.0857,3.61,4.0089,1740,0
2017-05-19,4,4.1209,3.8,3.9807,7667,0
2017-05-22,4.04,4.04,3.5,3.68,3606,0
2017-05-23,4.04,4.04,3.64,3.67,979,0
2017-05-24,3.28,3.61,3.26,3.61,1046,0
2017-05-25,4,4,3.67,3.68,1536,0
2017-05-26,4.04,4.04,3.8,3.8,4919,0
2017-05-30,3.84,3.84,3.67,3.67,304,0
2017-05-31,4.04,4.04,3.652,3.652,823,0
2017-06-01,3.8,3.9659,3.6956,3.6956,1164,0
2017-06-02,3.9851,4.04,3.83,3.9775,1338,0
2017-06-05,3.7001,3.98,3.3,3.56,10839,0
2017-06-06,4.04,4.04,3.236,3.36,5709,0
2017-06-07,3.4,3.85,3.36,3.85,13261,0
2017-06-08,3.85,3.98,3.47,3.98,1995,0
2017-06-09,3.98,3.98,3.45,3.94,16357,0
2017-06-12,3.98,4.01,3.4,4.01,6330,0
2017-06-13,3.95,4.01,3.61,4.01,4753,0
2017-06-14,3.93,4.01,3.93,3.99,3625,0
