Date,Open,High,Low,Close,Volume,OpenInt
2017-10-05,28.3799,28.3799,28.3327,28.3327,500,0
2017-10-11,28.49,28.49,28.49,28.49,300,0
2017-10-13,28.78,28.78,28.78,28.78,116,0
2017-10-17,29.0345,29.04,29.0345,29.04,200,0
2017-10-20,29.15,29.21,29.15,29.21,6039,0
2017-10-23,29.457,29.4592,29.457,29.4592,2000,0
2017-10-25,29.6,29.6,29.4261,29.4261,3531,0
2017-10-27,29.9099,29.91,29.9099,29.91,670,0
2017-10-30,29.79,29.79,29.6586,29.68,917,0
2017-10-31,29.85,29.85,29.85,29.85,423,0
2017-11-01,30.1947,30.1947,30.1947,30.1947,312,0
2017-11-02,30.2,30.2999,30.2,30.2455,1430,0
2017-11-03,30.3999,30.3999,30.327,30.327,5420,0
2017-11-06,30.31,30.32,30.192,30.28,1100,0
2017-11-08,30.79,30.79,30.79,30.79,404,0
2017-11-09,30.25,30.25,30.25,30.25,287,0
