Date,Open,High,Low,Close,Volume,OpenInt
2016-08-04,16.25,16.48,14.49,15,8840459,0
2016-08-05,15,16.26,15,15.31,2281012,0
2016-08-08,15.3,15.5,15,15,376885,0
2016-08-09,15.04,15.32,14.75,15.21,634708,0
2016-08-10,15.16,15.6489,15.1,15.38,116261,0
2016-08-11,15.35,15.89,15.35,15.73,228965,0
2016-08-12,15.74,15.74,15.14,15.26,148855,0
2016-08-15,15.18,15.42,15.15,15.24,143376,0
2016-08-16,15.06,15.36,15.0401,15.29,159809,0
2016-08-17,15.27,15.28,14.95,15.01,219399,0
2016-08-18,15.01,15.25,15.01,15.15,144808,0
2016-08-19,15.25,15.25,15,15.08,275705,0
2016-08-22,15.03,15.3795,15,15,74401,0
2016-08-23,15.73,17.02,15.55,16.35,1317992,0
2016-08-24,16.39,16.84,16,16.24,410397,0
2016-08-25,16.25,16.4,16,16.08,144488,0
2016-08-26,16.08,16.38,16.0211,16.08,167148,0
2016-08-29,16.22,16.34,15.8,15.8,178991,0
2016-08-30,15.8,15.95,15.55,15.64,124619,0
2016-08-31,15.55,15.5655,15.04,15.25,218777,0
2016-09-01,15.37,15.37,15.12,15.33,152734,0
2016-09-02,15.28,15.57,15.2001,15.37,136064,0
2016-09-06,15.22,15.275,14.39,14.63,677867,0
2016-09-07,14.55,14.59,12.46,12.95,1506064,0
2016-09-08,13,13,12,12.1,723847,0
2016-09-09,12,12.36,11.71,12.06,346065,0
2016-09-12,11.73,12.22,11.6,11.72,286576,0
2016-09-13,11.58,12.68,11.58,12.45,789894,0
2016-09-14,13.38,13.74,12.48,12.63,1813675,0
2016-09-15,12.63,12.8526,12.1,12.59,607447,0
2016-09-16,12.59,13.5,12.5585,13.45,785863,0
2016-09-19,13.48,13.89,13.464,13.87,234440,0
2016-09-20,13.89,14.18,13.82,14.01,245685,0
2016-09-21,14.29,14.87,14.23,14.75,329860,0
2016-09-22,14.86,14.86,14.65,14.7,344553,0
2016-09-23,14.74,14.79,14.08,14.66,243443,0
2016-09-26,14.66,14.7,14.49,14.53,144960,0
2016-09-27,14.5,14.7,14.5,14.53,171225,0
2016-09-28,14.56,15.199,14.49,14.79,363829,0
2016-09-29,14.7,15.3001,14.7,15.07,194812,0
2016-09-30,15.06,15.49,14.97,15.15,995364,0
2016-10-03,15.15,15.27,13.99,13.99,550802,0
2016-10-04,13.9,13.9,13.29,13.41,434422,0
2016-10-05,13.41,14.05,12.82,13.71,431341,0
2016-10-06,13.61,13.64,13.11,13.6,217662,0
2016-10-07,13.55,13.695,13.33,13.6,259231,0
2016-10-10,13.49,13.93,13.36,13.69,274572,0
2016-10-11,13.62,13.74,13.29,13.4,172683,0
2016-10-12,13.35,13.41,13,13.04,170632,0
2016-10-13,13,13.14,12.87,12.95,132306,0
2016-10-14,12.93,12.98,12.57,12.64,166782,0
2016-10-17,12.64,12.93,12.59,12.81,225091,0
2016-10-18,12.82,13.0621,12.77,12.89,166221,0
2016-10-19,12.93,12.97,12.65,12.68,63620,0
2016-10-20,12.65,12.685,12.45,12.51,210803,0
2016-10-21,12.43,12.43,12.06,12.18,278987,0
2016-10-24,12.28,12.73,12.28,12.49,136759,0
2016-10-25,12.45,12.45,11.79,11.8,300392,0
2016-10-26,11.84,11.91,11.14,11.26,358728,0
2016-10-27,11.33,11.44,11.07,11.18,308530,0
2016-10-28,11.14,11.56,11.14,11.25,110713,0
2016-10-31,11.31,11.33,11.14,11.2,117790,0
2016-11-01,11.21,11.32,11.014,11.31,202245,0
2016-11-02,11.33,11.42,10.85,11.08,188042,0
2016-11-03,11.11,11.1899,10.71,10.74,129299,0
2016-11-04,10.81,10.86,10.54,10.6,141723,0
2016-11-07,10.64,11.03,10.5507,10.88,149474,0
2016-11-08,10.53,11.01,10.53,10.53,111929,0
2016-11-09,10.63,10.93,10.19,10.78,112372,0
2016-11-10,10.78,11.14,10.72,11,231400,0
2016-11-11,11.02,11.6,11.02,11.25,281317,0
2016-11-14,11.3,11.59,11.2769,11.4,152512,0
2016-11-15,11.33,11.4619,11.33,11.44,86226,0
2016-11-16,11.37,11.45,11.18,11.21,142923,0
2016-11-17,11.33,11.47,11.05,11.35,77571,0
2016-11-18,11.38,11.9,11.38,11.76,87630,0
2016-11-21,11.74,12.08,11.57,12.05,122708,0
2016-11-22,12.03,12.25,11.79,12.13,133079,0
2016-11-23,12.13,12.46,11.94,12.19,135424,0
2016-11-25,12.25,12.66,12.25,12.6,78710,0
2016-11-28,12.51,12.66,12.2,12.34,76811,0
2016-11-29,12.38,12.725,12.3,12.68,187971,0
2016-11-30,13.2,13.57,12.7,12.88,448477,0
2016-12-01,12.99,13.01,12.3423,12.46,114937,0
2016-12-02,12.59,12.86,12.4,12.73,150868,0
2016-12-05,12.8,13.8099,12.8,13.61,406958,0
2016-12-06,13.55,14.49,13.5,14.13,495328,0
2016-12-07,14.31,14.39,13.85,14.14,312989,0
2016-12-08,14.16,14.28,14.02,14.15,171585,0
2016-12-09,14.23,14.26,14,14.18,253708,0
2016-12-12,14.17,14.175,13.86,14.07,178352,0
2016-12-13,14.09,14.26,13.72,13.81,195600,0
2016-12-14,13.84,13.84,13.37,13.59,187441,0
2016-12-15,13.67,14.05,13.3,13.89,331548,0
2016-12-16,13.97,14.79,13.81,14.46,618765,0
2016-12-19,14.45,14.97,14.21,14.6,224255,0
2016-12-20,14.62,15.44,14.5,15.24,184212,0
2016-12-21,15.18,15.31,14.88,14.91,101673,0
2016-12-22,14.82,14.82,14.29,14.43,214769,0
2016-12-23,14.45,14.88,14.45,14.67,59993,0
2016-12-27,14.63,15.08,14.6,14.9,62754,0
2016-12-28,14.87,15.01,14.58,14.65,95477,0
2016-12-29,14.73,14.95,14.65,14.78,106409,0
2016-12-30,14.85,14.85,14.505,14.63,122245,0
2017-01-03,14.81,14.81,14.23,14.37,171476,0
2017-01-04,14.4,14.52,14.2,14.43,186235,0
2017-01-05,14.45,14.52,14.11,14.23,202721,0
2017-01-06,14.33,14.33,13.61,13.66,222186,0
2017-01-09,13.7,14.24,13.58,14.08,359473,0
2017-01-10,14.05,14.78,14.0166,14.74,265334,0
2017-01-11,14.79,14.98,14.45,14.96,102641,0
2017-01-12,14.9,14.9,14.1727,14.35,126907,0
2017-01-13,14.42,14.98,14.42,14.47,123157,0
2017-01-17,14.45,15.44,14.45,14.71,132739,0
2017-01-18,14.87,15.1,14.5,15.02,185918,0
2017-01-19,15,15.38,14.86,14.99,209524,0
2017-01-20,14.99,15.74,14.95,15.28,396710,0
2017-01-23,15.25,15.6599,15.235,15.34,161054,0
2017-01-24,15.32,16.17,15.3,16.06,200423,0
2017-01-25,16.24,16.69,15.96,16.07,207954,0
2017-01-26,16.11,16.39,15.73,15.77,197404,0
2017-01-27,15.85,15.85,15.01,15.14,277318,0
2017-01-30,15.04,15.39,14.79,15.17,110557,0
2017-01-31,15.12,15.32,14.831,15.24,85091,0
2017-02-01,15.33,15.4438,14.89,14.91,75233,0
2017-02-02,14.94,15.46,14.86,15.44,108560,0
2017-02-03,15.49,16.02,15.3163,15.9,146391,0
2017-02-06,15.85,16.06,15.14,15.48,149027,0
2017-02-07,15.45,15.45,14.88,15.02,102925,0
2017-02-08,15,15.285,14.52,15.16,700149,0
2017-02-09,15.15,15.99,15.15,15.71,90283,0
2017-02-10,15.71,15.99,15.41,15.83,89807,0
2017-02-13,15.97,15.97,15.45,15.57,62960,0
2017-02-14,15.59,15.78,15.181,15.67,99437,0
2017-02-15,15.56,16.175,15.37,16.13,88338,0
2017-02-16,16.01,16.17,15.78,15.98,50636,0
2017-02-17,15.92,16.16,15.63,15.75,113594,0
2017-02-21,15.75,15.94,15.45,15.84,63273,0
2017-02-22,15.83,15.9,15.26,15.49,87169,0
2017-02-23,15.54,15.54,14.811,14.92,132951,0
2017-02-24,14.82,15.35,14.65,15.05,104130,0
2017-02-27,15.1,15.42,15.03,15.38,68972,0
2017-02-28,15.34,15.34,14.68,15.03,191994,0
2017-03-01,15.24,15.37,14.81,14.91,80755,0
2017-03-02,14.9,15.1,14.75,14.84,112119,0
2017-03-03,14.95,15.07,14.649,14.8,139701,0
2017-03-06,14.67,14.855,14.31,14.41,122096,0
2017-03-07,14.4,14.74,14.21,14.57,141384,0
2017-03-08,14.53,14.67,14.05,14.11,117492,0
2017-03-09,14,14.29,13.97,14.15,69167,0
2017-03-10,14.3,14.48,14.17,14.38,45060,0
2017-03-13,14.38,14.64,14.2,14.41,55532,0
2017-03-14,14.36,15.132,14.265,15.05,160790,0
2017-03-15,15.15,15.36,14.96,15.23,75681,0
2017-03-16,15.23,15.94,15.2,15.67,76496,0
2017-03-17,15.71,15.81,15.3818,15.62,61129,0
2017-03-20,15.56,15.75,15.26,15.39,66667,0
2017-03-21,15.5,15.5,14.667,14.75,83715,0
2017-03-22,14.66,15.09,14.44,14.97,85225,0
2017-03-23,15.05,15.38,15.0035,15.23,58792,0
2017-03-24,15.27,15.69,15.27,15.61,59932,0
2017-03-27,15.5,15.89,15.2,15.62,194044,0
2017-03-28,16.5,16.99,14.8,15.28,514957,0
2017-03-29,15.5,15.57,15.035,15.48,214183,0
2017-03-30,15.6,15.65,14.81,15.29,162075,0
2017-03-31,15.27,15.65,15.02,15.16,115525,0
2017-04-03,15.19,15.25,14.9,15.03,93955,0
2017-04-04,15.1,15.12,14.84,15.08,289336,0
2017-04-05,15.1,15.49,14.88,15.04,184690,0
2017-04-06,14.93,15.32,14.92,15.21,75318,0
2017-04-07,15.1301,15.57,15.13,15.51,94509,0
2017-04-10,15.58,16.05,15.58,15.96,115628,0
2017-04-11,15.97,16.09,15.54,15.95,44187,0
2017-04-12,15.98,15.98,15.45,15.47,43530,0
2017-04-13,15.47,15.51,14.9,14.92,101932,0
2017-04-17,15.06,15.07,14.81,14.99,82614,0
2017-04-18,14.97,15.74,14.96,15.69,103918,0
2017-04-19,15.68,16.47,15.6755,16.2,146523,0
2017-04-20,16.24,16.636,16.0601,16.5,189570,0
2017-04-21,16.37,16.61,16.26,16.47,87832,0
2017-04-24,16.71,16.84,16.41,16.73,65762,0
2017-04-25,16.81,17.39,16.64,16.84,143469,0
2017-04-26,16.88,17.505,16.84,17.3,81908,0
2017-04-27,17.29,17.74,17.04,17.55,126152,0
2017-04-28,17.58,17.65,17.01,17.51,141967,0
2017-05-01,17.69,17.69,17.01,17.29,80939,0
2017-05-02,17.3,17.49,17.0764,17.4,56968,0
2017-05-03,17.41,17.54,17.12,17.52,70850,0
2017-05-04,17.52,18,17.49,17.97,106716,0
2017-05-05,18,18.43,18,18.36,172272,0
2017-05-08,18.31,18.5399,18.27,18.43,78654,0
2017-05-09,18.5,19.35,18.47,19.05,328122,0
2017-05-10,19.03,19.24,18.83,19.06,108271,0
2017-05-11,18.88,19.33,18.7,19.1,92640,0
2017-05-12,19.02,19.1,18.57,18.74,118285,0
2017-05-15,18.73,18.93,18.45,18.55,157029,0
2017-05-16,18.61,18.85,18.49,18.64,185206,0
2017-05-17,18.39,18.68,18.36,18.5,229981,0
2017-05-18,18.43,18.56,18.21,18.24,248770,0
2017-05-19,18.34,18.67,18.2,18.6,65672,0
2017-05-22,18.64,18.86,18.53,18.61,62766,0
2017-05-23,18.63,18.7,18.42,18.61,48747,0
2017-05-24,18.61,18.98,18.5,18.75,76400,0
2017-05-25,18.8,19.48,18.72,19.12,428063,0
2017-05-26,19.16,19.22,18.92,18.95,53566,0
2017-05-30,19.01,19.1,18.63,18.74,55336,0
2017-05-31,18.86,18.86,18.42,18.74,98465,0
2017-06-01,18.74,19.15,18.74,19,84742,0
2017-06-02,19.01,19.13,18.75,18.9,181776,0
2017-06-05,18.94,18.955,18.74,18.87,91196,0
2017-06-06,18.8,18.8,18.4,18.51,258952,0
2017-06-07,18.81,22.58,18.5,22.53,1927133,0
2017-06-08,22.53,23.78,22,23.16,424389,0
2017-06-09,23.35,23.43,22.41,22.75,204205,0
2017-06-12,22.92,22.9259,21.52,21.75,211066,0
2017-06-13,21.93,22.58,21.41,21.78,291874,0
2017-06-14,21.96,22.37,21.21,22.33,317353,0
2017-06-15,22.25,22.45,21.57,22.21,177245,0
2017-06-16,22.02,22.11,21.605,21.88,225731,0
2017-06-19,21.9,23.18,21.7428,22.89,187370,0
2017-06-20,22.94,22.96,22.3094,22.53,149642,0
2017-06-21,22.52,22.88,22.27,22.83,153706,0
2017-06-22,22.78,24.03,22.61,23.32,345377,0
2017-06-23,23.33,23.475,22.46,22.59,389602,0
2017-06-26,22.76,23.12,22.55,22.82,137255,0
2017-06-27,22.85,23.7117,22.8,22.8,146237,0
2017-06-28,22.9556,23.25,22.53,22.87,115691,0
2017-06-29,22.89,23.19,22.61,22.76,115508,0
2017-06-30,22.86,23.5138,22.6475,23.29,162814,0
2017-07-03,23.47,23.5,22.83,23.23,57575,0
2017-07-05,23.24,23.5373,22.8,23.47,110415,0
2017-07-06,25.9,26.4,23.77,24.08,487132,0
2017-07-07,24.24,24.4486,22.63,23.12,361476,0
2017-07-10,23.12,23.12,22.15,22.44,165676,0
2017-07-11,22.48,22.85,22.35,22.78,152438,0
2017-07-12,22.96,23.62,22.77,23.28,138206,0
2017-07-13,23.34,23.55,23.13,23.48,144143,0
2017-07-14,22.82,23.04,21.95,22.03,346115,0
2017-07-17,22,22.72,22,22.58,154724,0
2017-07-18,22.59,23.04,22.3445,22.83,132363,0
2017-07-19,22.8,23.4,22.64,23.04,105298,0
2017-07-20,23.03,23.545,22.76,23.35,155917,0
2017-07-21,23.41,23.41,22.92,23.1,133638,0
2017-07-24,23.24,23.24,22.46,22.51,50234,0
2017-07-25,22.58,23.19,22.56,23.02,53420,0
2017-07-26,22.99,23.35,22.67,23.24,66004,0
2017-07-27,23.27,23.39,22.76,23.22,117259,0
2017-07-28,23.2,23.27,22.5,22.77,157041,0
2017-07-31,22.91,22.91,22.445,22.76,86016,0
2017-08-01,22.94,22.99,22.4801,22.69,90616,0
2017-08-02,22.64,22.98,22.43,22.78,69925,0
2017-08-03,22.74,23.1,22.52,22.71,84400,0
2017-08-04,22.856,22.92,22.6,22.86,51643,0
2017-08-07,22.88,23.705,22.86,23.61,75872,0
2017-08-08,23.61,23.95,23.46,23.52,68189,0
2017-08-09,23.41,23.74,23.21,23.35,52344,0
2017-08-10,23.25,23.4,22.6,22.72,71254,0
2017-08-11,22.63,22.8373,22.29,22.63,48483,0
2017-08-14,22.78,23.025,22.59,22.63,44648,0
2017-08-15,22.64,23.12,22.15,22.73,126763,0
2017-08-16,23.44,24.2,22.82,23.64,145484,0
2017-08-17,23.64,24,22.74,22.75,139620,0
2017-08-18,22.51,23.12,21.6711,22.53,272068,0
2017-08-21,23.2,23.69,22.17,22.63,241476,0
2017-08-22,22.76,22.82,20.77,22.36,181086,0
2017-08-23,22.25,22.91,22.0441,22.66,78926,0
2017-08-24,22.8,23.06,22.02,22.13,74280,0
2017-08-25,22.19,22.68,21.98,22.06,90877,0
2017-08-28,22.17,24.2025,22.17,23.92,313617,0
2017-08-29,23.66,24.6,23.51,24.36,314983,0
2017-08-30,24.44,24.87,24.29,24.51,254762,0
2017-08-31,24.56,24.6,24.16,24.5,173583,0
2017-09-01,24.53,25.59,24.21,25.38,339623,0
2017-09-05,25.38,25.78,24.55,25.63,603749,0
2017-09-06,25.8,25.8692,21.175,23.04,1508838,0
2017-09-07,23.21,23.99,22.5,23.95,610965,0
2017-09-08,23.93,23.93,22.67,22.95,258126,0
2017-09-11,23.24,23.35,22.29,22.55,374026,0
2017-09-12,22.58,23.46,22.58,23.31,267942,0
2017-09-13,23.32,23.5,22.312,22.58,306833,0
2017-09-14,22.67,22.77,21.89,22.01,419215,0
2017-09-15,21.94,23.055,21.84,23,541629,0
2017-09-18,23.15,23.215,22.57,22.61,96003,0
2017-09-19,22.61,22.66,22.0901,22.37,141043,0
2017-09-20,22.25,22.42,22.05,22.31,232791,0
2017-09-21,22.28,22.72,21.92,22.59,255819,0
2017-09-22,22.49,22.88,22.2,22.49,182590,0
2017-09-25,22.36,22.52,21.91,22.06,158053,0
2017-09-26,22.1,22.37,22.04,22.11,89028,0
2017-09-27,22.11,22.9,22.05,22.83,158585,0
2017-09-28,22.83,22.89,22.53,22.67,114861,0
2017-09-29,22.71,23.25,22.45,22.84,112462,0
2017-10-02,22.83,23.25,22.14,23.24,204525,0
2017-10-03,23.13,23.7,22.85,23.35,150638,0
2017-10-04,23.26,23.5,23.13,23.44,103503,0
2017-10-05,23.46,23.63,23.02,23.19,148994,0
2017-10-06,23.21,23.69,22.92,23.17,250386,0
2017-10-09,23.19,23.27,22.53,22.8,142982,0
2017-10-10,22.85,22.865,22.24,22.28,108939,0
2017-10-11,22.38,22.38,21.9201,22.16,171258,0
2017-10-12,22.22,22.2834,21.63,21.9,79131,0
2017-10-13,21.91,22.45,21.91,22.04,122565,0
2017-10-16,22.16,22.31,21.4401,21.73,137936,0
2017-10-17,21.84,22.07,21.62,21.75,136502,0
2017-10-18,21.9,22,21.59,21.77,196074,0
2017-10-19,21.63,21.76,21.308,21.74,143570,0
2017-10-20,21.85,22.18,21.75,21.99,152799,0
2017-10-23,21.89,22.33,21.6,22,219558,0
2017-10-24,21.97,22.24,21.48,21.54,148342,0
2017-10-25,21.53,21.53,20.971,21.12,127826,0
2017-10-26,21.16,21.4,21.0501,21.25,83696,0
2017-10-27,21.23,21.28,20.69,20.72,100963,0
2017-10-30,20.5114,20.97,20.12,20.4,205033,0
2017-10-31,20.5,20.68,20.07,20.5,175141,0
2017-11-01,20.57,20.91,20.46,20.78,148845,0
2017-11-02,20.75,20.8699,20.59,20.86,161305,0
2017-11-03,20.75,21.62,20.75,21.23,117335,0
2017-11-06,21.15,22.61,20.94,21.54,211352,0
2017-11-07,21.44,21.47,20.84,21.07,132444,0
2017-11-08,20.96,21.42,20.89,21.08,128782,0
