Date,Open,High,Low,Close,Volume,OpenInt
2017-03-17,14.9,14.9,14.31,14.45,132841,0
2017-03-20,14.73,14.73,14.25,14.49,159553,0
2017-03-21,14.55,14.6499,14.4,14.4,92980,0
2017-03-22,14.45,14.67,14.3,14.51,180251,0
2017-03-23,14.51,14.6,14.36,14.39,129557,0
2017-03-24,14.33,14.55,14.32,14.41,113613,0
2017-03-27,14.3286,14.54,14.3286,14.53,58980,0
2017-03-28,14.51,14.59,14.4198,14.53,56324,0
2017-03-29,14.46,14.59,14.4,14.52,53306,0
2017-03-30,14.52,14.75,14.5,14.69,164085,0
2017-03-31,14.75,14.93,14.68,14.93,104121,0
2017-04-03,14.8401,15.75,14.82,15.25,62942,0
2017-04-04,15.49,15.7,15.1,15.36,46939,0
2017-04-05,15.42,15.49,15.16,15.34,25629,0
2017-04-06,15.39,15.4,15.2271,15.28,32844,0
2017-04-07,15.452,15.452,15.2,15.4,19317,0
2017-04-10,15.3,15.7,15.29,15.69,19316,0
2017-04-11,15.6,16.3,15.6,15.93,64846,0
2017-04-12,15.99,15.99,15.4,15.47,17934,0
2017-04-13,15.45,15.75,15.2601,15.74,26173,0
2017-04-17,15.75,15.75,15.5,15.7,22766,0
2017-04-18,15.75,16,15,15.82,43019,0
2017-04-19,15.99,15.99,15.52,15.53,8327,0
2017-04-20,15.85,15.85,15.13,15.34,37300,0
2017-04-21,15.35,15.65,15.35,15.59,54058,0
2017-04-24,15.65,15.65,15.4501,15.64,10808,0
2017-04-25,15.65,15.99,15.5936,15.91,22523,0
2017-04-26,15.87,16.04,15.36,15.72,13266,0
2017-04-27,15.6,15.88,15.43,15.77,33336,0
2017-04-28,15.78,15.89,15.605,15.71,11181,0
2017-05-01,15.6037,15.78,15.5,15.55,8052,0
2017-05-02,15.5,15.71,15.4,15.4,3965,0
2017-05-03,15.69,15.73,15.4001,15.73,6504,0
2017-05-04,15.52,15.7499,15.07,15.58,37061,0
2017-05-05,15.72,15.75,15.57,15.72,6931,0
2017-05-08,15.73,15.9528,15.32,15.82,14358,0
2017-05-09,15.76,16,15.6244,16,21494,0
2017-05-10,15.73,15.905,15.71,15.75,12952,0
2017-05-11,15.57,16.29,15.5,16.05,29519,0
2017-05-12,16.05,16.05,15.7,15.85,10804,0
2017-05-15,15.75,16.05,15.75,15.96,14495,0
2017-05-16,16.03,16.25,16,16.24,35724,0
2017-05-17,16.21,16.21,15.92,15.99,19004,0
2017-05-18,15.99,16.17,15.91,16.17,32452,0
2017-05-19,16.28,16.35,16.06,16.1,20807,0
2017-05-22,16.34,16.83,16.17,16.65,10790,0
2017-05-23,16.67,16.79,16.55,16.56,16171,0
2017-05-24,16.68,16.86,16.35,16.51,45090,0
2017-05-25,16.89,16.9,16.68,16.77,39334,0
2017-05-26,16.77,17.05,16.655,16.97,43691,0
2017-05-30,17.02,17.4,16.97,17.26,171461,0
2017-05-31,17.23,17.45,16.95,17.45,36973,0
2017-06-01,17.49,18.79,17.47,18.5,73933,0
2017-06-02,18.35,18.4,17.43,18.23,35511,0
2017-06-05,18.19,18.5,17.96,18.5,89896,0
2017-06-06,18.5,18.67,18.26,18.67,83391,0
2017-06-07,18.55,18.74,18,18.73,89421,0
2017-06-08,18.79,18.8,18.32,18.51,37051,0
2017-06-09,18.5,18.52,17.89,18.44,33211,0
2017-06-12,18.5,18.8,18.13,18.43,68888,0
2017-06-13,18.5,18.6,18.15,18.47,214652,0
2017-06-14,18.25,18.5,17.99,18.45,75101,0
2017-06-15,18.44,18.65,18.195,18.47,106194,0
2017-06-16,18.49,18.57,17.98,18.33,599326,0
2017-06-19,18.06,18.5,18.04,18.12,222631,0
2017-06-20,18.01,18.13,17.55,17.58,154385,0
2017-06-21,17.59,18,17.52,17.96,40232,0
2017-06-22,17.99,17.99,17.25,17.31,53293,0
2017-06-23,17.2,17.24,16.58,17.15,1231252,0
2017-06-26,17,17.86,16.83,17.79,54433,0
2017-06-27,17.68,18.06,17.68,18,45501,0
2017-06-28,17.655,18.19,17.52,18,39856,0
2017-06-29,17.88,18,17.52,17.98,18467,0
2017-06-30,17.3674,18.12,17.3674,17.88,15988,0
2017-07-03,17.77,17.99,17.57,17.81,17007,0
2017-07-05,17.68,17.86,17.345,17.85,10209,0
2017-07-06,17.63,17.81,17.42,17.62,12778,0
2017-07-07,17.49,17.99,17.47,17.93,12912,0
2017-07-10,17.81,18.04,17.65,17.94,71098,0
2017-07-11,17.95,18,17.86,17.97,10269,0
2017-07-12,17.61,18.14,17.61,17.99,34421,0
2017-07-13,17.95,18,17.2901,17.62,17442,0
2017-07-14,17.66,17.92,17.13,17.28,9943,0
2017-07-17,17.27,17.51,17.1,17.37,25582,0
2017-07-18,17.19,17.97,17.19,17.72,15149,0
2017-07-19,17.31,18.05,17.31,17.98,22924,0
2017-07-20,17.93,18.15,17.825,18,22410,0
2017-07-21,18.15,18.2,17.93,17.97,15300,0
2017-07-24,17.99,18.06,17.9,17.96,12834,0
2017-07-25,17.93,18.09,17.93,17.99,21961,0
2017-07-26,18.04,18.04,17.94,17.94,2689,0
2017-07-27,17.97,17.97,17.87,17.87,6708,0
2017-07-28,17.85,18,17.85,17.99,15127,0
2017-07-31,17.6,18.06,17.6,17.98,6763,0
2017-08-01,18,18.18,17.55,18,37402,0
2017-08-02,17.6,17.9639,17.6,17.78,4797,0
2017-08-03,17.75,17.77,17.6,17.71,5266,0
2017-08-04,17.989,17.989,17.7301,17.97,7690,0
2017-08-07,17.78,18,17.7701,18,23318,0
2017-08-08,17.89,18,17.75,17.93,10207,0
2017-08-09,17.84,17.92,17.72,17.75,7443,0
2017-08-10,17.77,17.77,17.46,17.65,16438,0
2017-08-11,17.7,17.73,17.4,17.42,8379,0
2017-08-14,17.869,17.869,16.96,17.14,23502,0
2017-08-15,16.99,16.99,16.34,16.39,21974,0
2017-08-16,16.39,16.6037,16.01,16.06,16781,0
2017-08-17,16,16.12,15.9,15.99,30511,0
2017-08-18,15.81,16.39,15.81,16.31,24886,0
2017-08-21,16.21,16.37,16.04,16.26,18413,0
2017-08-22,16.15,16.25,16.15,16.22,4391,0
2017-08-23,16.1,16.24,16.1,16.21,7483,0
2017-08-24,16.2,16.25,16.16,16.18,7484,0
2017-08-25,16.1,16.2,16.01,16.12,14274,0
2017-08-28,16.13,16.13,16.01,16.01,10729,0
2017-08-29,16.005,16.13,16.005,16.08,9300,0
2017-08-30,16.13,16.33,16.075,16.2,8991,0
2017-08-31,16.36,16.79,16.21,16.51,17752,0
