Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,5.6533,5.6795,5.6343,5.6661,540149,0
2005-02-28,5.6726,5.6988,5.6533,5.6661,643261,0
2005-03-01,5.6343,5.7118,5.6343,5.6988,580163,0
2005-03-02,5.6988,5.7118,5.6661,5.6726,533687,0
2005-03-03,5.6795,5.7118,5.6795,5.6988,443208,0
2005-03-04,5.6988,5.7315,5.6924,5.7251,556465,0
2005-03-07,5.7187,5.7443,5.7118,5.7187,576933,0
2005-03-08,5.7187,5.7637,5.7187,5.738,555228,0
2005-03-09,5.7251,5.738,5.6988,5.7057,409193,0
2005-03-10,5.6924,5.7251,5.6795,5.6988,504604,0
2005-03-11,5.6077,5.6603,5.5886,5.5886,822386,0
2005-03-14,5.5688,5.6146,5.5497,5.5497,923949,0
2005-03-15,5.5627,5.5821,5.5299,5.5497,473213,0
2005-03-16,5.5497,5.5886,5.5299,5.5556,694041,0
2005-03-17,5.5235,5.5627,5.5235,5.5235,563394,0
2005-03-18,5.504,5.5556,5.4391,5.4453,828543,0
2005-03-21,5.4453,5.4973,5.4321,5.4522,608476,0
2005-03-22,5.4391,5.4844,5.3936,5.4,583395,0
2005-03-23,5.3936,5.4522,5.3287,5.38,897328,0
2005-03-24,5.3611,5.5556,5.3546,5.4522,575392,0
2005-03-28,5.4063,5.4783,5.3287,5.3611,802216,0
2005-03-29,5.3611,5.4783,5.3611,5.4652,489067,0
2005-03-30,5.4783,5.5821,5.4453,5.5627,466443,0
2005-03-31,5.5756,5.5756,5.491,5.5167,564000,0
2005-04-01,5.5627,5.5627,5.5106,5.5299,388416,0
2005-04-04,5.5235,5.5363,5.4783,5.504,379028,0
2005-04-05,5.4783,5.5299,5.471,5.504,512450,0
2005-04-06,5.5167,5.5688,5.5106,5.5556,405036,0
2005-04-07,5.5627,5.5821,5.5363,5.5756,407189,0
2005-04-08,5.5363,5.5886,5.5235,5.5427,375021,0
2005-04-11,5.4973,5.5556,5.491,5.5497,621403,0
2005-04-12,5.5167,5.5235,5.471,5.4973,424577,0
2005-04-13,4.8607,5.4783,4.8607,5.4391,496295,0
2005-04-14,5.4132,5.4453,5.4132,5.4194,378102,0
2005-04-15,5.4,5.4194,5.3672,5.4194,573083,0
2005-04-18,5.426,5.491,5.4,5.4453,530609,0
2005-04-19,5.4194,5.4584,5.4194,5.4391,479831,0
2005-04-20,5.426,5.471,5.3936,5.4063,610791,0
2005-04-21,5.4063,5.4522,5.4063,5.4522,435660,0
2005-04-22,5.4453,5.4783,5.4132,5.4194,416120,0
2005-04-25,5.4194,5.4522,5.4132,5.4194,347326,0
2005-04-26,5.4132,5.4321,5.4,5.4132,519225,0
2005-04-27,5.426,5.426,5.38,5.3936,478750,0
2005-04-28,5.3869,5.4194,5.38,5.38,522604,0
2005-04-29,5.3741,5.4063,5.3741,5.4063,450432,0
2005-05-02,5.3869,5.4194,5.38,5.4194,393491,0
2005-05-03,5.4132,5.426,5.3869,5.4063,382569,0
2005-05-04,5.3869,5.426,5.3869,5.4194,400271,0
2005-05-05,5.4194,5.426,5.3936,5.4063,411187,0
2005-05-06,5.38,5.4,5.3672,5.3869,396110,0
2005-05-09,5.3672,5.38,5.3287,5.3287,695277,0
2005-05-10,5.3287,5.348,5.3221,5.3417,363330,0
2005-05-11,5.3287,5.3417,5.2832,5.3024,446898,0
2005-05-12,5.3024,5.3153,5.2634,5.27,575543,0
2005-05-13,5.2894,5.2962,5.2634,5.2765,408731,0
2005-05-16,5.2634,5.2832,5.2306,5.27,482600,0
