Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,9.1713,9.3545,8.8428,9.2197,216002,0
2005-02-28,9.3155,9.4419,9.2099,9.3347,217529,0
2005-03-01,9.3834,9.3834,8.9781,9.2776,130231,0
2005-03-02,9.3069,9.3253,9.1039,9.3069,114642,0
2005-03-03,9.3442,9.3442,9.1906,9.3347,67156,0
2005-03-04,9.152,9.3347,9.1134,9.297,69847,0
2005-03-07,9.3545,9.3545,9.1134,9.2581,124078,0
2005-03-08,9.3253,9.3347,8.6687,9.1618,170563,0
2005-03-09,8.9683,9.2484,8.93,9.0843,61633,0
2005-03-10,8.9488,9.123,8.5818,8.7173,608472,0
2005-03-11,8.6302,8.9104,8.5914,8.8523,102191,0
2005-03-14,8.7363,9.0455,8.7363,9.0455,94473,0
2005-03-15,9.0455,9.123,8.9781,9.0939,94614,0
2005-03-16,9.2005,9.2677,8.6012,8.6109,181028,0
2005-03-17,9.0167,9.0167,8.6397,8.7173,151084,0
2005-03-18,8.6205,8.9585,8.543,8.6205,191126,0
2005-03-21,8.5046,8.659,7.886,7.9634,357769,0
2005-03-22,8.0598,8.2533,7.915,8.1954,781624,0
2005-03-23,8.292,8.292,7.9341,8.0888,209952,0
2005-03-24,8.1468,8.1468,7.7796,7.7989,157926,0
2005-03-28,8.0018,8.0986,7.4513,7.8181,784528,0
2005-03-29,7.7312,7.9439,7.5674,7.8181,247911,0
2005-03-30,7.6828,7.8086,7.4896,7.586,399177,0
2005-03-31,7.7312,8.1179,7.6057,7.9634,269412,0
2005-04-01,7.8763,8.1566,7.4609,7.9247,357691,0
2005-04-04,7.7796,7.915,7.5189,7.7702,87365,0
2005-04-05,7.8279,7.8279,7.4414,7.6542,180302,0
2005-04-06,7.5959,7.857,7.5768,7.8474,207300,0
2005-04-07,7.8474,7.8474,7.5189,7.586,184981,0
2005-04-08,7.509,7.5768,7.2965,7.306,625391,0
2005-04-11,7.2479,7.306,6.9775,7.1223,474087,0
2005-04-12,7.0453,7.625,7.0453,7.5381,355610,0
2005-04-13,7.4704,7.5381,7.3256,7.48,135943,0
2005-04-14,7.4027,7.4221,7.0839,7.2772,429880,0
2005-04-15,7.229,7.4221,7.2094,7.3737,389143,0
2005-04-18,7.2578,7.3833,7.0645,7.229,98141,0
2005-04-19,8.2338,8.2338,7.3641,7.8086,550532,0
2005-04-20,7.8279,7.9051,7.7702,7.857,269773,0
2005-04-21,7.8474,7.8669,7.4993,7.8181,192224,0
2005-04-22,7.7892,7.8377,7.3641,7.6155,221849,0
2005-04-25,7.741,7.741,7.5381,7.6542,125181,0
2005-04-26,7.5674,7.5674,6.9872,7.1903,241410,0
2005-04-27,7.0259,7.1903,6.9968,7.1806,85551,0
2005-04-28,7.2386,7.2578,6.9968,7.0741,95766,0
2005-04-29,6.9968,7.0839,6.7842,6.9584,210585,0
2005-05-02,6.8712,7.1321,6.8712,7.0645,203971,0
2005-05-03,6.9097,7.2386,6.8712,7.1709,75483,0
2005-05-04,7.0936,7.4993,7.0839,7.3158,100135,0
2005-05-05,7.5478,7.6637,7.2772,7.3256,121170,0
2005-05-06,7.4704,7.5189,7.3449,7.3641,351515,0
2005-05-09,7.5189,7.5574,7.306,7.3737,268591,0
2005-05-10,7.3544,7.5381,7.2965,7.3833,244512,0
2005-05-11,7.3737,7.7118,7.3544,7.7118,251569,0
2005-05-12,7.7702,7.8377,7.4993,7.6057,174788,0
2005-05-13,7.586,7.7118,7.4704,7.5574,223086,0
2005-05-16,7.5189,7.5768,7.4316,7.5574,235764,0
