Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,24.88,24.88,24.568,24.692,12957,0
2017-01-04,24.732,25.944,24.732,25.026,10840,0
2017-01-05,25.874,25.874,24.8,24.849,13104,0
2017-01-06,24.82,24.858,24.771,24.781,2069,0
2017-01-09,24.79,24.79,24.572,24.572,17870,0
2017-01-10,24.602,24.722,24.602,24.692,3282,0
2017-01-11,24.612,24.741,24.612,24.741,2698,0
2017-01-12,24.888,24.888,24.476,24.622,9134,0
2017-01-13,24.878,24.878,24.727,24.771,6506,0
2017-01-17,24.79,24.79,24.639,24.662,4772,0
2017-01-18,24.628,24.751,24.628,24.751,13233,0
2017-01-19,24.849,24.849,24.487,24.487,10342,0
2017-01-20,24.712,24.712,24.572,24.602,1849,0
2017-01-23,24.612,24.771,24.552,24.592,14182,0
2017-01-24,24.868,24.995,24.716,24.927,166192,0
2017-01-25,25.184,26.194,24.966,25.024,128895,0
2017-01-26,25.293,25.293,24.927,24.933,182173,0
2017-01-27,24.966,24.966,24.781,24.829,33738,0
2017-01-30,24.829,24.829,24.523,24.662,64395,0
2017-01-31,24.682,24.8,24.58,24.751,47590,0
2017-02-01,24.81,24.898,24.565,24.636,117672,0
2017-02-02,24.682,24.781,24.617,24.654,82389,0
2017-02-03,24.888,24.949,24.77,24.917,39516,0
2017-02-06,24.722,24.917,24.722,24.829,77176,0
2017-02-07,24.839,25.026,24.761,24.781,40238,0
2017-02-08,24.966,24.966,24.692,24.781,74900,0
2017-02-09,24.888,24.976,24.829,24.976,52036,0
2017-02-10,25.056,25.155,25.01,25.136,49984,0
2017-02-13,25.381,25.381,25.145,25.16,46779,0
2017-02-14,25.293,25.293,24.986,25.099,37320,0
2017-02-15,24.995,25.213,24.975,25.213,19652,0
2017-02-16,25.292,25.292,25.085,25.233,23096,0
2017-02-17,25.045,25.213,25.045,25.203,16635,0
2017-02-21,25.144,25.419,25.144,25.385,16742,0
2017-02-22,25.395,25.4,25.263,25.351,25667,0
2017-02-23,25.415,25.415,25.193,25.273,18017,0
2017-02-24,25.433,25.433,25.144,25.26,8444,0
2017-02-27,25.273,25.459,25.273,25.416,11999,0
2017-02-28,25.39,25.39,25.193,25.193,10546,0
2017-03-01,25.39,25.488,25.361,25.439,31565,0
2017-03-02,25.381,25.404,25.269,25.269,21295,0
2017-03-03,25.439,25.439,25.065,25.223,79007,0
2017-03-06,25.302,25.302,24.995,25.086,31569,0
2017-03-07,25.104,25.341,24.927,24.936,89642,0
2017-03-08,25.035,25.046,24.789,24.789,29402,0
2017-03-09,24.76,24.857,24.601,24.651,21749,0
2017-03-10,24.721,24.857,24.651,24.763,37497,0
2017-03-13,24.789,24.877,24.76,24.838,22904,0
2017-03-14,24.78,24.789,24.691,24.789,7627,0
2017-03-15,24.846,25.202,24.846,25.083,26183,0
2017-03-16,25.202,25.202,25.073,25.092,20347,0
2017-03-17,25.129,25.252,25.103,25.252,19637,0
2017-03-20,25.262,25.262,25.043,25.093,17074,0
2017-03-21,25.083,25.083,24.708,24.774,40440,0
2017-03-22,24.914,24.914,24.598,24.728,17222,0
2017-03-23,24.785,24.973,24.785,24.788,27516,0
2017-03-24,24.914,24.914,24.738,24.811,10279,0
2017-03-27,24.568,24.77,24.538,24.688,44562,0
2017-03-28,24.708,24.836,24.632,24.836,19503,0
2017-03-29,24.836,24.904,24.806,24.895,17298,0
2017-03-30,25.162,25.162,24.904,25.013,30535,0
2017-03-31,25.162,25.172,25.009,25.083,66651,0
2017-04-03,25.053,25.053,24.816,24.847,55315,0
2017-04-04,24.807,24.904,24.778,24.834,16240,0
2017-04-05,24.898,24.993,24.708,24.708,20804,0
2017-04-06,24.708,24.846,24.599,24.836,20596,0
2017-04-07,24.855,24.904,24.812,24.846,12130,0
2017-04-10,24.889,24.943,24.748,24.885,5708,0
2017-04-11,24.953,25.043,24.831,25.043,14177,0
2017-04-12,25.043,25.043,24.895,24.924,11473,0
2017-04-13,24.745,24.865,24.658,24.698,22774,0
2017-04-17,24.635,24.902,24.635,24.902,8171,0
2017-04-18,25.031,25.031,24.902,25.018,3280,0
2017-04-19,25.171,25.201,25.073,25.111,20282,0
2017-04-20,25.161,25.319,25.158,25.309,11336,0
2017-04-21,25.329,25.329,25.232,25.319,13343,0
2017-04-24,25.329,25.477,25.329,25.457,24646,0
2017-04-25,25.707,25.849,25.517,25.617,65478,0
2017-04-26,25.677,25.835,25.647,25.737,42225,0
2017-04-27,25.775,25.855,25.691,25.727,28744,0
2017-04-28,25.865,25.865,25.388,25.398,10632,0
2017-05-01,25.417,25.507,25.369,25.437,9028,0
2017-05-02,25.407,25.457,25.378,25.417,20371,0
2017-05-03,25.339,25.407,25.221,25.3,19116,0
2017-05-04,25.447,25.447,25.091,25.22,9137,0
2017-05-05,25.252,25.359,25.24,25.35,22632,0
2017-05-08,25.874,25.874,25.19,25.231,15822,0
2017-05-09,25.271,25.271,25.086,25.161,8745,0
2017-05-10,25.111,25.339,25.081,25.319,18648,0
2017-05-11,25.211,25.236,25.021,25.181,17628,0
2017-05-12,25.163,25.309,25.008,25.034,41774,0
2017-05-15,25.154,25.264,25.119,25.144,13375,0
2017-05-16,25.104,25.114,24.974,25.024,16049,0
2017-05-17,24.777,24.938,24.714,24.717,75129,0
2017-05-18,24.667,24.844,24.617,24.757,23543,0
2017-05-19,24.806,24.974,24.806,24.895,18201,0
2017-05-22,25.094,25.094,24.964,25.048,16509,0
2017-05-23,24.984,25.164,24.984,25.074,9033,0
2017-05-24,25.004,25.204,25.004,25.174,15662,0
2017-05-25,25.184,25.401,25.184,25.204,19791,0
2017-05-26,25.114,25.293,25.074,25.172,75086,0
2017-05-30,25.174,25.174,25.059,25.114,16881,0
2017-05-31,25.164,25.164,24.957,25.084,7934,0
2017-06-01,25.114,25.46,25.114,25.46,102326,0
2017-06-02,25.457,25.683,25.44,25.559,9470,0
2017-06-05,25.507,25.53,25.446,25.488,5177,0
2017-06-06,25.396,25.422,25.247,25.298,13606,0
2017-06-07,25.304,25.384,25.244,25.318,5815,0
2017-06-08,25.283,25.53,25.283,25.42,19555,0
2017-06-09,25.56,25.66,25.526,25.589,9899,0
