Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,14.217,14.267,13.948,14.044,1531545,0
2005-02-28,13.948,13.956,13.68,13.898,961431,0
2005-03-01,13.898,14.101,13.898,13.922,688895,0
2005-03-02,13.888,14.249,13.8,14.165,897826,0
2005-03-03,14.182,14.32,14.053,14.182,607515,0
2005-03-04,14.258,14.648,14.258,14.546,1970875,0
2005-03-07,14.519,14.702,14.389,14.389,988440,0
2005-03-08,14.546,14.546,14.182,14.303,707709,0
2005-03-09,14.165,14.329,14.111,14.225,646302,0
2005-03-10,14.217,14.459,13.956,14.287,563537,0
2005-03-11,14.287,14.397,14.165,14.217,389928,0
2005-03-14,14.217,14.468,14.217,14.384,434026,0
2005-03-15,14.519,14.528,14.062,14.094,1079170,0
2005-03-16,14.094,14.182,13.714,13.898,805253,0
2005-03-17,13.898,14.157,13.8,14.094,1677678,0
2005-03-18,14.554,14.554,13.965,14.182,1678145,0
2005-03-21,14.208,14.241,13.965,14.182,1076974,0
2005-03-22,14.258,14.564,14.198,14.258,1005752,0
2005-03-23,14.182,14.249,14.053,14.225,559724,0
2005-03-24,14.225,14.312,14.191,14.232,293657,0
2005-03-28,14.217,14.303,14.111,14.182,613638,0
2005-03-29,14.182,14.639,13.739,13.982,1367056,0
2005-03-30,13.982,14.364,13.982,14.346,773275,0
2005-03-31,14.258,14.468,14.147,14.397,1215376,0
2005-04-01,14.389,14.483,12.959,13.377,1291332,0
2005-04-04,13.404,13.756,13.359,13.661,604054,0
2005-04-05,13.507,13.756,13.377,13.522,457918,0
2005-04-06,13.462,13.652,13.386,13.522,589159,0
2005-04-07,13.462,13.625,13.038,13.124,1148429,0
2005-04-08,13.124,13.253,12.683,13.004,1330229,0
2005-04-11,12.951,12.951,12.474,12.656,1023416,0
2005-04-12,12.656,12.744,12.406,12.708,681736,0
2005-04-13,12.683,12.683,11.566,11.99,1577834,0
2005-04-14,11.825,11.904,11.228,11.314,1031380,0
2005-04-15,11.098,11.271,10.587,10.847,1862255,0
