Date,Open,High,Low,Close,Volume,OpenInt
1996-08-02,10.849,11.265,10.29,11.265,4455449,0
1996-08-05,10.989,11.542,10.989,11.265,604942,0
1996-08-06,10.989,11.542,10.989,11.198,323801,0
1996-08-07,11.124,11.683,11.124,11.474,138173,0
1996-08-08,11.683,11.825,11.124,11.405,223136,0
1996-08-09,11.405,12.242,11.405,11.957,101503,0
1996-08-12,11.825,12.516,11.825,12.242,153273,0
1996-08-13,12.66,12.66,11.957,12.101,257772,0
1996-08-14,12.242,13.626,11.683,13.21,432974,0
1996-08-15,13.352,14.329,13.21,14.187,441602,0
1996-08-16,14.044,15.296,14.044,14.877,412842,0
1996-08-19,15.296,15.296,14.877,15.163,307743,0
1996-08-20,15.019,15.296,13.075,13.91,540708,0
1996-08-21,13.91,14.877,13.91,14.745,199888,0
1996-08-22,15.019,15.019,14.461,14.745,158545,0
1996-08-23,14.602,14.602,14.187,14.187,133258,0
1996-08-26,14.187,14.602,12.934,13.42,322843,0
1996-08-27,13.495,14.044,13.495,13.91,282696,0
1996-08-28,14.461,15.995,14.044,15.712,594637,0
1996-08-29,15.995,16.272,15.439,15.712,105220,0
1996-08-30,15.439,15.995,15.439,15.579,100545,0
1996-09-03,15.019,16.13,15.019,16.13,151593,0
1996-09-04,16.272,17.039,15.995,16.83,236921,0
1996-09-05,16.689,17.247,16.689,16.83,223020,0
1996-09-06,16.689,16.964,16.689,16.689,74899,0
1996-09-09,16.548,16.964,16.548,16.548,19413,0
1996-09-10,16.548,17.247,16.548,17.172,70465,0
1996-09-11,16.83,17.247,16.83,16.964,31160,0
1996-09-12,17.524,17.8,16.964,17.247,118042,0
1996-09-13,17.247,17.8,17.247,17.8,133021,0
1996-09-16,17.8,17.8,17.247,17.247,87363,0
1996-09-17,17.247,17.8,17.247,17.315,75618,0
1996-09-18,17.524,17.8,17.247,17.247,15579,0
1996-09-19,17.247,18.776,17.247,18.776,125948,0
1996-09-20,18.217,20.303,18.217,20.236,229610,0
1996-09-23,19.751,21.137,19.751,21.07,108332,0
1996-09-24,21.003,21.003,20.445,20.721,523571,0
1996-09-25,20.862,21.554,20.862,21.422,136494,0
1996-09-26,21.696,21.973,21.278,21.973,138294,0
