Date,Open,High,Low,Close,Volume,OpenInt
2017-06-22,18.838,19.026,18.838,18.838,3251467,0
2017-06-23,18.838,19.284,18.739,19.125,717684,0
2017-06-26,19.115,19.171,18.858,19.086,462137,0
2017-06-27,19.016,19.185,18.937,18.986,247199,0
2017-06-28,19.036,19.135,18.957,19.086,185621,0
2017-06-29,18.976,19.284,18.937,19.086,346675,0
2017-06-30,18.967,19.185,18.163,18.986,457773,0
2017-07-03,19.036,19.086,18.986,19.086,33732,0
2017-07-05,19.125,19.284,19.036,19.234,84372,0
2017-07-06,19.234,19.284,18.838,19.195,151645,0
2017-07-07,19.105,19.333,19.086,19.244,138900,0
2017-07-10,19.333,19.333,19.135,19.244,99789,0
2017-07-11,19.205,19.433,18.957,19.373,190414,0
2017-07-12,19.433,19.492,19.195,19.333,87226,0
2017-07-13,19.423,19.423,19.333,19.373,44230,0
2017-07-14,19.502,19.532,19.294,19.522,92335,0
2017-07-17,19.452,19.581,19.333,19.472,119701,0
2017-07-18,19.234,19.502,18.838,19.442,199752,0
2017-07-19,19.363,19.502,19.264,19.333,81861,0
2017-07-20,19.046,19.611,18.957,19.581,298645,0
2017-07-21,19.532,19.829,19.304,19.68,581932,0
2017-07-24,19.522,19.65,19.016,19.066,123463,0
2017-07-25,18.957,19.105,18.828,18.828,194375,0
2017-07-26,18.818,18.937,18.639,18.679,122072,0
2017-07-27,18.59,18.838,17.866,18.154,257239,0
2017-07-28,17.955,18.669,17.945,18.094,166869,0
2017-07-31,18.144,18.753,18.144,18.441,141737,0
2017-08-01,18.292,18.54,18.025,18.322,166265,0
2017-08-02,18.183,18.719,18.074,18.342,116058,0
2017-08-03,18.491,19.066,18.401,18.62,108902,0
2017-08-04,18.491,18.778,18.362,18.451,98676,0
2017-08-07,18.471,18.877,18.243,18.808,125266,0
2017-08-08,18.838,18.947,18.431,18.758,147621,0
2017-08-09,18.57,18.867,18.441,18.56,175856,0
2017-08-10,18.709,18.967,18.629,18.739,183996,0
2017-08-11,18.59,18.967,18.55,18.669,127198,0
2017-08-14,18.748,19.323,18.689,18.838,104513,0
2017-08-15,18.699,19.314,18.659,19.036,93456,0
2017-08-16,19.086,19.413,19.066,19.244,100555,0
2017-08-17,19.403,19.561,19.234,19.423,61407,0
2017-08-18,19.244,19.581,19.244,19.433,54648,0
2017-08-21,19.452,19.492,19.006,19.254,91062,0
2017-08-22,19.185,19.363,18.986,19.006,114556,0
2017-08-23,19.135,19.373,18.889,19.115,109441,0
2017-08-24,19.224,19.363,19.013,19.155,91209,0
2017-08-25,19.353,19.492,19.165,19.205,98858,0
2017-08-28,19.155,19.502,19.155,19.423,102209,0
2017-08-29,19.373,19.522,19.234,19.423,74960,0
2017-08-30,19.482,19.561,19.135,19.482,71945,0
2017-08-31,19.353,19.68,19.323,19.482,191724,0
2017-09-01,19.433,19.67,19.403,19.462,162348,0
2017-09-05,19.621,19.641,19.2,19.561,250469,0
2017-09-06,19.546,19.648,19.383,19.611,197169,0
2017-09-07,19.482,19.532,19.086,19.234,145811,0
2017-09-08,19.185,19.492,19.155,19.284,134064,0
2017-09-11,19.383,19.502,19.165,19.413,89423,0
2017-09-12,19.482,19.571,19.294,19.502,110810,0
2017-09-13,19.423,19.571,19.236,19.274,155112,0
2017-09-14,19.115,19.492,19.115,19.433,178812,0
2017-09-15,19.462,19.472,19.046,19.076,1262248,0
2017-09-18,18.976,19.195,18.947,18.976,200668,0
2017-09-19,19.026,19.244,18.877,19.234,351963,0
2017-09-20,19.254,19.254,18.838,19.105,240373,0
2017-09-21,19.135,19.383,19.076,19.105,149455,0
