Date,Open,High,Low,Close,Volume,OpenInt
1995-06-21,2.0179,2.0179,1.9013,1.9013,26374863,0
1995-06-22,1.9013,1.9372,1.7399,1.7937,6706108,0
1995-06-23,1.7937,1.8207,1.7937,1.7937,1486976,0
1995-06-26,1.8207,1.8207,1.7937,1.8207,1324630,0
1995-06-27,1.8207,1.8207,1.5964,1.6861,3320942,0
1995-06-28,1.6861,1.695,1.6233,1.6502,1757254,0
1995-06-29,1.6502,1.7129,1.6502,1.7129,324691,0
1995-06-30,1.7129,1.7129,1.6502,1.7129,469196,0
1995-07-03,1.7129,1.7129,1.6502,1.6502,214082,0
1995-07-05,1.7129,1.7129,1.6233,1.6233,2740246,0
1995-07-06,1.6861,1.6861,1.6233,1.6233,1205102,0
1995-07-07,1.695,1.695,1.6233,1.6233,120421,0
1995-07-10,1.6233,1.695,1.6233,1.6502,602996,0
1995-07-11,1.695,1.695,1.6233,1.6233,470979,0
1995-07-12,1.6233,1.6861,1.6233,1.6861,1535144,0
1995-07-13,1.6861,1.7129,1.6233,1.7129,119529,0
1995-07-14,1.6861,1.7399,1.6861,1.7399,223002,0
1995-07-17,1.722,1.7668,1.6861,1.7399,382671,0
1995-07-18,1.7399,1.8207,1.695,1.7399,1252378,0
1995-07-19,1.7937,1.7937,1.6861,1.6861,556612,0
1995-07-20,1.7668,1.7668,1.6233,1.6233,679710,0
1995-07-21,1.7129,1.7129,1.6233,1.6502,1015996,0
1995-07-24,1.7129,1.7129,1.6233,1.7129,41924,0
1995-07-25,1.6233,1.7129,1.6233,1.6233,53521,0
1995-07-26,1.7129,1.7129,1.6233,1.6233,771586,0
1995-07-27,1.6233,1.7129,1.6233,1.6233,54413,0
1995-07-28,1.6233,1.7129,1.6233,1.6861,1107872,0
1995-07-31,1.6233,1.7129,1.6233,1.7129,181077,0
1995-08-01,1.6502,1.7129,1.6502,1.6502,117745,0
1995-08-02,1.7129,1.7129,1.6502,1.7129,391591,0
1995-08-03,1.7129,1.7129,1.6502,1.6502,124881,0
1995-08-04,1.6502,1.7129,1.6502,1.7129,76712,0
1995-08-07,1.7129,1.7129,1.6502,1.6502,351451,0
1995-08-08,1.7129,1.7129,1.6682,1.7129,154317,0
1995-08-09,1.6502,1.7129,1.6502,1.7129,350558,0
1995-08-10,1.7129,1.7129,1.6502,1.6861,779614,0
1995-08-11,1.7129,1.7129,1.6861,1.7129,108825,0
1995-08-14,1.7129,1.7129,1.695,1.695,119529,0
1995-08-15,1.6861,1.7399,1.6861,1.6861,506660,0
1995-08-16,1.6861,1.7129,1.6861,1.6861,446896,0
1995-08-17,1.7129,1.7129,1.6861,1.7129,96336,0
1995-08-18,1.7129,1.7129,1.6861,1.6861,41924,0
1995-08-21,1.6861,1.7129,1.6861,1.6861,83849,0
1995-08-22,1.6861,1.7129,1.6861,1.6861,211406,0
1995-08-23,1.6861,1.7399,1.6502,1.6861,3347703,0
1995-08-24,1.6861,1.7937,1.6861,1.7668,969612,0
1995-08-25,1.8207,1.8475,1.7399,1.7399,300606,0
1995-08-28,1.7399,1.8207,1.7399,1.7399,254222,0
1995-08-29,1.8207,1.8207,1.7129,1.7937,295255,0
1995-08-30,1.6861,1.8207,1.6861,1.8207,3002496,0
1995-08-31,1.8207,1.8207,1.7129,1.7937,196242,0
1995-09-01,1.8207,1.8207,1.7129,1.7668,66008,0
1995-09-05,1.8207,1.8207,1.7129,1.7399,501308,0
1995-09-06,1.7937,1.7937,1.7129,1.7937,733229,0
1995-09-07,1.7758,1.8207,1.7399,1.7399,346991,0
1995-09-08,1.8207,1.8475,1.7668,1.8116,591400,0
1995-09-11,1.7937,1.8475,1.7668,1.8475,58872,0
1995-09-12,1.8475,1.8475,1.7668,1.7937,224786,0
1995-09-13,1.7668,1.8475,1.7668,1.8475,230138,0
1995-09-14,1.8386,1.8475,1.7668,1.8116,297039,0
1995-09-15,1.7668,1.8475,1.7668,1.7668,437084,0
1995-09-18,1.7668,1.8207,1.7668,1.7668,243518,0
1995-09-19,1.7668,1.8475,1.7668,1.8207,3064936,0
1995-09-20,1.9013,1.9013,1.8475,1.9013,1691246,0
1995-09-21,1.9013,1.9013,1.8475,1.8475,151641,0
1995-09-22,1.8475,1.9013,1.8475,1.8475,287227,0
1995-09-25,1.9013,1.9013,1.8207,1.8207,240842,0
1995-09-26,1.8207,1.8475,1.4888,1.5247,1012428,0
1995-09-27,1.5426,1.5695,1.3453,1.5695,1220265,0
1995-09-28,1.5695,1.5695,1.4888,1.5157,1727818,0
1995-09-29,1.5695,1.6502,1.5426,1.6233,960692,0
1995-10-02,1.6233,1.6233,1.5695,1.6233,668113,0
1995-10-03,1.6233,1.6502,1.5695,1.6233,421919,0
1995-10-04,1.6502,1.6502,1.5426,1.5695,460275,0
1995-10-05,1.5964,1.5964,1.5157,1.5157,152533,0
1995-10-06,1.5964,1.5964,1.4888,1.5247,198025,0
1995-10-09,1.5964,1.5964,1.3722,1.4529,372859,0
1995-10-10,1.4529,1.4529,1.3722,1.4529,93661,0
1995-10-11,1.4529,1.4529,1.3722,1.3722,171265,0
1995-10-12,1.3722,1.4529,1.3722,1.4529,440651,0
1995-10-13,1.3722,1.4529,1.3722,1.426,132909,0
1995-10-16,1.4529,1.7668,1.3991,1.7399,1835750,0
1995-10-17,1.7399,1.7399,1.6233,1.6502,3593004,0
1995-10-18,1.6502,1.7399,1.6412,1.7399,491495,0
1995-10-19,1.6502,1.7399,1.6502,1.7399,90985,0
1995-10-20,1.7129,1.7399,1.6233,1.6233,511120,0
1995-10-23,1.7129,1.7129,1.6233,1.7129,200701,0
1995-10-24,1.7129,1.7129,1.6233,1.7129,28544,0
1995-10-25,1.7129,1.7129,1.5964,1.5964,20516,0
1995-10-26,1.6861,1.6861,1.5964,1.5964,809943,0
1995-10-27,1.5964,1.6861,1.5964,1.5964,97228,0
1995-10-30,1.6861,1.7129,1.5964,1.6412,438868,0
1995-10-31,1.6682,1.7129,1.6233,1.6233,85633,0
1995-11-01,1.7129,1.7129,1.6233,1.6233,131125,0
1995-11-02,1.6233,1.7399,1.6233,1.6233,146290,0
1995-11-03,1.7129,1.7129,1.5964,1.6502,639569,0
1995-11-06,1.7129,1.7129,1.7129,1.7129,14273,0
1995-11-07,1.7129,1.7129,1.5964,1.7129,47276,0
1995-11-08,1.7129,1.7668,1.6682,1.7668,206946,0
1995-11-09,1.7668,1.7668,1.6233,1.6412,338962,0
1995-11-10,1.7129,1.7129,1.6233,1.7129,40140,0
1995-11-13,1.7129,1.7129,1.5964,1.6861,158777,0
1995-11-14,1.6861,1.6861,1.5964,1.6861,77604,0
1995-11-15,1.6861,1.7399,1.6412,1.6861,218541,0
1995-11-16,1.6861,1.6861,1.6233,1.6412,728770,0
1995-11-17,1.6861,1.6861,1.6233,1.6861,46384,0
1995-11-20,1.6861,1.7399,1.6502,1.6502,228353,0
1995-11-21,1.6502,1.7399,1.5695,1.5964,765342,0
1995-11-22,1.5695,1.6502,1.5695,1.6502,47276,0
1995-11-24,1.6502,1.6502,1.5695,1.6233,22300,0
1995-11-27,1.5695,1.7399,1.5695,1.6861,341638,0
1995-11-28,1.7399,1.8207,1.6861,1.7668,1230969,0
