Date,Open,High,Low,Close,Volume,OpenInt
2017-09-22,24.88,24.88,24.86,24.86,600,0
2017-09-25,24.93,24.93,24.93,24.93,28000,0
2017-09-27,24.88,24.88,24.88,24.88,300,0
2017-09-28,24.89,24.9133,24.89,24.9133,300,0
2017-09-29,24.95,24.95,24.95,24.95,100,0
2017-10-02,25.05,25.05,25.05,25.05,100,0
2017-10-03,25.1,25.11,25.1,25.11,200,0
2017-10-04,25.13,25.1999,25.13,25.1999,303,0
2017-10-05,25.2,25.2,25.2,25.2,3500,0
2017-10-06,25.2,25.2,25.2,25.2,2200,0
2017-10-09,25.12,25.12,25.12,25.12,700,0
2017-10-10,25.2,25.2,25.16,25.16,2503,0
2017-10-11,25.21,25.22,25.21,25.22,1400,0
2017-10-12,25.2,25.2,25.2,25.2,500,0
2017-10-13,25.28,25.28,25.28,25.28,200,0
2017-10-16,25.24,25.29,25.24,25.29,500,0
2017-10-17,25.24,25.24,25.24,25.24,200,0
2017-10-18,25.32,25.32,25.32,25.32,1000,0
2017-10-19,25.22,25.27,25.22,25.27,2300,0
2017-10-23,25.53,25.53,25.53,25.53,200,0
2017-10-24,25.37,25.37,25.37,25.37,200,0
2017-10-25,25.23,25.23,25.21,25.21,2400,0
2017-10-26,25.33,25.33,25.33,25.33,400,0
2017-10-27,25.27,25.27,25.27,25.27,2401,0
2017-10-30,25.32,25.32,25.32,25.32,100,0
2017-10-31,25.23,25.23,25.23,25.23,400,0
2017-11-01,25.38,25.38,25.38,25.38,200,0
2017-11-02,25.2,25.2,25.2,25.2,300,0
2017-11-03,25.32,25.32,25.32,25.32,3100,0
2017-11-06,25.28,25.28,25.28,25.28,300,0
2017-11-07,25.41,25.41,25.41,25.41,300,0
2017-11-08,25.38,25.38,25.38,25.38,305,0
2017-11-09,25.3,25.3,25.3,25.3,1400,0
2017-11-10,25.34,25.39,25.34,25.38,700,0
