Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,7.91,8.204,7.8301,8.1605,5537732,0
2005-02-28,8.2456,8.3079,8.0433,8.1236,3767133,0
2005-03-01,8.0433,8.1496,8.0257,8.1127,1735579,0
2005-03-02,8.0976,8.1085,7.8845,8.0017,2629848,0
2005-03-03,8.0759,8.1713,7.9908,8.1412,3635778,0
2005-03-04,8.204,8.2474,8.1,8.228,2757122,0
2005-03-07,8.1841,8.3604,8.1841,8.2125,2557249,0
2005-03-08,8.2999,8.2999,8.0976,8.1581,2047796,0
2005-03-09,8.1147,8.1954,7.91,7.9648,4096620,0
2005-03-10,7.9425,8.091,7.8845,8.0711,2374756,0
2005-03-11,8.0694,8.0759,7.8905,7.9255,1564983,0
2005-03-14,7.9648,7.9648,7.8036,7.9588,3567264,0
2005-03-15,7.9648,7.9865,7.8669,7.9539,1831698,0
2005-03-16,7.8953,8.2559,7.8669,8.0674,6089175,0
2005-03-17,8.0976,8.187,8.0125,8.0494,3578453,0
2005-03-18,8.1737,8.204,8.0433,8.0537,3086806,0
2005-03-21,8.1278,8.1496,8.0059,8.1103,1945104,0
2005-03-22,8.1147,8.1147,8.0173,8.0452,1844468,0
2005-03-23,7.9776,7.9883,7.8845,7.9563,3452797,0
2005-03-24,7.9214,8.056,7.9214,7.9932,2620386,0
2005-03-28,8.0759,8.0759,7.9425,7.9492,992275,0
2005-03-29,7.9474,8.0173,7.7238,7.7342,3103279,0
2005-03-30,7.7058,7.9733,7.7058,7.7777,2303509,0
2005-03-31,7.8708,7.9715,7.8301,7.8562,3674983,0
2005-04-01,7.9474,7.9951,7.7777,7.8627,2424036,0
2005-04-04,7.8405,7.9672,7.8055,7.8382,2013109,0
2005-04-05,7.8103,7.9407,7.8103,7.8732,1878919,0
2005-04-06,7.8821,7.952,7.832,7.9058,1620090,0
2005-04-07,7.9058,7.9058,7.5125,7.5689,7875640,0
2005-04-08,7.5644,7.5644,7.2625,7.2733,7613053,0
2005-04-11,7.2493,7.2539,7.0511,7.0753,7033802,0
2005-04-12,7.1207,7.3192,7.1164,7.2733,8858424,0
2005-04-13,7.3079,7.3079,6.9818,7.0422,7066323,0
2005-04-14,6.7336,6.7728,6.5426,6.5578,19564307,0
2005-04-15,6.4878,6.7468,6.3143,6.4421,15309265,0
2005-04-18,6.3923,6.5266,6.2331,6.5167,6644510,0
2005-04-19,6.5941,6.6056,6.3403,6.4099,5044927,0
2005-04-20,6.5072,6.5314,6.279,6.3403,5967694,0
2005-04-21,6.3617,6.6618,6.3617,6.6533,7062381,0
2005-04-22,6.6117,6.9231,6.6056,6.856,6987867,0
2005-04-25,6.8816,6.9231,6.5252,6.5615,7143555,0
2005-04-26,6.6056,6.6056,6.1381,6.2052,14742611,0
2005-04-27,6.1267,6.1509,6.0076,6.0307,13479882,0
2005-04-28,5.9897,6.2052,5.9897,6.1248,9125513,0
2005-04-29,6.1531,6.3073,6.0723,6.3073,5802156,0
2005-05-02,6.329,6.3333,6.1791,6.2246,4183746,0
2005-05-03,6.1919,6.2331,6.1032,6.1811,5412576,0
2005-05-04,6.1986,6.3683,6.1878,6.3443,4115095,0
2005-05-05,6.4028,6.6405,6.4028,6.5186,9838884,0
2005-05-06,6.6835,6.7075,6.5615,6.6684,8186723,0
2005-05-09,6.7161,6.7709,6.5399,6.7256,7753164,0
2005-05-10,6.6249,6.7336,6.6078,6.6969,3829677,0
2005-05-11,6.6231,6.6604,6.5399,6.5531,5796029,0
2005-05-12,6.5314,6.5659,6.3443,6.3748,7855617,0
2005-05-13,6.3923,6.4962,6.3229,6.4249,5292721,0
2005-05-16,6.4962,6.7228,6.4335,6.6944,6814723,0
2005-05-17,6.7119,6.7616,6.5659,6.7553,4620604,0
2005-05-18,6.7445,7.0664,6.7445,7.0144,11200563,0
2005-05-19,7.0191,7.0813,6.9251,6.9926,3507780,0
2005-05-20,6.9401,7.1383,6.9251,7.0683,3069410,0
2005-05-23,7.0356,7.3258,7.0059,7.3258,6107225,0
2005-05-24,7.3357,7.3512,7.1816,7.2493,5756538,0
2005-05-25,7.2317,7.4322,7.1642,7.3258,12059458,0
2005-05-26,7.3339,7.808,7.3079,7.6841,43964152,0
2005-05-27,7.6147,7.6689,7.4582,7.5101,12452467,0
2005-05-31,7.5644,7.7323,7.469,7.7077,6974073,0
2005-06-01,7.6931,7.7275,7.58,7.5886,8998120,0
2005-06-02,7.4842,7.5754,7.4495,7.5474,8940866,0
2005-06-03,7.5778,7.5904,7.5101,7.5815,6320175,0
2005-06-06,7.5276,7.6732,7.4236,7.6732,4874103,0
2005-06-07,7.6448,7.7451,7.6231,7.6931,9735308,0
2005-06-08,7.6713,7.7777,7.5754,7.652,6697293,0
2005-06-09,7.5975,7.7711,7.5975,7.7124,3838837,0
2005-06-10,7.6931,7.7323,7.6033,7.6127,2499099,0
2005-06-13,7.5838,7.8821,7.5706,7.8495,8869469,0
2005-06-14,7.832,7.8495,7.719,7.8036,5811664,0
2005-06-15,7.7777,7.9908,7.7469,7.936,9423122,0
2005-06-16,7.8953,7.969,7.815,7.8236,4832758,0
2005-06-17,7.8953,8.0976,7.8301,8.0494,5859260,0
2005-06-20,8.0433,8.204,7.9908,8.091,5343817,0
2005-06-21,8.073,8.0778,7.9279,7.9908,6309445,0
2005-06-22,8.0277,8.0976,7.9624,8.0674,4105954,0
2005-06-23,7.969,8.0821,7.832,7.8513,5318390,0
2005-06-24,7.8211,7.8254,7.6841,7.7711,5422396,0
2005-06-27,7.8627,7.9672,7.7777,7.8773,7513358,0
2005-06-28,7.8773,8.0694,7.8669,8.0404,6180274,0
2005-06-29,8.0234,8.3079,8.0234,8.2474,13637193,0
2005-06-30,8.2655,8.3892,8.2366,8.2672,9071574,0
2005-07-01,8.2672,8.2777,8.117,8.1472,3974402,0
2005-07-05,8.0976,8.1821,8.0631,8.1431,5522795,0
2005-07-06,8.1799,8.3104,8.1236,8.2588,9901645,0
2005-07-07,8.0957,8.2559,8.0711,8.2125,5739606,0
2005-07-08,8.204,8.3104,8.1647,8.2999,5666058,0
2005-07-11,8.3126,8.3126,8.1821,8.2914,9108927,0
2005-07-12,7.8405,7.8562,7.5644,7.7238,41768124,0
2005-07-13,7.6816,7.6816,7.4401,7.5494,14192283,0
2005-07-14,7.5301,7.6033,7.384,7.393,11839276,0
2005-07-15,7.4842,7.5011,7.4033,7.4751,14544889,0
2005-07-18,7.5409,7.6907,7.5409,7.5975,8768205,0
2005-07-19,7.6775,7.6931,7.4582,7.5644,10011960,0
2005-07-20,7.5578,7.5626,7.4105,7.4495,6880775,0
2005-07-21,7.4515,7.5101,7.297,7.5036,10238780,0
2005-07-22,7.5319,7.6931,7.4951,7.6931,6737338,0
2005-07-25,7.6931,7.7342,7.6079,7.6212,8550650,0
2005-07-26,7.5706,7.8187,7.5409,7.7298,9451606,0
