Date,Open,High,Low,Close,Volume,OpenInt
2011-05-02,6.0513,6.09,5.8967,5.8967,7039,0
2011-05-03,5.9063,5.9933,5.8967,5.9933,8605,0
2011-05-04,5.9063,5.9063,5.481,5.51,6600,0
2011-05-05,5.51,5.51,4.8623,5.1523,3882,0
2011-05-06,5.307,5.655,5.307,5.3167,4448,0
2011-05-09,5.3167,5.3167,5.3167,5.3167,466,0
2011-05-10,5.5583,5.7033,5.4713,5.4713,5744,0
2011-05-11,5.8773,5.945,5.7323,5.8967,22502,0
2011-05-12,5.7033,5.7033,5.481,5.655,12181,0
2011-05-13,5.5873,5.887,5.5583,5.8,1808,0
2011-05-16,5.7517,5.7517,5.7227,5.7227,553,0
2011-05-17,5.7517,5.8,5.7033,5.7033,4086,0
2011-05-18,5.7517,5.8,5.5487,5.6067,9052,0
2011-05-19,5.6163,5.6647,5.6067,5.6163,6326,0
2011-05-20,5.6067,5.7807,5.597,5.7807,2083,0
2011-05-23,5.7807,5.7807,5.6163,5.7033,1383,0
2011-05-24,5.7033,5.7033,5.4133,5.4133,2431,0
2011-05-25,5.4617,5.51,5.4617,5.51,621,0
2011-05-26,5.51,5.51,5.51,5.51,103,0
2011-05-27,5.539,5.7517,4.8333,5.2393,10675,0
2011-05-31,4.93,5.1523,4.93,5.075,2607,0
2011-06-01,5.0267,5.0267,4.9687,5.0267,1448,0
2011-06-02,5.307,5.307,5.2103,5.2103,828,0
2011-06-03,5.046,5.046,4.9493,4.9493,9114,0
2011-06-06,4.8333,4.8817,3.3833,4.35,22033,0
2011-06-07,4.1567,4.3307,3.9633,4.292,2638,0
2011-06-08,4.1277,4.147,3.8957,4.0117,20629,0
2011-06-09,3.9537,4.06,3.8667,4.0117,32969,0
2011-06-10,4.1277,4.1567,4.1277,4.147,13169,0
2011-06-13,4.0117,4.1567,3.6443,3.8473,9824,0
2011-06-14,3.9827,4.8333,3.9343,4.611,25014,0
2011-06-15,4.785,5.2683,4.785,4.8913,23036,0
2011-06-16,4.8913,4.8913,4.7077,4.7947,11507,0
2011-06-17,4.6013,4.8043,4.5917,4.64,18614,0
2011-06-20,4.4467,4.785,4.437,4.6883,2669,0
2011-06-21,4.843,4.8527,4.6013,4.785,2069,0
2011-06-22,4.8817,4.8817,4.5917,4.5917,2868,0
2011-06-23,4.6013,4.6013,3.9633,4.2823,11009,0
2011-06-24,4.0117,4.1567,3.9633,3.9923,7738,0
2011-06-27,4.06,4.234,4.0503,4.2243,7267,0
2011-06-28,4.3307,4.3307,4.1567,4.2147,5313,0
2011-06-29,4.1857,4.205,4.1567,4.205,4241,0
2011-06-30,4.1567,4.1567,4.1083,4.1083,5016,0
2011-07-01,4.814,4.814,4.4467,4.698,669,0
2011-07-05,4.7947,4.7947,4.1857,4.4177,7860,0
2011-07-06,4.3983,4.3983,4.3887,4.3887,1138,0
2011-07-07,4.5917,4.756,4.5917,4.7173,19296,0
2011-07-08,4.814,4.814,4.7947,4.814,1034,0
2011-07-11,4.5627,4.7367,4.4467,4.495,3241,0
2011-07-12,4.4757,4.785,4.4757,4.6883,5888,0
2011-07-13,4.7367,4.814,4.7367,4.785,8897,0
2011-07-14,4.814,4.814,4.6593,4.669,8121,0
2011-07-15,4.524,4.8043,4.5143,4.5917,4084,0
2011-07-18,4.5917,4.669,4.3983,4.5723,4247,0
2011-07-19,4.611,4.611,4.437,4.5723,1759,0
2011-07-20,4.6497,4.7657,4.6497,4.7173,3233,0
2011-07-21,4.7173,4.7173,4.5433,4.5433,5483,0
2011-07-22,4.4757,4.6787,4.4757,4.4757,2793,0
2011-07-25,4.4467,4.4853,4.4467,4.4853,6739,0
2011-07-26,4.4467,4.495,4.4467,4.495,310,0
2011-07-27,4.7173,4.7657,4.7173,4.7367,2328,0
2011-07-28,4.5917,4.7077,4.5143,4.5143,2897,0
2011-07-29,4.4467,4.5917,4.4467,4.5917,8845,0
2011-08-01,4.5723,4.5917,4.466,4.466,5246,0
2011-08-02,4.466,4.466,4.3597,4.3597,5690,0
2011-08-03,4.3597,4.4467,4.2437,4.35,7293,0
2011-08-04,4.0697,4.1083,4.06,4.06,9828,0
2011-08-05,4.06,4.06,3.5187,3.7217,9321,0
2011-08-08,3.5187,3.5187,2.5327,2.726,11472,0
2011-08-09,2.7067,3.8667,2.7067,3.1803,13213,0
2011-08-10,3.4123,3.4123,3.19,3.19,5534,0
2011-08-11,3.4123,3.4123,3.4123,3.4123,4241,0
2011-08-12,3.4027,3.4123,3.393,3.4123,3103,0
2011-08-15,3.3447,3.7217,3.3447,3.7217,2831,0
2011-08-16,3.7797,3.7893,3.625,3.625,2586,0
2011-08-17,3.8473,3.8763,3.8473,3.8473,3103,0
2011-08-18,3.2963,3.5477,3.2383,3.5477,5897,0
2011-08-19,3.248,3.8087,3.248,3.2867,6403,0
2011-08-22,3.8087,3.857,3.2867,3.335,5243,0
2011-08-23,3.8183,3.8183,3.1997,3.3737,3414,0
2011-08-24,3.1997,3.335,3.1997,3.248,2276,0
2011-08-25,3.3737,3.3737,3.1513,3.335,1552,0
2011-08-26,3.5283,3.5283,3.19,3.4027,3051,0
2011-08-29,3.277,3.2963,3.2093,3.2963,5829,0
2011-08-30,3.2577,3.48,3.248,3.4317,1552,0
2011-08-31,3.335,3.4703,3.2673,3.2867,6983,0
2011-09-01,3.451,3.451,3.2867,3.306,3724,0
2011-09-02,3.393,3.4703,3.1417,3.4607,8716,0
2011-09-06,3.219,3.2383,3.1803,3.2383,4241,0
2011-09-07,3.422,3.4317,3.2577,3.4123,1862,0
2011-09-08,3.4027,3.4607,3.3737,3.4607,2483,0
2011-09-09,3.4123,3.4123,3.1803,3.1997,7034,0
2011-09-12,3.1803,3.1803,3.1803,3.1803,1034,0
2011-09-13,3.219,3.2383,3.1803,3.2383,7138,0
2011-09-14,3.1997,3.3543,3.19,3.3543,2974,0
2011-09-15,3.2963,3.364,3.2963,3.364,1164,0
2011-09-16,3.3157,3.6733,3.3157,3.625,16448,0
2011-09-19,3.3833,3.3833,3.335,3.335,5121,0
2011-09-20,3.306,3.3833,3.19,3.364,14514,0
2011-09-21,3.248,3.335,3.1803,3.2577,8690,0
2011-09-22,3.1417,3.7797,3.0257,3.1417,21848,0
2011-09-23,3.19,3.2867,3.1803,3.1803,9393,0
2011-09-26,3.1803,3.3737,3.1803,3.1803,21665,0
2011-09-27,3.306,3.3253,3.1417,3.3253,4474,0
2011-09-28,3.1417,3.3737,2.9,2.9,9157,0
2011-09-29,3.1417,3.1417,2.8517,2.8517,362,0
2011-09-30,2.9,2.9,2.7067,2.755,4790,0
2011-10-03,2.5617,2.6583,2.5617,2.6583,2276,0
2011-10-04,2.436,2.9,1.856,2.7647,12155,0
2011-10-05,2.5133,2.552,2.32,2.4167,8017,0
2011-10-06,2.5907,2.842,2.2717,2.4747,9279,0
2011-10-07,2.5133,2.6873,2.4457,2.5423,4231,0
2011-10-10,2.8033,2.8323,2.436,2.61,10810,0
2011-10-11,2.7647,2.7647,2.4843,2.639,2897,0
2011-10-12,2.6583,2.9967,2.6487,2.9483,56760,0
2011-10-13,2.987,3.045,2.9097,2.9967,7114,0
2011-10-14,3.0933,3.1803,3.0933,3.161,828,0
2011-10-17,2.9,3.0837,2.4263,2.9773,6275,0
2011-10-18,2.9387,2.9677,2.755,2.9677,3362,0
2011-10-19,2.9193,3.0643,2.871,2.9193,8547,0
2011-10-20,2.871,2.871,2.6583,2.871,6983,0
2011-10-21,2.929,3.132,2.8903,2.9,2431,0
2011-10-24,3.1417,3.1417,2.9967,3.1417,4655,0
2011-10-25,3.1707,3.19,3.016,3.132,10810,0
2011-10-26,3.1223,3.1417,3.0063,3.074,8328,0
2011-10-27,2.871,3.0353,2.8517,3.0353,2845,0
2011-10-28,3.016,3.0353,2.871,2.9773,5051,0
2011-10-31,2.9967,3.0353,2.8033,2.9,8884,0
2011-11-01,2.755,2.9097,2.755,2.9097,4552,0
2011-11-02,3.074,3.1417,2.929,3.074,1759,0
2011-11-03,2.9,2.9,2.7647,2.8613,4530,0
2011-11-04,2.842,2.929,2.842,2.929,790,0
2011-11-07,2.9193,3.1417,2.9193,3.1417,10448,0
2011-11-08,3.132,3.132,2.9483,3.0933,6362,0
2011-11-09,2.784,2.784,2.784,2.784,1034,0
2011-11-10,2.8323,3.045,2.8033,3.045,7737,0
2011-11-11,3.045,3.0933,3.016,3.0257,4500,0
