Date,Open,High,Low,Close,Volume,OpenInt
2000-12-08,6.0472,8.746,5.78,7.6451,22431113,0
2000-12-11,8.6694,8.7004,7.5995,8.0963,3818088,0
2000-12-12,8.1114,8.1193,7.4083,7.5995,1409251,0
2000-12-13,7.9358,7.9815,7.5533,7.5995,552507,0
2000-12-14,7.6377,7.7371,7.5995,7.6909,347146,0
2000-12-15,7.7371,7.7371,6.8806,7.6909,1242875,0
2000-12-18,7.8364,7.8364,7.4311,7.6682,632556,0
2000-12-19,7.6682,7.6682,7.3546,7.4998,598286,0
2000-12-20,7.4083,7.4998,6.8806,6.9727,1607286,0
2000-12-21,6.9036,7.0721,6.7891,6.9571,1330772,0
2000-12-22,7.1178,7.4083,7.0721,7.3546,544132,0
2000-12-26,7.3773,7.4083,7.2169,7.2629,986241,0
2000-12-27,7.2324,7.309,6.9727,7.0946,472718,0
2000-12-28,7.1178,7.4083,6.9953,7.1178,1371583,0
2000-12-29,7.2629,7.6909,7.1713,7.5533,304504,0
2001-01-02,7.7139,7.7371,7.1484,7.3546,432170,0
2001-01-03,7.1787,7.4083,6.6894,6.7355,713390,0
2001-01-04,6.8577,7.2629,6.7355,6.9036,376189,0
2001-01-05,6.919,7.0721,6.7891,6.9265,1258310,0
2001-01-08,6.8806,6.9571,6.6894,6.6894,825354,0
2001-01-09,6.85,6.8806,6.4984,6.59,1074925,0
2001-01-10,6.5747,6.59,6.4069,6.4984,1277665,0
2001-01-11,6.5137,7.0721,6.4984,6.9571,1774973,0
2001-01-12,7.1025,7.3546,7.0721,7.309,740595,0
2001-01-16,7.4998,7.8364,7.2169,7.2629,867472,0
2001-01-17,7.3013,7.5995,7.2169,7.4083,635694,0
2001-01-18,7.4464,7.4541,7.0721,7.2629,382985,0
2001-01-19,7.2859,7.3546,6.9727,7.0259,332494,0
2001-01-22,7.1178,7.1178,6.7355,6.8348,1000105,0
2001-01-23,6.9727,7.0259,6.8348,6.8348,578928,0
2001-01-24,6.8425,6.8806,6.4755,6.4984,1565953,0
2001-01-25,6.59,6.8806,6.2078,6.8348,1289441,0
2001-01-26,6.6894,7.4083,6.6436,7.1178,325694,0
2001-01-29,7.2552,7.6451,7.1178,7.6223,270235,0
2001-01-30,7.6223,7.6682,7.2399,7.6682,246955,0
2001-01-31,7.5533,7.6682,7.4083,7.4311,110135,0
2001-02-01,7.4083,7.6682,7.4083,7.5995,131590,0
2001-02-02,7.6682,8.3179,7.6451,8.2646,624187,0
2001-02-05,8.4327,9.32,8.3179,9.1284,735628,0
2001-02-06,9.2663,9.824,9.1284,9.4653,765975,0
2001-02-07,9.22,9.556,9.1284,9.32,247737,0
2001-02-08,9.2741,9.701,9.2663,9.602,590437,0
2001-02-09,9.578,9.634,9.1738,9.1738,955112,0
2001-02-12,9.2663,9.32,8.9829,8.9829,3089790,0
2001-02-13,9.0969,9.4128,8.9379,9.32,299014,0
2001-02-14,9.366,9.4128,8.1728,8.5021,1783607,0
2001-02-15,8.7004,8.7919,7.9358,8.1193,470099,0
2001-02-16,8.1038,8.5556,7.6909,8.1728,345579,0
2001-02-20,8.409,8.409,7.309,7.4998,511957,0
2001-02-21,7.3623,7.6909,7.2169,7.4998,257417,0
2001-02-22,7.4922,7.4998,7.0946,7.0946,258203,0
2001-02-23,7.0721,7.8595,7.0259,7.8364,160624,0
2001-02-26,7.8364,8.2183,7.8132,8.1114,155131,0
2001-02-27,8.2183,8.409,8.1728,8.409,355519,0
2001-02-28,8.4567,8.4567,8.3328,8.3636,186522,0
2001-03-01,8.3179,8.3636,7.2169,7.6451,303459,0
2001-03-02,7.7215,7.7371,7.3546,7.6909,218437,0
2001-03-05,7.8364,8.0732,7.7215,7.9815,143882,0
2001-03-06,8.0274,8.1728,7.6451,7.6451,336158,0
2001-03-07,7.9204,7.9815,7.6682,7.8824,229949,0
2001-03-08,7.9358,7.9358,7.4541,7.5995,179198,0
2001-03-09,7.63,7.8364,7.4541,7.4998,183124,0
2001-03-12,7.3546,7.4998,6.9265,6.9265,333549,0
2001-03-13,7.0259,7.2629,6.9571,7.2169,299798,0
2001-03-14,7.0721,7.7371,6.9727,7.5687,240675,0
2001-03-15,7.6223,7.8364,7.5995,7.7371,74821,0
2001-03-16,7.7903,7.7903,7.5304,7.5304,99149,0
2001-03-19,7.5304,7.5533,7.2169,7.4083,158010,0
2001-03-20,7.4541,7.8364,7.309,7.309,405226,0
2001-03-21,7.309,7.6909,7.309,7.6223,98365,0
2001-03-22,7.6832,7.6909,7.3546,7.4998,165856,0
2001-03-23,7.6451,7.8824,7.4998,7.6451,444465,0
2001-03-26,7.6451,7.8824,7.5995,7.7371,642759,0
2001-03-27,7.5995,7.7371,7.5533,7.5533,301889,0
2001-03-28,7.4998,7.5995,6.8806,7.1713,225501,0
2001-03-29,7.1713,7.309,6.9265,7.2859,169519,0
2001-03-30,7.2629,7.6451,7.2629,7.5995,127139,0
2001-04-02,7.4083,7.6451,7.4083,7.5533,163503,0
2001-04-03,7.6451,7.6909,7.0721,7.0721,293779,0
2001-04-04,7.2169,7.7371,7.0259,7.6682,248520,0
2001-04-05,7.7371,7.7903,7.6223,7.7371,143358,0
2001-04-06,7.6909,7.6909,7.2629,7.309,181553,0
2001-04-09,7.2324,7.2324,6.8577,6.9727,1048244,0
2001-04-10,7.1254,7.1713,7.0488,7.0946,638571,0
2001-04-11,7.2247,7.2247,6.98,7.0029,454667,0
2001-04-12,6.9571,7.0721,6.919,6.919,156962,0
2001-04-16,6.919,7.0488,6.8425,6.9036,195679,0
2001-04-17,6.9419,7.0721,6.9419,7.0335,105425,0
2001-04-18,7.0946,7.2629,6.8042,6.8806,784025,0
2001-04-19,6.9113,6.9342,6.8806,6.8806,337990,0
2001-04-20,7.0721,7.1178,6.9571,7.0946,511695,0
2001-04-23,7.0721,7.0721,7.0183,7.0564,198293,0
2001-04-24,6.9953,7.0721,6.98,7.0335,177104,0
2001-04-25,7.0029,7.1102,6.9265,6.9571,478994,0
2001-04-26,6.9419,7.1713,6.9342,7.1254,458591,0
2001-04-27,7.1713,7.6682,7.1484,7.6682,1250463,0
2001-04-30,7.9358,8.8142,7.4159,8.0274,1708789,0
2001-05-01,8.0274,8.295,8.0274,8.2338,514831,0
2001-05-02,8.2714,8.409,7.9968,8.0274,986501,0
2001-05-03,8.0274,8.1038,7.9891,8.0506,670489,0
2001-05-04,8.0581,8.4637,8.0274,8.3557,247213,0
2001-05-07,8.409,8.409,8.2338,8.3328,99410,0
2001-05-08,8.4637,8.8216,8.3714,8.7983,319153,0
2001-05-09,8.8142,8.9829,8.7919,8.9529,142312,0
2001-05-10,9.0835,9.4043,9.0609,9.3504,400772,0
2001-05-11,9.3504,9.4415,9.0969,9.1363,586512,0
2001-05-14,9.1363,9.1363,8.7149,8.7149,363889,0
2001-05-15,8.7919,9.1198,8.6396,9.0055,490766,0
2001-05-16,9.1284,9.1363,8.6766,8.8216,275469,0
2001-05-17,8.9453,9.4722,8.7919,9.4336,455711,0
2001-05-18,9.4415,9.4415,9.1738,9.2741,438971,0
2001-05-21,9.2141,9.2141,8.9615,9.036,239106,0
2001-05-22,8.9829,9.1363,8.7543,8.7919,441847,0
2001-05-23,8.7919,8.9529,8.7625,8.7625,126355,0
2001-05-24,8.83,8.9049,8.7919,8.9049,591745,0
2001-05-25,8.9049,8.9049,8.77,8.8216,447603,0
2001-05-29,8.8142,8.8689,8.4169,8.4327,956417,0
2001-05-30,8.3106,8.3328,7.6068,7.76,846547,0
2001-05-31,7.5533,7.6909,7.3242,7.6527,1086175,0
2001-06-01,7.6223,7.6832,7.5763,7.6527,747924,0
2001-06-04,7.6145,7.6758,7.3546,7.5995,808088,0
2001-06-05,7.4998,8.3328,7.4998,7.9739,1733379,0
2001-06-06,7.9739,8.5636,7.8901,8.142,2212374,0
2001-06-07,8.2108,8.5775,8.0732,8.4487,491552,0
2001-06-08,8.6234,8.7625,8.4637,8.6396,570554,0
2001-06-11,8.6081,8.6396,8.3328,8.3949,360225,0
2001-06-12,8.4327,8.5172,8.3714,8.4637,277302,0
2001-06-13,8.5556,8.6541,8.3179,8.409,388741,0
2001-06-14,8.4487,8.4861,8.3714,8.409,233087,0
2001-06-15,8.3714,8.6315,8.3714,8.6234,203789,0
2001-06-18,8.6234,8.6396,8.4861,8.5021,110135,0
2001-06-19,8.5703,8.6234,8.3793,8.5021,274685,0
2001-06-20,8.4861,8.6008,8.409,8.5775,241982,0
2001-06-21,8.5244,8.5475,8.3714,8.4407,213729,0
2001-06-22,8.4487,8.6315,8.4327,8.6008,515880,0
2001-06-25,8.5775,8.6694,8.5636,8.5703,356563,0
2001-06-26,8.6153,8.6153,8.5475,8.5475,274685,0
2001-06-27,8.5475,8.7919,8.5244,8.7836,414117,0
2001-06-28,8.7919,8.9049,8.6541,8.7836,407841,0
2001-06-29,8.7983,8.8845,8.6396,8.7378,369383,0
2001-07-02,8.83,8.8845,8.7919,8.8532,203266,0
2001-07-03,8.8845,8.9049,8.7919,8.8532,99149,0
2001-07-05,8.8457,8.9049,8.8142,8.8689,201956,0
2001-07-06,8.8532,8.9529,8.8457,8.9209,473500,0
2001-07-09,8.8912,8.9133,8.8689,8.9049,237532,0
2001-07-10,8.9049,8.9615,8.8689,8.9295,453882,0
2001-07-11,8.8457,8.9295,8.5636,8.5703,235965,0
2001-07-12,8.5856,8.7004,8.5856,8.7004,407059,0
2001-07-13,8.7004,8.7378,8.6541,8.7004,189922,0
2001-07-16,8.7149,8.7543,8.5775,8.6396,69848,0
2001-07-17,8.7543,8.7543,8.5775,8.6478,133156,0
2001-07-18,8.6541,8.6694,8.5556,8.5636,155131,0
2001-07-19,8.5636,8.77,8.5475,8.6766,236490,0
2001-07-20,8.6622,8.7543,8.6622,8.7378,115629,0
2001-07-23,8.7004,8.7543,8.6396,8.6766,219486,0
2001-07-24,8.6478,8.6541,7.9968,8.1038,375923,0
2001-07-25,8.1651,8.1651,7.8364,7.9586,169519,0
2001-07-27,8.0655,8.47,8.0274,8.402,118769,0
2001-07-30,8.3179,8.4487,8.3179,8.409,287500,0
2001-07-31,8.3328,8.4327,8.2183,8.3328,140482,0
2001-08-01,8.47,8.6008,7.7215,7.8595,1930627,0
2001-08-02,7.8746,7.8746,7.5076,7.5381,1339670,0
2001-08-03,7.5687,7.5918,7.1713,7.3392,693773,0
2001-08-06,7.3849,7.5763,7.3242,7.5763,1090359,0
2001-08-07,7.6145,7.6145,7.5533,7.5611,177890,0
2001-08-08,7.5841,7.5841,7.4159,7.4771,185999,0
2001-08-09,7.5457,7.5533,7.3469,7.4159,643017,0
2001-08-10,7.4771,7.4771,7.4233,7.4541,242503,0
2001-08-13,7.3773,7.4541,7.2859,7.2859,2585679,0
2001-08-14,7.2859,7.4541,7.2399,7.3013,1315861,0
2001-08-15,7.2936,7.5304,7.2859,7.3699,1205466,0
2001-08-16,7.3773,7.3849,7.3013,7.332,289596,0
2001-08-17,7.2859,7.2936,7.2399,7.2859,545701,0
2001-08-20,7.3013,7.3013,7.2247,7.2399,764142,0
2001-08-21,7.2629,7.3699,7.1941,7.2706,275207,0
2001-08-22,7.2324,7.6758,7.2247,7.5841,126094,0
2001-08-23,7.6682,7.9204,7.5304,7.5304,159578,0
2001-08-24,7.5076,7.7827,7.5076,7.6527,103330,0
2001-08-27,7.7371,7.7445,7.5304,7.5304,108301,0
2001-08-28,7.7371,7.7371,7.4541,7.4998,87637,0
2001-08-29,7.6223,7.6223,7.4998,7.6068,54940,0
2001-08-30,7.6223,7.63,7.5533,7.5533,62521,0
2001-08-31,7.5763,7.6223,7.5533,7.5918,30607,0
2001-09-04,7.6223,7.7983,7.5763,7.6682,371215,0
2001-09-05,7.7139,7.8132,7.6682,7.7139,231781,0
2001-09-06,7.6451,7.9509,7.6451,7.7215,469052,0
2001-09-07,7.6909,7.8364,7.5304,7.5304,369643,0
2001-09-10,7.5381,7.6758,7.3623,7.6451,403651,0
2001-09-17,6.8195,7.4541,6.8195,7.2629,718360,0
2001-09-18,7.3242,7.3242,6.85,6.8806,1793285,0
2001-09-19,6.8806,7.0335,6.3838,6.4142,899913,0
2001-09-20,5.6421,5.8485,5.4664,5.5045,1230841,0
2001-09-21,5.3057,5.543,4.8547,5.543,1311940,0
2001-09-24,5.757,6.2689,5.7492,6.0399,382462,0
2001-09-25,6.0933,6.1314,5.6193,5.8868,331974,0
2001-09-26,5.8868,6.1543,5.8106,6.0933,208495,0
2001-09-27,6.1695,6.1695,6.0779,6.1009,312354,0
2001-09-28,6.1543,6.1928,6.1009,6.1543,1789885,0
2001-10-01,6.1543,6.1543,6.0703,6.0933,1388588,0
2001-10-02,6.2308,6.2308,5.8868,5.9248,1897928,0
2001-10-03,5.9248,6.0244,5.795,5.9479,386388,0
2001-10-04,6.0013,6.2308,5.8258,6.1085,586512,0
2001-10-05,6.0933,6.2308,6.0549,6.1467,218701,0
2001-10-08,6.1928,6.2078,6.0855,6.1162,464347,0
2001-10-09,6.1695,6.1695,6.0549,6.0779,719408,0
2001-10-10,6.1162,6.2308,6.0549,6.1162,692986,0
2001-10-11,6.2078,6.7965,6.2078,6.5825,182599,0
2001-10-12,6.6514,6.7891,6.4755,6.6514,113273,0
2001-10-15,6.5747,6.7279,6.5747,6.6591,38196,0
2001-10-16,6.6818,6.6818,6.5672,6.5747,71940,0
2001-10-17,6.5214,6.59,6.4069,6.445,205356,0
2001-10-18,6.4678,6.4984,6.4219,6.4219,47613,0
2001-10-19,6.4984,6.5214,6.3301,6.3301,43948,0
2001-10-22,6.4908,6.5214,6.3761,6.4984,64877,0
2001-10-23,6.4984,6.5214,6.445,6.5137,58077,0
2001-10-24,6.5137,6.5214,6.3072,6.5214,94963,0
2001-10-25,6.5214,6.5214,6.3838,6.4678,93130,0
2001-10-26,6.5137,6.5521,6.4219,6.5521,377755,0
2001-10-29,6.5214,6.5214,6.4755,6.4984,56769,0
2001-10-30,6.5137,6.5137,6.1928,6.3379,170305,0
2001-10-31,6.4069,6.4755,6.2768,6.4219,104901,0
2001-11-01,6.3838,6.5137,6.2078,6.4602,539161,0
2001-11-02,6.483,6.4984,6.4219,6.4602,84234,0
2001-11-05,6.5063,6.5214,6.3838,6.4142,130800,0
2001-11-06,6.445,6.5063,6.3072,6.445,69325,0
2001-11-07,6.4908,6.5137,6.4526,6.4755,49443,0
2001-11-08,6.4984,6.5747,6.4293,6.4293,163503,0
2001-11-09,6.4908,6.4908,6.4219,6.4755,45781,0
2001-11-12,6.4678,6.483,6.4069,6.445,139956,0
2001-11-13,6.5367,6.5367,6.4219,6.5214,405746,0
2001-11-14,6.5214,6.5214,6.3148,6.3379,353949,0
2001-11-15,6.4984,6.5214,6.2843,6.4602,199605,0
2001-11-16,6.483,6.5367,6.3148,6.5214,304243,0
2001-11-19,6.5214,6.5367,6.4602,6.5137,164549,0
2001-11-20,6.4984,6.5137,6.3072,6.4984,60431,0
2001-11-21,6.4219,6.5137,6.4069,6.4602,159839,0
2001-11-23,6.3914,6.4984,6.3914,6.4678,38979,0
2001-11-26,6.4984,6.5747,6.2843,6.5747,447077,0
2001-11-27,6.5214,6.6129,6.4984,6.5367,171608,0
2001-11-28,6.5214,6.59,6.5137,6.5214,192803,0
2001-11-29,6.5214,6.59,6.5063,6.5825,84496,0
2001-11-30,6.5521,6.6894,6.5521,6.6666,700046,0
2001-12-03,6.6894,6.9036,6.6514,6.8577,499137,0
2001-12-04,6.8806,6.8806,6.7661,6.8348,119550,0
2001-12-05,6.8806,6.9727,6.8042,6.8806,278346,0
2001-12-06,6.8806,6.919,6.7891,6.873,110399,0
2001-12-07,6.8806,6.9113,6.7891,6.8958,164286,0
2001-12-10,6.9036,7.2552,6.9036,7.2324,754460,0
2001-12-11,7.2552,7.309,7.1866,7.3013,1346729,0
2001-12-12,7.2936,7.4464,7.2096,7.4159,1133784,0
2001-12-13,7.4159,7.4233,7.3469,7.3623,705017,0
2001-12-14,7.4006,7.4998,7.3623,7.4541,255061,0
2001-12-17,7.4846,7.6682,7.4233,7.6527,791347,0
2001-12-18,7.6832,8.1651,7.6832,8.0428,770158,0
2001-12-19,8.0274,8.0506,7.6451,7.6527,158531,0
2001-12-20,7.7827,7.9125,7.7063,7.8595,189140,0
2001-12-21,7.7983,8.0655,7.7983,8.0351,363632,0
2001-12-24,8.1038,8.1114,7.9891,8.0581,124000,0
2001-12-26,8.1193,8.1269,7.9586,8.0581,266572,0
2001-12-27,8.0274,8.1651,8.0274,8.081,707635,0
2001-12-28,8.0887,8.2183,8.0274,8.1498,210327,0
2001-12-31,8.1881,8.2183,8.0887,8.1498,169781,0
2002-01-02,8.0351,8.142,8.0351,8.1193,238585,0
2002-01-03,8.1193,8.1728,8.0655,8.1344,459374,0
2002-01-04,8.1114,8.1728,8.1114,8.1651,382207,0
2002-01-07,8.1651,8.1651,7.9358,7.9968,364673,0
2002-01-08,7.9968,8.0044,7.6223,7.7371,1263540,0
2002-01-09,7.7371,7.8364,7.6682,7.7371,670489,0
2002-01-10,7.76,7.9358,7.7295,7.8824,212420,0
2002-01-11,7.9125,7.9125,7.76,7.76,159316,0
2002-01-14,7.6986,7.7063,7.5763,7.6377,279128,0
2002-01-15,7.6832,7.9509,7.5687,7.9204,560875,0
