Date,Open,High,Low,Close,Volume,OpenInt
2016-09-21,15.818,15.818,15.818,15.818,504,0
2016-09-26,15.798,15.798,15.649,15.649,653,0
2016-09-27,15.878,15.878,15.878,15.878,111,0
2016-10-03,15.729,15.729,15.729,15.729,168,0
2016-10-13,15.185,15.185,15.185,15.185,151,0
2016-10-17,15.221,15.221,15.221,15.221,503,0
2016-10-26,15.068,15.068,15.068,15.068,101,0
2016-11-01,15.062,15.062,14.876,14.876,404,0
2016-11-09,14.475,14.475,14.475,14.475,678,0
2016-12-09,14.988,14.988,14.988,14.988,196,0
2016-12-19,14.734,14.734,14.734,14.734,1005,0
2016-12-27,14.555,14.555,14.555,14.555,1057,0
2016-12-29,14.4873,14.4873,14.4873,14.4873,214,0
2016-12-30,14.5383,14.5383,14.5383,14.5383,166,0
2017-01-09,14.8,14.8,14.8,14.8,123,0
2017-01-17,14.95,15.0285,14.95,15.0285,200,0
2017-01-20,15,15,15,15,170,0
2017-01-23,14.93,14.93,14.85,14.89,2284,0
2017-01-25,15.015,15.015,15.015,15.015,200,0
2017-01-27,14.89,14.89,14.89,14.89,168,0
2017-01-30,14.8278,14.8278,14.8278,14.8278,135,0
2017-02-06,14.83,14.83,14.83,14.83,268,0
2017-02-14,14.82,14.82,14.82,14.82,136,0
2017-02-15,14.8801,14.8801,14.8801,14.8801,253,0
2017-02-21,14.8801,14.886,14.8801,14.886,200,0
2017-03-14,14.8878,14.8878,14.8878,14.8878,475,0
2017-03-21,15.11,15.11,15.0875,15.0875,657,0
2017-03-27,15.16,15.16,15.16,15.16,200,0
2017-03-30,15.22,15.22,15.22,15.22,151,0
2017-04-20,15.53,15.53,15.53,15.53,613,0
2017-04-26,15.64,15.64,15.5967,15.5967,342,0
2017-05-03,15.51,15.51,15.5012,15.5012,2073,0
2017-05-04,15.5467,15.5467,15.5467,15.5467,296,0
2017-05-05,15.7165,15.7165,15.7165,15.7165,433,0
2017-05-08,15.71,15.71,15.64,15.64,446,0
2017-05-09,15.78,15.78,15.78,15.78,367,0
2017-05-10,15.79,15.79,15.79,15.79,273,0
2017-05-12,15.65,15.65,15.6267,15.65,592,0
2017-05-15,15.72,15.73,15.654,15.67,2741,0
2017-05-18,15.43,15.43,15.43,15.43,417,0
2017-05-19,15.48,15.48,15.44,15.44,400,0
2017-05-26,15.5467,15.5467,15.5467,15.5467,136,0
2017-05-30,15.58,15.58,15.58,15.58,105,0
2017-05-31,15.5667,15.5667,15.5667,15.5667,500,0
2017-06-05,15.817,15.817,15.817,15.817,184,0
2017-06-07,15.73,15.74,15.7065,15.74,1216,0
2017-06-12,15.85,15.85,15.85,15.85,570,0
2017-06-13,15.91,15.91,15.91,15.91,995,0
2017-06-22,15.89,15.89,15.89,15.89,105,0
2017-06-23,15.85,15.92,15.832,15.9189,758,0
2017-06-29,15.87,15.87,15.87,15.87,600,0
2017-06-30,16.13,16.13,16.13,16.13,124,0
2017-07-05,16.0799,16.0799,16.0799,16.0799,500,0
2017-07-11,15.87,15.87,15.87,15.87,571,0
2017-07-17,16.11,16.11,16.086,16.11,3468,0
2017-07-18,15.92,15.92,15.92,15.92,545,0
2017-07-24,16.14,16.16,16.14,16.16,5428,0
2017-07-26,16.02,16.02,16,16,335,0
2017-07-27,16.13,16.13,16.13,16.13,100,0
2017-07-31,16.15,16.15,16.15,16.15,560,0
2017-08-09,16.3,16.3,16.3,16.3,100,0
2017-08-14,16.27,16.27,16.27,16.27,200,0
2017-08-15,16.42,16.42,16.2479,16.2479,440,0
2017-08-17,16.1899,16.19,16.1405,16.1405,800,0
2017-08-18,15.88,15.88,15.88,15.88,150,0
2017-08-22,15.93,15.93,15.92,15.93,2461,0
2017-08-23,15.8,15.9099,15.8,15.9099,388,0
2017-08-24,15.93,15.94,15.9141,15.94,1651,0
2017-08-28,15.8499,15.85,15.8499,15.85,300,0
2017-08-29,15.6767,15.6845,15.6767,15.6845,393,0
2017-08-31,15.9199,15.9199,15.9199,15.9199,162,0
2017-09-06,15.9,15.91,15.9,15.91,1170,0
2017-09-07,16,16,15.95,15.951,2600,0
2017-09-12,16.08,16.19,16.08,16.19,259,0
2017-09-15,16.26,16.26,16.26,16.26,200,0
2017-09-18,16.32,16.32,16.18,16.18,282,0
2017-09-21,16.0999,16.1,16.0999,16.1,2060,0
2017-09-25,16.01,16.01,15.9001,15.9001,465,0
2017-09-26,16.02,16.02,16.02,16.02,299,0
2017-09-27,16.1,16.1,16.1,16.1,350,0
2017-09-29,16.05,16.05,16.05,16.05,100,0
2017-10-02,16.09,16.09,15.98,15.98,755,0
2017-10-11,16.26,16.26,16.26,16.26,120,0
2017-10-13,16.2399,16.2399,16.2399,16.2399,165,0
2017-10-19,16.1,16.1,16.1,16.1,158,0
2017-10-25,16.229,16.229,16.229,16.229,345,0
2017-10-31,16.27,16.33,16.27,16.33,6968,0
2017-11-07,15.9844,15.9844,15.9844,15.9844,255,0
