Date,Open,High,Low,Close,Volume,OpenInt
2017-08-11,0.24,0.24,0.23,0.24,564600,0
2017-08-16,0.24,0.24,0.23,0.23,235950,0
2017-08-22,0.23,0.25,0.23,0.25,32000,0
2017-08-23,0.25,0.25,0.25,0.25,22000,0
2017-08-24,0.26,0.26,0.26,0.26,100,0
2017-08-29,0.25,0.25,0.25,0.25,23400,0
2017-09-01,0.24,0.24,0.24,0.24,9000,0
2017-09-05,0.23,0.25,0.23,0.25,271600,0
2017-09-06,0.26,0.26,0.26,0.26,25000,0
2017-09-08,0.3,0.3,0.25,0.27,31300,0
2017-09-11,0.24,0.24,0.24,0.24,9000,0
2017-09-13,0.25,0.25,0.25,0.25,25000,0
2017-09-18,0.25,0.25,0.25,0.25,455100,0
2017-09-22,0.25,0.25,0.25,0.25,4900,0
2017-09-25,0.25,0.25,0.25,0.25,4100,0
2017-09-27,0.25,0.25,0.24,0.24,110000,0
2017-09-28,0.23,0.24,0.23,0.24,200200,0
2017-10-02,0.23,0.2305,0.23,0.2305,35000,0
2017-10-05,0.23,0.23,0.23,0.23,10000,0
2017-10-13,0.229,0.23,0.229,0.23,15000,0
2017-10-16,0.21,0.23,0.2,0.2,73800,0
2017-10-17,0.21,0.21,0.21,0.21,10000,0
2017-10-18,0.21,0.21,0.21,0.21,39800,0
2017-10-23,0.22,0.22,0.22,0.22,100,0
2017-10-25,0.23,0.23,0.23,0.23,4100,0
2017-10-30,0.21,0.23,0.21,0.23,50300,0
2017-10-31,0.23,0.23,0.23,0.23,68000,0
2017-11-03,0.23,0.23,0.2,0.23,47200,0
2017-11-06,0.2055,0.2105,0.201,0.2011,64400,0
2017-11-07,0.201,0.201,0.2,0.2,50000,0
2017-11-08,0.2,0.23,0.2,0.21,44200,0
2017-11-09,0.21,0.21,0.21,0.21,35400,0
2017-11-10,0.21,0.25,0.2,0.2,26000,0
