Date,Open,High,Low,Close,Volume,OpenInt
2016-09-07,15,15.1,15,15.1,600,0
2016-09-08,14.54,14.54,14.5,14.5,500,0
2016-09-09,17.6,17.6,15.84,15.84,515,0
2016-09-13,14.05,14.05,11.6,11.8,5665,0
2016-09-14,11.5,11.5,9.75,9.75,1725,0
2016-09-15,11.25,12.5,11.25,12.26,3330,0
2016-09-16,12,12,11.005,11.01,13882,0
2016-09-19,11.01,11.2,11.01,11.0201,3277,0
2016-09-20,11.1,11.442,11.0999,11.25,8146,0
2016-09-21,11.7,11.7,11,11,3200,0
2016-09-22,11,11.16,11,11.12,800,0
2016-09-23,11.5499,12,11.5499,12,1170,0
2016-09-26,12,12,11.8,11.8,700,0
2016-09-27,11.99,11.99,11.4224,11.6968,599,0
2016-09-28,11.69,16,11.6425,16,8041,0
2016-09-29,12.71,13.5,12,13.269,19150,0
2016-09-30,13.26,13.5,13.26,13.3,300,0
2016-10-03,13.25,13.62,12.7788,13.2,4900,0
2016-10-04,14,14,13.609,13.8,10656,0
2016-10-05,14,16.25,13.7076,15.0388,33115,0
2016-10-06,14.5178,14.8,14.5,14.8,12400,0
2016-10-07,14.25,15.02,14.25,14.5,7275,0
2016-10-10,14.2136,14.6,14.1483,14.6,17134,0
2016-10-11,14.01,14.2,14,14.2,13850,0
2016-10-12,14,14.15,13.8878,14.1,7300,0
2016-10-13,14.1,14.2,14.0862,14.2,10066,0
2016-10-14,14.1,14.2,14,14.2,8537,0
2016-10-17,14.03,14.08,14.03,14.08,1425,0
2016-10-18,14.19,14.4,14.1184,14.4,15393,0
2016-10-19,15.1999,15.2,14.5125,15,12700,0
2016-10-20,14.93,15,14.74,14.74,2900,0
2016-10-21,14.89,14.89,14,14.2,10600,0
2016-10-24,14.5471,14.75,14.5471,14.61,450,0
2016-10-25,14.53,14.53,14.5,14.5,6051,0
2016-10-27,13.66,13.73,13.5,13.73,9502,0
2016-10-28,13.8412,13.8596,13.4,13.8596,950,0
2016-11-01,13.25,13.5,13.25,13.5,1577,0
2016-11-02,13.25,13.35,11.7,12.75,2399,0
2016-11-03,14.03,15,13.51,13.51,1950,0
2016-11-04,14.75,14.75,13.28,13.5,3505,0
2016-11-07,12.06,12.65,12.0499,12.6,4035,0
2016-11-08,13,13.42,12.55,13,3300,0
2016-11-09,12.7327,12.7327,12.7327,12.7327,450,0
2016-11-11,12.08,12.464,10.52,11.56,25801,0
2016-11-14,11.78,11.8864,11.07,11.5814,20149,0
2016-11-15,12.24,12.3599,11.9501,12.189,6217,0
2016-11-16,11.96,11.96,11.899,11.899,2500,0
2016-11-17,11.76,12.1,11.74,11.81,2900,0
2016-11-18,12.3322,12.5,11.8201,12.5,6941,0
2016-11-21,12.6691,13.5,12.05,12.71,16196,0
2016-11-22,13.4,13.7499,13.4,13.4148,5110,0
2016-11-23,13.88,13.88,13.88,13.88,100,0
2016-11-29,13.95,13.95,13.5157,13.5157,9819,0
2016-11-30,13.9,14.27,13.9,14.2499,17487,0
2016-12-01,15.28,15.28,15.046,15.046,2735,0
2016-12-02,15,15,14.5,14.5,3803,0
2016-12-05,14.53,14.7792,14.51,14.73,6200,0
2016-12-06,14.8,14.8,14.5,14.5218,2715,0
2016-12-07,14.5,14.51,14.45,14.51,1000,0
2016-12-08,13.6,14.908,13.6,14.5101,400,0
2016-12-09,14.8,15.45,14.625,15.25,14177,0
2016-12-12,15.78,15.78,15.4158,15.5,1435,0
2016-12-13,15.2045,15.95,15.2045,15.8237,2600,0
2016-12-14,15.75,15.7837,15.75,15.76,8167,0
2016-12-15,15.04,15.5,14.68,14.9999,10849,0
2016-12-16,15.4,15.4,15.4,15.4,1510,0
2016-12-19,15.028,15.3999,15,15.3999,1520,0
2016-12-20,14.65,15.0289,14.65,15.0289,450,0
2016-12-21,15.0778,15.0778,15.0778,15.0778,1000,0
2016-12-22,14.7955,14.7992,14.75,14.75,2122,0
2016-12-23,14.76,15.1,14.75,15,20320,0
2016-12-27,15,15.01,15,15.01,1400,0
2016-12-28,15.01,15.5,15.01,15.1,5735,0
2016-12-29,15.7,15.7,15.7,15.7,509,0
2016-12-30,15.95,15.95,15.915,15.92,1125,0
2017-01-03,17.1,17.1,16.0661,16.11,1950,0
2017-01-04,17.25,17.25,16.12,16.45,3527,0
2017-01-05,17.3,17.3,16.7,16.7,3291,0
2017-01-06,17.03,17.24,16.504,17.055,3668,0
2017-01-09,17.99,17.99,17.99,17.99,215,0
2017-01-10,17.1101,17.25,16.625,17,5543,0
2017-01-11,17.34,17.4,17.34,17.3999,3660,0
2017-01-13,17.25,17.5741,17.1674,17.5741,6738,0
2017-01-17,17.49,17.49,17,17.4727,17506,0
2017-01-18,17.3018,17.3018,16.5,16.6125,4210,0
2017-01-19,17,17.0265,16.5814,16.5814,1689,0
2017-01-20,17.15,17.15,17.15,17.15,370,0
2017-01-23,17.15,17.34,16.5001,16.51,9234,0
2017-01-24,16.51,16.9999,16.51,16.9999,2369,0
2017-01-25,16.65,16.8835,16.5001,16.8835,1446,0
2017-01-26,16.7674,16.7674,16.5,16.75,620,0
2017-01-27,17,17,15.8096,16,14703,0
2017-01-30,16,16,14.7465,15.4786,4050,0
2017-01-31,15.3,15.3,12.54,14,40009,0
2017-02-01,13.49,13.5,12.5,12.775,26660,0
2017-02-02,12.99,12.99,12.55,12.55,31017,0
2017-02-03,12.5,12.5,10.8,12.01,25956,0
2017-02-06,12.25,12.25,11.7555,11.9999,14498,0
2017-02-07,12.385,12.76,11.69,11.69,15113,0
2017-02-08,11.7,12.4199,11.7,11.83,32377,0
2017-02-09,11.9999,12.05,11.83,11.9,22617,0
2017-02-10,12.49,12.49,12.05,12.08,6893,0
2017-02-13,12.5,12.5,10.82,11.59,16244,0
2017-02-14,11.5,12,10.8321,11.81,4949,0
2017-02-15,11.83,12.35,11.79,11.8,3762,0
