Date,Open,High,Low,Close,Volume,OpenInt
2017-03-13,7.2,9,7,8.35,94480,0
2017-03-14,8.5,8.5,8.3766,8.3995,11457,0
2017-03-15,8.25,8.3636,8.2,8.2403,16904,0
2017-03-16,8.2991,8.2991,7.7733,7.7733,2774,0
2017-03-17,7.65,8.5,7.6,8.5,9623,0
2017-03-20,8.3499,8.3499,8.1497,8.25,26554,0
2017-03-21,8.5,9.25,8.5,9.2324,198484,0
2017-03-22,9.62,9.62,8.9001,9.2,52669,0
2017-03-23,10,10,9.25,9.49,65523,0
2017-03-24,9.5,11.5,9.5,10.05,186847,0
2017-03-27,10.5,10.85,10.2,10.7,142364,0
2017-03-28,10.6,12.5,10.6,12.48,192064,0
2017-03-29,14,14,12.604,13,224689,0
2017-03-30,13.24,13.24,12.6,12.85,113770,0
2017-03-31,12.9947,13.05,12.5501,12.84,64609,0
2017-04-03,12.9,12.9,10.69,11.3,158391,0
2017-04-04,11.3,11.3,10.6,10.81,87235,0
2017-04-05,10.5,10.5521,9.95,10.07,168223,0
2017-04-06,10.01,10.78,9.6,10.67,107058,0
2017-04-07,10.16,10.75,10.1,10.4,47493,0
2017-04-10,10.21,10.3,10.06,10.19,26591,0
2017-04-11,10.13,11.04,9.8716,10.9,133265,0
2017-04-12,10.9,12.25,10.9,11.86,97861,0
2017-04-13,13.01,13.01,11.4096,12.39,33691,0
2017-04-17,11.43,11.99,11.4,11.53,47768,0
2017-04-18,11.8,11.8,11.05,11.64,25604,0
2017-04-19,11.4,11.4,10.25,10.27,82071,0
2017-04-20,10.73,10.73,10.05,10.36,77094,0
2017-04-21,10.61,10.83,10.12,10.19,44801,0
2017-04-24,10.44,10.73,10.2189,10.45,35250,0
2017-04-25,10.4,10.5,10.3,10.3,39045,0
2017-04-26,10.5,10.7,10.3014,10.4,37526,0
2017-04-27,10.3,10.605,10,10.2,46409,0
2017-04-28,10.06,10.18,9.8,9.86,46955,0
2017-05-01,9.98,9.98,9.45,9.73,45631,0
2017-05-02,9.57,9.99,9.57,9.79,23875,0
2017-05-03,10,10,9.5,9.62,36682,0
2017-05-04,9.78,9.78,9.33,9.6,71657,0
2017-05-05,9.45,9.8,9.45,9.675,16567,0
2017-05-08,9.74,9.755,9.55,9.61,23569,0
2017-05-09,9.68,9.82,9.4,9.6,58861,0
2017-05-10,9.684,9.98,9.5,9.87,71781,0
2017-05-11,10.16,10.2,9.75,10.1,54646,0
2017-05-12,10.1,10.1,9.93,10.1,32400,0
2017-05-15,10.1,10.1,9.82,10.03,18539,0
2017-05-16,10.39,10.39,9.91,9.95,33135,0
2017-05-17,10.05,10.1,9.92,10,16710,0
2017-05-18,10,10,9.82,9.99,34662,0
2017-05-19,9.82,10.45,9.82,10.4,32524,0
2017-05-22,10.48,10.5,9.86,10.02,38978,0
2017-05-23,9.92,10,9.85,9.98,20088,0
2017-05-24,10.06,10.24,9.86,9.95,23955,0
2017-05-25,9.81,10.24,9.81,10.05,46427,0
2017-05-26,9.74,10.05,9.73,9.89,24348,0
2017-05-30,10.8,10.8,9.7,9.85,21196,0
2017-05-31,9.85,10.1,9.85,10.05,33657,0
2017-06-01,9.87,10,9.62,9.65,26753,0
2017-06-02,9.96,10.0601,8.65,9.1,347155,0
2017-06-05,9.36,9.75,9.01,9.23,86844,0
2017-06-06,9.4,9.4,9,9.24,51154,0
2017-06-07,9.4,9.4,9,9.15,116349,0
2017-06-08,9.03,10.2,9.02,10.2,78009,0
2017-06-09,10.2,10.2,9.85,9.99,63075,0
2017-06-12,10,10.19,9.925,9.96,85510,0
2017-06-13,9.91,10.18,9.91,9.94,82190,0
2017-06-14,9.91,9.98,9.11,9.26,143668,0
2017-06-15,9.47,9.48,8.85,8.97,164368,0
2017-06-16,9,9.29,8.85,9.11,480492,0
2017-06-19,9.34,9.36,8.5,8.51,76546,0
2017-06-20,8.6,8.7399,8.35,8.41,141517,0
2017-06-21,8.5,8.83,8.38,8.81,50086,0
2017-06-22,8.71,9.2,8.68,8.72,98372,0
2017-06-23,8.8,9.24,8.8,9.2,924794,0
2017-06-26,9.51,9.78,8.88,8.9,63227,0
2017-06-27,8.91,9.15,8.8,8.86,46408,0
2017-06-28,8.87,9.1,8.71,8.89,61237,0
2017-06-29,8.96,9.1399,8.7,9.02,85839,0
2017-06-30,9,9,8.7,8.74,41609,0
2017-07-03,8.74,8.77,8.35,8.37,52609,0
2017-07-05,8.37,8.6,8.35,8.57,53789,0
2017-07-06,8.57,8.66,8.45,8.54,57927,0
2017-07-07,8.5,8.6,8.35,8.6,23225,0
2017-07-10,8.6,8.64,8.35,8.48,32702,0
2017-07-11,8.48,8.5,8.23,8.29,56250,0
2017-07-12,8.36,8.5,8.09,8.12,23537,0
2017-07-13,8.14,8.16,7.39,7.42,79399,0
2017-07-14,7.5,7.67,7.44,7.4484,99913,0
2017-07-17,7.5,7.53,6.86,6.9,93066,0
2017-07-18,7,8.03,7,7.84,320373,0
2017-07-19,7.99,8.21,7.66,7.8,67895,0
2017-07-20,7.65,7.8,7.36,7.69,84367,0
2017-07-21,7.83,7.83,7.13,7.18,61906,0
2017-07-24,7.2,7.49,7.2,7.34,48933,0
2017-07-25,7.3,7.33,6.86,6.96,78344,0
2017-07-26,6.9,7.25,6.9,6.94,76481,0
2017-07-27,6.96,6.9999,6.52,6.61,51593,0
2017-07-28,6.53,6.98,6.5,6.9,41403,0
2017-07-31,7,7.0744,6.72,6.94,96060,0
2017-08-01,6.92,6.92,6.55,6.69,83065,0
2017-08-02,6.78,6.78,6.31,6.66,115591,0
2017-08-03,6.7,6.96,6.45,6.49,75913,0
