Date,Open,High,Low,Close,Volume,OpenInt
2017-07-20,19.275,19.492,19.03,19.256,5791252,0
2017-07-21,19.216,19.492,19.128,19.344,725322,0
2017-07-24,19.285,19.433,19.236,19.423,745603,0
2017-07-25,19.364,19.511,19.256,19.275,498503,0
2017-07-26,19.334,19.492,19.197,19.423,1210540,0
2017-07-27,19.384,19.444,19.374,19.433,213478,0
2017-07-28,19.325,19.502,19.325,19.502,220510,0
2017-07-31,19.502,19.659,19.423,19.57,165685,0
2017-08-01,19.521,19.637,19.521,19.57,108353,0
2017-08-02,19.57,19.659,19.325,19.561,172435,0
2017-08-03,19.57,19.63,19.57,19.62,228573,0
2017-08-04,19.57,19.669,19.433,19.649,164285,0
2017-08-07,19.58,19.669,19.334,19.551,232182,0
2017-08-08,19.62,19.62,19.325,19.561,115025,0
2017-08-09,19.521,19.58,19.423,19.521,130923,0
2017-08-10,19.482,19.57,19.374,19.502,185112,0
2017-08-11,19.521,19.561,19.472,19.521,63963,0
2017-08-14,19.659,19.659,19.367,19.541,122977,0
2017-08-15,19.62,19.62,19.354,19.502,169604,0
2017-08-16,19.551,19.57,19.275,19.344,98636,0
2017-08-17,19.374,19.423,19.098,19.177,209950,0
2017-08-18,19.187,19.305,19.108,19.187,175889,0
2017-08-21,19.197,19.207,18.4,18.774,193318,0
2017-08-22,18.725,19.084,18.656,18.902,257963,0
2017-08-23,18.853,19.128,18.853,18.921,157535,0
2017-08-24,18.823,19.325,18.823,19.187,151442,0
2017-08-25,19.305,19.57,19.285,19.423,127616,0
2017-08-28,19.393,19.57,19.325,19.502,131063,0
2017-08-29,19.334,19.58,19.334,19.57,56210,0
2017-08-30,19.58,19.669,19.502,19.61,88873,0
2017-08-31,19.57,20.131,19.551,19.895,239335,0
2017-09-01,19.954,20.161,19.856,20.052,159825,0
2017-09-05,20.052,20.357,19.824,20.131,217480,0
2017-09-06,20.141,20.167,19.777,19.934,154246,0
2017-09-07,19.915,20.151,19.856,19.974,82085,0
2017-09-08,19.964,20.151,19.944,20.043,83211,0
2017-09-11,20.072,20.102,19.905,20.062,101284,0
2017-09-12,20.161,20.161,19.984,20.062,144422,0
2017-09-13,20.023,20.097,19.767,19.846,183813,0
2017-09-14,19.718,19.964,19.433,19.649,139019,0
2017-09-15,19.718,19.787,19.226,19.226,1657131,0
2017-09-18,19.197,19.452,19.098,19.187,163904,0
2017-09-19,19.246,19.57,19.246,19.403,98491,0
2017-09-20,19.423,19.511,19.187,19.393,75910,0
2017-09-21,19.374,19.59,19.216,19.236,122810,0
2017-09-22,19.187,19.443,19.187,19.305,61937,0
2017-09-25,19.365,19.482,19.236,19.305,52540,0
2017-09-26,19.295,19.384,19.049,19.128,100175,0
2017-09-27,19.138,19.438,19.089,19.374,167441,0
2017-09-28,19.344,19.639,19.098,19.492,136993,0
2017-09-29,19.462,19.605,19.275,19.443,121319,0
2017-10-02,19.482,19.669,19.462,19.62,58861,0
2017-10-03,19.61,19.777,19.443,19.777,73982,0
2017-10-04,19.767,19.767,19.482,19.6,48130,0
2017-10-05,19.55,19.855,19.48,19.77,84895,0
2017-10-06,20,20.075,19.75,19.79,101319,0
2017-10-09,19.79,19.88,19.76,19.84,32579,0
2017-10-10,19.82,19.98,19.5,19.67,175561,0
2017-10-11,19.74,19.88,19.66,19.87,39803,0
2017-10-12,19.85,19.88,19.59,19.86,32756,0
2017-10-13,19.83,19.91,19.71,19.88,33342,0
2017-10-16,19.88,19.9688,19.81,19.88,36419,0
2017-10-17,19.89,19.91,19.68,19.71,59505,0
2017-10-18,19.71,19.8123,19.53,19.59,75982,0
2017-10-19,19.49,19.51,19.2,19.42,119018,0
2017-10-20,19.34,19.6,19.27,19.33,82595,0
2017-10-23,19.26,19.45,19.195,19.26,98655,0
2017-10-24,19.26,19.43,19.22,19.4,67873,0
2017-10-25,19.3,19.5301,19.29,19.47,63924,0
2017-10-26,19.53,19.53,19.14,19.15,80078,0
2017-10-27,19.33,19.43,19.17,19.31,65927,0
2017-10-30,19.3508,19.45,19.23,19.25,38268,0
2017-10-31,19.4,19.58,19.3,19.52,54696,0
2017-11-01,19.47,19.62,19.27,19.5,37441,0
2017-11-02,19.4453,19.5901,19.36,19.53,39082,0
2017-11-03,19.4025,19.45,19.4,19.44,52762,0
2017-11-06,19.38,19.49,19.26,19.33,35652,0
2017-11-07,19.17,19.54,19.17,19.28,47311,0
2017-11-08,19.26,19.5401,19.21,19.38,59167,0
2017-11-09,19.3,19.41,19.22,19.32,34719,0
2017-11-10,19.27,19.57,19.19,19.27,35243,0
