Date,Open,High,Low,Close,Volume,OpenInt
2016-07-19,12.227,13.6,11.7501,12,47669,0
2016-07-20,11.99,12,11.1501,11.8,93067,0
2016-07-21,11.8,12,11.6201,11.75,158098,0
2016-07-22,11.65,11.82,11.45,11.6,28511,0
2016-07-25,11,11.65,11,11.54,13833,0
2016-07-26,11.7,11.7,11.53,11.53,10134,0
2016-07-27,11.75,12,11.55,11.55,46815,0
2016-07-28,11.4,11.6,11.4,11.5,168451,0
2016-07-29,11.5821,11.75,11.4001,11.65,31626,0
2016-08-01,11.42,11.9,10.67,11.75,44549,0
2016-08-02,11.5,11.54,11.22,11.3,47479,0
2016-08-03,11.05,11.3999,11.05,11.07,20324,0
2016-08-04,11.02,11.25,10.75,10.75,153401,0
2016-08-05,10.65,10.85,10.09,10.7389,31493,0
2016-08-08,10.01,10.25,9.92,10.19,68991,0
2016-08-09,10.21,10.4237,9.5,9.81,324472,0
2016-08-10,10.1,10.34,9.95,10.05,86058,0
2016-08-11,10,10.5,10,10.32,121260,0
2016-08-12,10.5,11.01,10.49,10.65,826247,0
2016-08-15,10.6001,10.74,10.5001,10.54,67130,0
2016-08-16,10.55,10.55,8.23,8.5,458752,0
2016-08-17,8.95,8.95,7.1,7.11,518766,0
2016-08-18,7.11,7.11,5.99,6.2,504935,0
2016-08-19,6.32,6.32,5.68,5.94,332807,0
2016-08-22,6.06,6.06,5.73,5.82,137627,0
2016-08-23,5.95,5.95,5.55,5.66,292079,0
2016-08-24,5.77,6.11,5.67,5.95,427306,0
2016-08-25,6.05,6.24,5.9,6.17,1148564,0
2016-08-26,6.18,6.2,6,6.1,156800,0
2016-08-29,6.01,6.12,6.01,6.1,206664,0
2016-08-30,6.1,6.13,6.05,6.09,115050,0
2016-08-31,6.14,6.35,6.1,6.31,454060,0
2016-09-01,6.26,6.5398,6.15,6.41,114033,0
2016-09-02,6.33,7.16,6.32,7.09,165361,0
2016-09-06,7.15,7.85,7.12,7.79,469079,0
2016-09-07,7.76,8.1245,7.65,7.94,346361,0
2016-09-08,7.66,7.98,7.66,7.8,199827,0
2016-09-09,7.83,7.98,7.55,7.62,201095,0
2016-09-12,7.53,7.75,7.2,7.63,259856,0
2016-09-13,7.86,7.86,7.35,7.49,170294,0
2016-09-14,7.25,7.55,6.89,7.4,352653,0
2016-09-15,7.4,7.44,7.18,7.2,307517,0
2016-09-16,7.14,7.32,6.52,6.87,1298917,0
2016-09-19,6.87,7.2058,6.87,6.96,286387,0
2016-09-20,6.91,7.1,6.8,6.98,61467,0
2016-09-21,6.93,7.18,6.75,6.85,253514,0
2016-09-22,6.92,7,6.75,6.91,905104,0
2016-09-23,6.798,6.96,6.665,6.79,33721,0
2016-09-26,6.79,6.89,6.75,6.82,28637,0
2016-09-27,6.78,6.8,6.61,6.63,185255,0
2016-09-28,6.58,6.76,6.54,6.68,118340,0
2016-09-29,6.64,6.71,6.42,6.53,87582,0
2016-09-30,6.53,6.57,6.24,6.45,50138,0
2016-10-03,6.63,6.84,6.35,6.7,88402,0
2016-10-04,6.65,6.92,6.36,6.49,48487,0
2016-10-05,6.55,6.87,6.31,6.59,120436,0
2016-10-06,6.55,6.68,6.35,6.42,116193,0
2016-10-07,6.49,6.49,6.1,6.23,33031,0
2016-10-10,6.23,6.44,6.02,6.39,87240,0
2016-10-11,6.3,6.44,6.18,6.29,121700,0
2016-10-12,6.26,6.32,6.04,6.08,103743,0
2016-10-13,6.2,6.2,6.02,6.12,154189,0
2016-10-14,6.11,6.35,6.07,6.09,205511,0
2016-10-17,6.0301,6.305,6,6.18,80381,0
2016-10-18,6.15,6.38,6.08,6.31,80978,0
2016-10-19,6.33,6.51,6.14,6.36,81901,0
2016-10-20,6.5,6.56,6.22,6.25,91211,0
2016-10-21,6.2,6.49,6.15,6.23,107260,0
2016-10-24,6.31,6.31,5.83,6,90206,0
2016-10-25,6.01,6.17,5.96,6.01,57700,0
