Date,Open,High,Low,Close,Volume,OpenInt
2015-04-16,20.5,20.84,20.07,20.7,19374531,0
2015-04-17,20.69,22.14,20.27,21.57,2661100,0
2015-04-20,21.8,21.9,20.87,21.25,925521,0
2015-04-21,21.07,21.18,20.24,20.87,1040586,0
2015-04-22,20.88,21.25,20.43,20.65,980474,0
2015-04-23,20.68,21.25,20.65,21.05,455200,0
2015-04-24,21,21.19,20.95,21.03,493000,0
2015-04-27,21.05,21.45,20.94,21.37,582000,0
2015-04-28,21.37,21.5,20.56,21.34,590600,0
2015-04-29,21.04,21.36,20.75,20.8,541900,0
2015-04-30,20.75,20.98,20.5,20.79,478400,0
2015-05-01,20.56,21.3,20.56,21.05,369700,0
2015-05-04,20.98,21.55,20.98,21.28,535200,0
2015-05-05,21.28,21.49,21.01,21.16,294800,0
2015-05-06,21.16,21.29,20.66,21.01,347891,0
2015-05-07,20.76,21.26,20.76,21.24,282943,0
2015-05-08,21.27,21.27,21.11,21.21,164900,0
2015-05-11,21.03,21.35,21.01,21.25,328900,0
2015-05-12,21.34,21.34,20.94,20.97,509615,0
2015-05-13,21.07,22.6,20.88,21.76,980800,0
2015-05-14,21.96,22.46,21.4,21.75,983400,0
2015-05-15,21.64,22.12,20.65,22.06,1305509,0
2015-05-18,21.91,22.03,21.65,21.83,551964,0
2015-05-19,21.81,22.33,21.81,22.05,390100,0
2015-05-20,22.11,22.29,21.42,21.54,351700,0
2015-05-21,21.29,22,21.29,21.85,305200,0
2015-05-22,21.94,22.46,21.72,21.8,311700,0
2015-05-26,22.05,22.18,21.5,21.58,898413,0
2015-05-27,21.79,22,21.52,21.68,381900,0
2015-05-28,22,22,21.12,21.34,377095,0
2015-05-29,21.59,21.83,21.31,21.75,316200,0
2015-06-01,21.9,21.94,21.34,21.52,275200,0
2015-06-02,21.61,21.85,21.38,21.51,287315,0
2015-06-03,21.46,21.69,21.45,21.55,314200,0
2015-06-04,21.53,21.75,21.42,21.59,212500,0
2015-06-05,21.52,21.77,21.49,21.55,260500,0
2015-06-08,21.55,21.79,21.47,21.52,234400,0
2015-06-09,21.54,21.69,21.44,21.49,303887,0
2015-06-10,21.41,21.85,21.33,21.63,295940,0
2015-06-11,21.58,21.79,21.52,21.73,437375,0
2015-06-12,21.79,21.95,21.53,21.93,309600,0
2015-06-15,21.84,22.1,21.6,21.82,402300,0
