Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,28.655,28.716,28.051,28.458,16144,0
2005-02-28,28.474,28.851,28.414,28.693,16065,0
2005-03-01,28.837,28.972,28.746,28.972,14818,0
2005-03-02,28.821,28.821,28.384,28.535,11822,0
2005-03-03,28.633,28.655,28.458,28.549,7302,0
2005-03-04,28.67,28.753,28.602,28.746,11373,0
2005-03-07,28.783,28.905,28.602,28.851,11359,0
2005-03-08,28.753,28.76,28.504,28.602,9542,0
2005-03-09,28.851,28.897,28.76,28.837,7886,0
2005-03-10,28.746,28.753,28.353,28.504,8694,0
2005-03-11,28.753,29.002,28.716,28.731,10722,0
2005-03-14,28.851,29.123,28.791,29.123,18490,0
2005-03-15,28.565,28.565,27.682,27.69,27370,0
2005-03-16,27.75,27.833,27.29,27.351,16581,0
2005-03-17,27.395,27.501,27.237,27.364,29980,0
2005-03-18,27.395,27.539,27.305,27.357,9198,0
2005-03-21,27.32,27.448,27.29,27.41,7184,0
2005-03-22,27.351,27.41,27.078,27.078,9609,0
2005-03-23,26.943,26.943,26.543,26.543,14738,0
2005-03-24,26.595,26.626,26.46,26.482,4599,0
2005-03-28,26.731,26.928,26.693,26.754,6482,0
2005-03-29,26.264,26.264,25.69,25.72,27835,0
2005-03-30,25.878,26.022,25.759,25.94,23288,0
2005-03-31,26.445,26.572,26.339,26.489,11902,0
2005-04-01,27.093,27.351,27.056,27.109,7780,0
2005-04-04,26.943,27.32,26.882,27.29,5076,0
2005-04-05,27.237,27.546,27.237,27.448,8204,0
2005-04-06,27.599,27.999,27.56,27.833,11875,0
2005-04-07,27.939,28.051,27.878,28.051,9609,0
2005-04-08,27.961,27.968,27.682,27.841,35787,0
2005-04-11,27.629,27.667,27.147,27.169,9609,0
2005-04-12,26.943,27.147,26.724,27.101,9093,0
2005-04-13,27.245,27.486,27.176,27.336,10895,0
2005-04-14,26.935,26.935,25.795,26.143,17655,0
2005-04-15,25.69,25.856,25.539,25.751,19338,0
2005-04-18,24.943,25.434,24.935,25.312,28125,0
2005-04-19,25.328,25.72,25.268,25.584,7091,0
2005-04-20,25.69,25.878,25.614,25.614,10537,0
2005-04-21,25.69,26.09,25.69,25.886,12021,0
2005-04-22,25.886,25.991,25.6,25.788,31889,0
2005-04-25,26.445,26.52,26.241,26.391,14738,0
2005-04-26,26.543,26.543,26.037,26.037,6799,0
2005-04-27,25.94,25.947,25.539,25.72,3140,0
2005-04-28,25.539,25.539,25.184,25.184,8907,0
2005-04-29,25.011,25.282,25.011,25.147,20398,0
2005-05-02,25.207,25.388,25.147,25.282,14050,0
2005-05-03,25.184,25.215,25.086,25.132,9291,0
2005-05-04,25.388,26.06,25.366,26.037,14845,0
2005-05-05,26.241,26.241,25.81,25.962,4228,0
2005-05-06,26.098,26.294,26.06,26.234,7556,0
2005-05-09,26.15,26.172,25.886,26.128,4281,0
2005-05-10,25.878,25.969,25.78,25.788,7541,0
2005-05-11,25.637,25.637,25.335,25.629,3698,0
2005-05-12,25.607,25.69,25.335,25.335,4613,0
2005-05-13,25.486,25.705,25.403,25.493,5753,0
2005-05-16,25.637,26.037,25.577,26.03,5951,0
2005-05-17,26.09,26.188,25.81,25.878,3738,0
2005-05-18,25.886,26.46,25.886,26.339,6030,0
2005-05-19,26.543,26.641,26.489,26.641,6548,0
2005-05-20,26.844,26.905,26.453,26.67,2213,0
2005-05-23,26.543,26.747,26.482,26.543,3698,0
2005-05-24,26.543,26.641,26.362,26.422,5408,0
2005-05-25,26.391,26.391,26.143,26.241,2306,0
2005-05-26,26.241,26.354,26.143,26.309,5513,0
2005-05-27,26.641,26.844,26.572,26.724,11186,0
2005-05-31,26.844,26.905,26.595,26.852,7091,0
2005-06-01,26.837,26.928,26.754,26.837,3539,0
2005-06-02,26.837,27.093,26.693,27.025,4083,0
2005-06-03,26.943,27.124,26.866,26.882,4958,0
2005-06-06,26.905,27.093,26.905,27.093,5036,0
2005-06-07,26.996,27.063,26.897,27.018,4240,0
2005-06-08,26.844,27.147,26.784,26.882,5725,0
2005-06-09,27.048,27.116,26.943,27.048,4506,0
2005-06-10,27.155,27.29,27.086,27.29,11425,0
