Date,Open,High,Low,Close,Volume,OpenInt
2005-03-01,21.957,21.957,21.957,21.957,312,0
2005-03-02,21.618,21.638,21.483,21.638,2961,0
2005-03-03,21.775,21.966,21.775,21.966,929,0
2005-03-07,21.511,21.54,21.511,21.54,3801,0
2005-03-09,21.511,21.795,21.511,21.795,3561,0
2005-03-10,21.52,21.52,21.52,21.52,313,0
2005-03-11,21.947,21.947,21.58,21.697,37573,0
2005-03-14,21.511,21.511,21.078,21.078,7277,0
2005-03-15,21.098,21.098,20.873,20.882,852,0
2005-03-16,20.902,21.269,20.902,21.068,6036,0
2005-03-17,20.739,20.739,20.739,20.739,151,0
2005-03-18,21.388,21.388,21.388,21.388,151,0
2005-03-21,20.999,21.52,20.999,21.318,2977,0
2005-03-23,21.019,21.058,20.749,21.058,35718,0
2005-03-28,21.058,21.058,20.749,20.749,464,0
2005-03-30,20.833,20.833,20.612,20.612,623,0
2005-03-31,20.35,20.35,20.087,20.087,2167,0
2005-04-01,20.029,20.029,20.029,20.029,151,0
2005-04-04,20.078,20.078,19.74,19.74,620,0
2005-04-05,19.7,19.836,19.448,19.826,3174,0
2005-04-06,19.826,19.826,19.826,19.826,151,0
2005-04-07,20.543,20.543,20.146,20.224,1700,0
2005-04-08,20.641,20.67,20.417,20.543,2167,0
2005-04-11,20.67,20.67,20.322,20.379,2167,0
2005-04-12,20.67,20.67,20.029,20.322,10529,0
2005-04-13,20.029,20.029,19.924,19.924,4024,0
2005-04-14,20.631,20.631,19.604,19.68,3373,0
2005-04-15,19.429,19.961,19.429,19.961,1098,0
2005-04-18,19.38,19.38,19.38,19.38,620,0
2005-04-20,19.7,19.7,19.7,19.7,151,0
2005-04-21,19.7,19.7,19.7,19.7,929,0
2005-04-22,19.641,19.641,19.478,19.478,35599,0
2005-04-25,19.409,19.409,19.38,19.38,620,0
2005-04-26,19.38,19.38,19.38,19.38,464,0
2005-04-27,19.38,19.546,19.38,19.487,14016,0
2005-04-28,19.7,19.7,19.7,19.7,151,0
2005-04-29,19.961,19.961,19.7,19.951,5770,0
2005-05-02,19.961,19.961,19.439,19.961,773,0
2005-05-04,19.856,19.856,19.7,19.7,2564,0
2005-05-06,19.284,19.284,19.002,19.002,1083,0
2005-05-09,19.351,19.38,18.906,18.906,1083,0
2005-05-12,19.284,19.284,19.255,19.255,1394,0
2005-05-13,19.255,19.255,19.255,19.255,312,0
2005-05-16,19.38,19.38,19.37,19.37,1700,0
2005-05-17,19.061,19.119,18.934,19.119,2323,0
2005-05-18,19.216,19.255,18.809,19.042,7297,0
2005-05-20,18.953,18.953,18.422,18.896,2167,0
2005-05-23,18.857,18.992,18.507,18.507,5418,0
2005-05-24,18.412,18.8,18.305,18.8,773,0
2005-05-25,19.36,19.36,18.848,18.848,6338,0
2005-05-26,19.351,19.351,19.351,19.351,151,0
2005-05-27,19.216,19.38,19.216,19.255,1304,0
2005-05-31,19.235,19.313,19.061,19.313,8669,0
2005-06-01,19.119,19.323,19.119,19.323,2475,0
2005-06-02,19.38,19.38,19.187,19.187,5573,0
2005-06-03,19.409,19.526,19.409,19.478,5699,0
2005-06-06,19.546,19.546,19.38,19.546,5573,0
2005-06-07,19.546,19.546,18.962,19.099,4935,0
2005-06-08,19.187,19.506,19.187,19.506,899,0
2005-06-09,19.506,19.536,19.119,19.129,8823,0
2005-06-10,19.448,19.516,19.448,19.516,16156,0
2005-06-13,19.255,19.448,19.255,19.448,2762,0
2005-06-14,19.419,19.429,19.419,19.429,1653,0
2005-06-16,19.38,19.38,19.061,19.099,1324,0
2005-06-17,19.061,19.38,19.002,19.38,2341,0
2005-06-20,19.061,19.099,19.061,19.061,929,0
2005-06-21,18.896,19.38,18.585,19.38,6369,0
2005-06-22,19.235,19.255,19.061,19.061,1263,0
2005-06-23,19.061,19.061,18.896,18.896,885,0
2005-06-24,19.061,19.061,16.977,16.977,65856,0
2005-06-27,18.09,18.673,17.782,18.412,26314,0
2005-06-28,18.732,18.8,18.615,18.615,2475,0
2005-06-29,18.461,18.732,18.247,18.412,10222,0
2005-06-30,18.412,18.412,18.247,18.257,7005,0
2005-07-01,18.412,18.712,18.247,18.712,3147,0
2005-07-05,18.412,19.245,18.412,19.061,8923,0
2005-07-06,18.8,19.061,18.8,19.061,1707,0
2005-07-07,18.944,19.38,18.944,19.38,3099,0
2005-07-08,18.916,19.37,18.732,18.848,9133,0
2005-07-11,18.982,19.022,18.732,18.972,5325,0
2005-07-12,19.061,19.061,18.441,18.703,5371,0
2005-07-13,18.732,18.944,18.585,18.732,4488,0
2005-07-14,18.546,18.782,18.09,18.412,67259,0
2005-07-15,18.555,18.848,18.345,18.848,4041,0
2005-07-18,18.595,18.595,18.488,18.507,1303,0
2005-07-19,18.595,19.052,18.325,18.732,3562,0
2005-07-20,18.479,18.479,18.479,18.479,2555,0
