Date,Open,High,Low,Close,Volume,OpenInt
2016-05-18,20.071,20.071,20.066,20.066,522,0
2016-05-23,20.037,20.037,20.037,20.037,39888,0
2016-05-24,20.123,20.123,20.123,20.123,39774,0
2016-05-25,20.337,20.337,20.337,20.337,39376,0
2016-05-26,20.327,20.337,20.327,20.337,45446,0
2016-05-27,20.337,20.337,20.337,20.337,39320,0
2016-05-31,20.394,20.394,20.394,20.394,39207,0
2016-06-01,20.297,20.307,20.297,20.297,45581,0
2016-06-02,20.317,20.317,20.317,20.317,39376,0
2016-06-03,20.347,20.347,20.347,20.347,39301,0
2016-06-06,20.51,20.51,20.51,20.51,39021,0
2016-06-07,20.617,20.617,20.617,20.617,9803,0
2016-06-08,20.656,20.656,20.656,20.656,9758,0
2016-06-09,20.568,20.568,20.568,20.568,9821,0
2016-06-10,20.347,20.347,20.297,20.297,10190,0
2016-06-13,20.211,20.211,20.211,20.211,10000,0
2016-06-14,20.007,20.007,20.007,20.007,10108,0
2016-06-16,19.882,19.882,19.882,19.882,10150,0
2016-06-17,20.057,20.057,20.057,20.057,10052,0
2016-06-20,20.367,20.367,20.367,20.367,12698,0
2016-06-21,20.357,20.414,20.357,20.414,10949,0
2016-06-22,20.421,20.421,20.421,20.421,9883,0
2016-06-23,20.498,20.498,20.489,20.489,10868,0
2016-06-24,20.072,20.11,19.877,19.877,21193,0
2016-06-27,19.702,19.702,19.636,19.636,20322,0
2016-06-28,19.839,19.839,19.839,19.839,10237,0
2016-06-29,20.072,20.119,20.072,20.119,10182,0
2016-06-30,20.082,20.091,20.082,20.091,10571,0
2016-07-01,20.364,20.364,20.364,20.364,9921,0
2016-07-05,20.198,20.198,20.139,20.188,331317,0
2016-07-06,20.082,20.082,20.082,20.082,82995,0
2016-07-07,20.275,20.275,20.275,20.275,82156,0
2016-07-08,20.344,20.344,20.344,20.344,81811,0
2016-07-11,20.575,20.575,20.575,20.575,16202,0
2016-07-12,20.701,20.701,20.701,20.701,16072,0
2016-07-13,20.731,20.731,20.731,20.731,16072,0
2016-07-14,20.789,20.789,20.777,20.777,17066,0
2016-07-15,20.721,20.721,20.676,20.676,16332,0
2016-07-18,20.701,20.701,20.701,20.701,16004,0
2016-07-19,20.692,20.692,20.692,20.692,16093,0
2016-07-20,20.721,20.721,20.721,20.721,16072,0
2016-07-21,20.769,20.769,20.769,20.769,16012,0
2016-07-22,20.711,20.711,20.711,20.711,16072,0
2016-07-25,20.731,20.731,20.731,20.731,16050,0
2016-07-26,20.731,20.731,20.731,20.731,18199,0
2016-07-27,20.838,20.838,20.838,20.838,15989,0
2016-07-28,20.779,20.779,20.779,20.779,15989,0
2016-07-29,20.915,20.915,20.905,20.915,31934,0
2016-08-01,20.877,20.877,20.877,20.877,516,0
2016-08-04,20.857,20.877,20.818,20.843,10079,0
2016-08-05,20.886,20.935,20.886,20.914,4527,0
2016-08-09,21.051,21.051,21.046,21.046,4022,0
2016-08-10,21.108,21.11,21.035,21.08,11602,0
2016-08-11,21.173,21.177,21.132,21.167,32794,0
2016-08-12,21.177,21.177,21.109,21.109,50556,0
2016-08-15,21.216,21.245,21.216,21.236,3542,0
2016-08-17,21.138,21.138,21.138,21.138,258,0
2016-08-19,21.167,21.167,21.167,21.167,103,0
2016-08-22,21.119,21.177,21.119,21.167,3049,0
2016-08-24,21.202,21.205,21.171,21.197,2167,0
2016-08-30,21.167,21.167,21.08,21.11,1960,0
2016-08-31,21.008,21.008,21.008,21.008,516,0
2016-09-02,21.177,21.187,21.138,21.167,26889,0
2016-09-08,21.324,21.324,21.269,21.269,1340,0
2016-09-19,20.896,20.896,20.896,20.896,103,0
2016-09-27,21.126,21.126,21.126,21.126,463,0
2016-09-30,21.233,21.233,21.232,21.232,719,0
2016-10-05,21.295,21.354,21.295,21.315,463,0
2016-10-06,21.217,21.217,21.217,21.217,213,0
2016-10-07,21.042,21.042,21.042,21.042,199,0
2016-10-11,21.057,21.057,21.057,21.057,205,0
2016-10-12,21.012,21.022,21.012,21.022,2602,0
2016-10-14,21.003,21.003,21.003,21.003,119,0
2016-10-17,20.9,20.9,20.895,20.897,1186,0
2016-10-19,21.12,21.12,21.12,21.12,807,0
2016-10-20,21.09,21.09,21.09,21.09,284,0
2016-10-26,20.944,20.944,20.944,20.944,25663,0
2016-11-11,20.753,20.753,20.721,20.73,2468,0
2016-11-14,20.73,20.73,20.73,20.73,205,0
2016-11-17,20.827,20.827,20.768,20.768,6468,0
2016-11-30,20.925,20.925,20.885,20.885,1929,0
2016-12-12,21.042,21.042,21.042,21.042,514,0
2017-01-04,21.306,21.306,21.306,21.306,254,0
2017-01-05,21.462,21.462,21.462,21.462,179,0
2017-01-10,21.463,21.463,21.434,21.434,695,0
2017-01-17,21.449,21.466,21.449,21.466,1107,0
2017-01-18,21.414,21.422,21.414,21.422,953,0
2017-01-19,21.355,21.355,21.336,21.336,813,0
2017-01-20,21.365,21.393,21.365,21.393,3538,0
2017-01-25,21.573,21.573,21.573,21.573,102,0
2017-02-15,21.83,21.857,21.83,21.857,610,0
2017-02-16,22.162,22.162,21.866,21.866,5910,0
2017-02-22,21.945,21.945,21.935,21.935,636,0
2017-03-01,22.083,22.083,22.083,22.083,183,0
2017-03-08,21.787,21.809,21.787,21.809,1077,0
2017-03-15,21.837,21.837,21.837,21.837,158,0
2017-03-20,21.837,21.837,21.837,21.837,0,0
2017-03-22,21.93,21.93,21.93,21.93,203,0
2017-03-28,22.124,22.124,21.596,22.088,27811,0
2017-03-31,22.109,22.109,22.108,22.108,3571,0
2017-04-04,22.157,22.157,22.144,22.144,672,0
2017-04-10,22.086,22.086,22.086,22.086,105,0
2017-04-20,22.138,22.167,22.138,22.167,203,0
2017-04-25,22.453,22.453,22.453,22.453,12180,0
2017-05-01,22.561,22.561,22.561,22.561,217,0
2017-05-02,22.571,22.571,22.549,22.549,2948,0
2017-05-04,22.512,22.536,22.512,22.536,2652,0
2017-05-05,22.56,22.56,22.551,22.551,2054,0
2017-05-09,22.625,22.625,22.625,22.625,102,0
2017-05-10,22.63,22.63,22.63,22.63,102,0
2017-05-17,22.713,22.713,22.66,22.66,1274,0
2017-05-24,22.827,22.827,22.827,22.827,102,0
2017-05-26,22.857,22.857,22.857,22.857,356,0
2017-06-02,23.063,23.063,23.063,23.063,659,0
2017-06-05,23.043,23.044,23.043,23.044,1084,0
2017-06-06,23,23.005,23,23.005,203,0
2017-06-07,22.955,22.955,22.955,22.955,3248,0
2017-06-09,22.925,22.925,22.857,22.857,3317,0
2017-06-14,23.015,23.015,23.015,23.015,127,0
2017-06-16,22.877,22.896,22.877,22.896,203,0
2017-06-20,22.872,22.872,22.872,22.872,102,0
2017-06-21,22.885,22.885,22.875,22.875,2239,0
2017-06-22,22.985,22.985,22.909,22.909,1511,0
2017-06-23,22.955,22.955,22.926,22.926,544,0
2017-06-26,23.01,23.01,23.01,23.01,128,0
2017-06-27,22.972,22.972,22.964,22.964,1546,0
2017-06-28,22.982,22.982,22.982,22.982,435,0
2017-06-29,22.915,22.915,22.84,22.84,1820,0
2017-06-30,22.97,22.97,22.97,22.97,110,0
2017-07-03,22.96,22.96,22.935,22.935,303,0
2017-07-06,22.806,22.866,22.806,22.866,386,0
2017-07-07,22.806,22.876,22.806,22.876,402,0
2017-07-12,23.124,23.124,23.124,23.124,267,0
2017-07-13,22.945,22.995,22.945,22.995,403,0
2017-07-17,23.21,23.243,23.21,23.213,23055,0
2017-07-18,23.213,23.213,23.213,23.213,0,0
2017-07-19,23.352,23.362,23.339,23.357,6411,0
2017-07-20,23.68,23.68,23.382,23.441,6230,0
2017-07-21,23.367,23.382,23.367,23.372,2057,0
2017-07-24,23.326,23.422,23.326,23.422,4762,0
2017-07-25,23.432,23.432,23.392,23.392,856,0
2017-07-26,23.419,23.441,23.414,23.422,10440,0
2017-07-27,23.461,23.461,23.332,23.392,689,0
2017-07-31,23.422,23.422,23.362,23.382,1205,0
2017-08-01,23.461,23.461,23.461,23.461,755,0
2017-08-02,23.491,23.491,23.441,23.481,730,0
2017-08-03,23.471,23.471,23.441,23.441,245,0
2017-08-04,23.481,23.481,23.445,23.445,1030,0
2017-08-07,23.511,23.511,23.511,23.511,101,0
2017-08-09,23.342,23.392,23.342,23.378,2468,0
2017-08-10,23.243,23.243,23.187,23.187,1517,0
2017-08-11,23.139,23.14,23.124,23.14,2342,0
2017-08-14,23.261,23.261,23.261,23.261,1007,0
2017-08-16,23.283,23.312,23.283,23.31,4109,0
2017-08-17,23.231,23.231,23.134,23.15,2981,0
2017-08-18,23.154,23.173,23.114,23.144,605,0
2017-08-21,23.159,23.163,23.143,23.15,3646,0
2017-08-22,23.273,23.273,23.247,23.247,29986,0
2017-08-23,23.271,23.302,23.243,23.282,43853,0
2017-08-24,23.268,23.268,23.251,23.251,201,0
2017-08-25,23.372,23.372,23.342,23.342,304,0
2017-08-28,23.362,23.372,23.312,23.357,10979,0
2017-08-29,23.337,23.351,23.337,23.351,409,0
2017-08-30,23.352,23.372,23.326,23.372,22936,0
2017-08-31,23.456,23.491,23.453,23.491,1015,0
2017-09-01,23.541,23.541,23.541,23.541,403,0
2017-09-05,23.451,23.471,23.403,23.404,3915,0
2017-09-06,23.531,23.531,23.521,23.531,4039,0
2017-09-07,23.58,23.58,23.531,23.571,20447,0
2017-09-12,23.65,23.67,23.626,23.67,3326,0
2017-09-13,23.66,23.66,23.65,23.65,662,0
2017-09-18,23.69,23.69,23.63,23.63,203,0
2017-09-20,23.68,23.68,23.68,23.68,101,0
2017-09-21,23.65,23.65,23.65,23.65,151,0
2017-09-22,23.63,23.63,23.622,23.63,4250,0
2017-09-25,23.555,23.57,23.555,23.57,300,0
2017-09-27,23.57,23.57,23.555,23.5563,6662,0
2017-09-28,23.62,23.62,23.574,23.5996,14375,0
2017-09-29,23.645,23.7,23.63,23.7,3677,0
2017-10-02,23.71,23.72,23.67,23.72,504,0
2017-10-03,23.78,23.8,23.7662,23.8,2202,0
2017-10-04,23.8,23.8,23.78,23.78,1776,0
2017-10-05,23.83,23.85,23.802,23.85,8623,0
2017-10-06,23.82,23.82,23.82,23.82,118,0
2017-10-10,23.845,23.845,23.831,23.831,453,0
2017-10-11,23.8623,23.91,23.8623,23.893,3173,0
2017-10-13,23.93,23.93,23.93,23.93,1200,0
2017-10-16,23.89,23.9227,23.83,23.9227,32369,0
2017-10-17,23.94,23.97,23.9275,23.97,2209,0
