Date,Open,High,Low,Close,Volume,OpenInt
1983-04-06,4.6127,4.6506,4.47,4.47,177909,0
1983-04-07,4.5078,4.5271,4.4509,4.4509,48789,0
1983-04-08,4.5078,4.5271,4.47,4.5271,156037,0
1983-04-11,4.6506,4.7649,4.5841,4.7649,145103,0
1983-04-12,4.7649,4.9169,4.7649,4.9169,114823,0
1983-04-13,4.9551,4.9834,4.9358,4.9834,100520,0
1983-04-14,4.9358,4.9358,4.8412,4.879,158142,0
1983-04-15,4.8412,4.8596,4.7266,4.7266,227964,0
1983-04-18,4.7362,4.8217,4.6791,4.8217,200621,0
1983-04-19,4.8217,4.879,4.7554,4.8596,108935,0
1983-04-20,4.8217,4.879,4.8217,4.8596,169497,0
1983-04-21,4.879,5.0119,4.8596,4.9738,340258,0
1983-04-22,4.9551,4.9551,4.8217,4.8596,136690,0
1983-04-25,4.7362,4.8217,4.6603,4.6603,184222,0
1983-04-26,4.6222,4.6985,4.5461,4.5649,179172,0
1983-04-27,4.5078,4.6222,4.3653,4.4033,201463,0
1983-04-28,4.47,4.5461,4.3843,4.4888,1008995,0
1983-04-29,4.5271,4.5649,4.47,4.5271,421434,0
1983-05-02,4.47,4.5461,4.3843,4.5461,147630,0
1983-05-03,4.3843,4.4414,4.3463,4.4033,225436,0
1983-05-04,4.4888,4.5461,4.4223,4.47,198101,0
1983-05-05,4.47,4.4888,4.4223,4.4223,97576,0
1983-05-06,4.4414,4.6791,4.4414,4.6603,549715,0
1983-05-09,4.6603,4.6791,4.603,4.6603,176228,0
1983-05-10,4.6408,4.6985,4.5649,4.5841,335212,0
1983-05-11,4.6222,4.6222,4.3843,4.47,662433,0
1983-05-12,4.4888,4.4888,4.4223,4.4223,476531,0
1983-05-13,4.4414,4.6791,4.4414,4.6408,391992,0
1983-05-16,4.603,4.603,4.5271,4.5649,185482,0
1983-05-17,4.603,4.6603,4.5461,4.5649,424376,0
1983-05-18,4.5841,4.603,4.5271,4.5649,193051,0
1983-05-19,4.5078,4.5461,4.3653,4.4033,167399,0
1983-05-20,4.4033,4.4223,4.2894,4.4223,153513,0
1983-05-23,4.3843,4.5461,4.3653,4.5461,203987,0
1983-05-24,4.5078,4.5841,4.4888,4.5078,272543,0
1983-05-25,4.5461,4.6603,4.5461,4.6603,388204,0
1983-05-26,4.6791,4.6791,4.5841,4.603,269177,0
1983-05-27,4.5649,4.5649,4.3843,4.4888,712482,0
1983-05-31,4.4033,4.4414,4.2132,4.2132,607333,0
1983-06-01,4.2132,4.3653,4.2132,4.3653,418068,0
1983-06-02,4.3843,4.47,4.2894,4.4033,455500,0
1983-06-03,4.4223,4.4888,4.3843,4.4033,187582,0
1983-06-06,4.4223,4.6791,4.4223,4.5841,397461,0
1983-06-07,4.6791,4.717,4.6222,4.6985,752860,0
1983-06-08,4.6222,4.7362,4.6222,4.6985,830246,0
1983-06-09,4.7744,4.9738,4.7744,4.9551,795336,0
1983-06-10,5.0119,5.0309,4.9931,5.0119,477371,0
1983-06-13,5.1069,5.1736,5.0691,5.1069,420169,0
1983-06-14,5.2118,5.5257,5.1736,5.3257,548031,0
1983-06-15,5.2498,5.2877,5.1357,5.2877,443301,0
1983-06-16,5.44,5.44,5.2498,5.3831,481577,0
1983-06-17,5.4208,5.44,5.3257,5.3831,243943,0
1983-06-20,5.4018,5.4683,5.3257,5.3637,247729,0
