Date,Open,High,Low,Close,Volume,OpenInt
2016-12-02,24.146,24.406,24.146,24.378,2441,0
2016-12-05,24.483,24.483,24.483,24.483,207,0
2016-12-06,24.483,24.483,24.483,24.483,0,0
2016-12-07,24.736,24.736,24.736,24.736,207,0
2016-12-08,24.736,24.736,24.736,24.736,0,0
2016-12-09,24.736,24.736,24.736,24.736,0,0
2016-12-12,25.875,25.875,24.841,24.879,1327,0
2016-12-13,24.879,24.879,24.879,24.879,0,0
2016-12-14,25.044,25.044,24.999,24.999,207,0
2016-12-15,24.999,24.999,24.999,24.999,0,0
2016-12-16,24.465,24.514,24.41,24.41,6972,0
2016-12-19,24.41,24.41,24.41,24.41,0,0
2016-12-20,24.41,24.41,24.41,24.41,0,0
2016-12-21,24.538,24.538,24.514,24.514,209,0
2016-12-22,24.405,24.416,24.339,24.339,6128,0
2016-12-23,24.582,24.59,24.464,24.464,2834,0
2016-12-27,24.59,24.59,24.59,24.59,1018,0
2016-12-28,24.59,24.59,24.59,24.59,0,0
2016-12-29,24.64,24.64,24.64,24.64,721,0
2016-12-30,24.833,24.833,24.707,24.707,4381,0
2017-01-03,24.891,24.891,24.766,24.795,7237,0
2017-01-04,24.795,24.795,24.795,24.795,0,0
2017-01-05,25.047,25.047,25.047,25.047,4057,0
2017-01-06,25.144,25.144,25.109,25.109,2510,0
2017-01-09,25.077,25.163,25.077,25.126,1200,0
2017-01-10,25.115,25.115,25.115,25.115,206,0
2017-01-11,25.246,25.246,25.246,25.246,309,0
2017-01-12,25.246,25.246,25.246,25.246,0,0
2017-01-13,25.318,25.327,25.318,25.327,463,0
2017-01-17,25.736,25.736,25.363,25.435,3802,0
2017-01-18,25.358,25.358,25.269,25.289,3909,0
2017-01-19,25.289,25.289,25.289,25.289,0,0
2017-01-20,25.299,25.299,25.148,25.148,1093,0
2017-01-23,25.279,25.348,25.221,25.342,3294,0
2017-01-24,25.425,25.454,25.355,25.425,8878,0
2017-01-25,25.367,26.084,25.322,25.396,3734,0
2017-01-26,25.241,25.269,25.196,25.221,4949,0
2017-01-27,25.221,25.29,25.221,25.281,2514,0
2017-01-30,26.249,26.249,25.202,25.202,3435,0
2017-01-31,25.22,25.22,25.22,25.22,239,0
2017-02-01,25.251,25.319,25.221,25.309,1919,0
2017-02-02,25.299,25.309,25.264,25.309,2334,0
2017-02-03,25.998,25.998,25.532,25.532,6701,0
2017-02-06,25.221,25.299,25.221,25.299,773,0
2017-02-07,25.348,25.348,25.237,25.237,1036,0
2017-02-08,25.493,25.532,25.455,25.472,4357,0
2017-02-09,25.61,25.629,25.61,25.629,328,0
2017-02-10,25.58,25.619,25.58,25.619,1844,0
2017-02-13,25.89,25.89,25.89,25.89,0,0
2017-02-14,25.493,25.493,25.493,25.493,257,0
2017-02-15,25.493,25.493,25.493,25.493,0,0
2017-02-16,25.493,25.493,25.493,25.493,0,0
2017-02-17,25.493,25.493,25.493,25.493,0,0
2017-02-21,25.493,25.493,25.493,25.493,0,0
2017-02-22,25.813,25.814,25.813,25.814,258,0
2017-02-23,25.92,25.92,25.92,25.92,450,0
2017-02-24,25.92,25.92,25.92,25.92,0,0
2017-02-27,25.778,25.778,25.778,25.778,119,0
2017-02-28,25.778,25.778,25.778,25.778,0,0
2017-03-01,25.778,25.778,25.778,25.778,0,0
2017-03-02,25.755,25.755,25.755,25.755,1031,0
2017-03-03,25.716,25.716,25.715,25.715,693,0
2017-03-06,25.746,25.746,25.633,25.633,2697,0
2017-03-07,25.633,25.633,25.633,25.633,0,0
2017-03-08,25.93,25.93,25.93,25.93,0,0
2017-03-09,25.93,25.93,25.93,25.93,0,0
2017-03-10,25.652,25.652,25.627,25.627,314,0
2017-03-13,25.627,25.627,25.627,25.627,0,0
2017-03-14,25.627,25.627,25.627,25.627,0,0
2017-03-15,25.702,26.075,25.664,26.075,1006,0
2017-03-16,25.989,25.989,25.989,25.989,103,0
2017-03-17,26.155,26.257,26.101,26.163,927,0
2017-03-20,26.589,26.589,26.217,26.257,713,0
2017-03-21,26.676,26.676,26.133,26.16,1430,0
2017-03-22,26.111,26.198,26.111,26.198,405,0
2017-03-23,26.267,26.267,26.267,26.267,103,0
2017-03-24,26.325,26.325,26.306,26.306,513,0
2017-03-27,26.452,26.452,26.452,26.452,103,0
2017-03-28,26.452,26.452,26.452,26.452,0,0
2017-03-29,26.579,26.579,26.579,26.579,298,0
2017-03-30,26.559,26.559,26.559,26.559,783,0
2017-04-03,26.463,26.482,26.462,26.482,4893,0
2017-04-05,26.657,26.657,26.559,26.559,410,0
2017-04-06,26.559,26.559,26.559,26.559,0,0
2017-04-07,26.446,26.452,26.446,26.452,561,0
2017-04-10,26.5,26.51,26.5,26.51,1246,0
2017-04-11,26.463,26.463,26.413,26.413,256,0
2017-04-12,26.413,26.413,26.413,26.413,0,0
2017-04-13,26.413,26.413,26.413,26.413,0,0
2017-04-17,26.413,26.413,26.413,26.413,0,0
2017-04-18,26.413,26.413,26.413,26.413,0,0
2017-04-19,26.521,26.521,26.52,26.52,1426,0
2017-04-20,26.637,26.637,26.627,26.627,1865,0
2017-04-21,26.627,26.627,26.627,26.627,0,0
2017-04-24,26.627,26.627,26.627,26.627,0,0
2017-04-25,26.933,26.933,26.933,26.933,769,0
2017-04-26,26.933,26.933,26.933,26.933,0,0
2017-04-27,26.901,26.901,26.901,26.901,141,0
2017-04-28,26.901,26.901,26.901,26.901,92,0
2017-05-01,26.901,26.901,26.901,26.901,0,0
2017-05-02,26.901,26.901,26.901,26.901,0,0
2017-05-03,27.495,27.495,27.495,27.495,118,0
2017-05-04,27.261,27.261,27.26,27.26,7367,0
2017-05-05,27.26,27.26,27.26,27.26,92,0
2017-05-08,27.71,27.71,27.71,27.71,0,0
2017-05-09,27.207,27.207,27.203,27.203,1898,0
2017-05-10,27.68,27.68,27.259,27.329,1739,0
2017-05-11,27.183,27.183,27.183,27.183,308,0
2017-05-12,27.395,27.395,27.395,27.395,267,0
2017-05-15,27.398,27.466,27.398,27.466,1651,0
2017-05-16,27.046,27.621,27.046,27.621,2045,0
2017-05-17,27.573,27.573,27.573,27.573,1950,0
2017-05-18,27.42,27.431,27.42,27.431,484,0
2017-05-19,27.797,27.797,27.614,27.68,1015,0
2017-05-22,27.855,27.865,27.826,27.865,1002,0
2017-05-23,27.933,28.304,27.933,28.216,4565,0
