Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,1.5515,1.5903,1.5515,1.5644,25988,0
2005-02-28,1.5709,1.5709,1.5451,1.5451,29391,0
2005-03-01,1.5709,1.5774,1.5515,1.558,34495,0
2005-03-02,1.5903,1.5903,1.5451,1.558,39291,0
2005-03-03,1.5644,1.5709,1.5451,1.558,36816,0
2005-03-04,1.558,1.5709,1.5451,1.5515,34805,0
2005-03-07,1.5515,1.5515,1.5451,1.5515,9591,0
2005-03-08,1.5451,1.5451,1.5321,1.5321,51666,0
2005-03-09,1.5321,1.5451,1.5127,1.5451,21811,0
2005-03-10,1.5127,1.5321,1.4869,1.5257,57389,0
2005-03-11,1.5257,1.5257,1.4675,1.4804,34031,0
2005-03-14,1.4739,1.5192,1.4675,1.5192,21656,0
2005-03-15,1.5192,1.5321,1.4675,1.5321,15159,0
2005-03-16,1.4869,1.5321,1.4675,1.5063,18872,0
2005-03-17,1.5257,1.5257,1.4675,1.4675,19800,0
2005-03-18,1.4675,1.5257,1.4675,1.4675,8663,0
2005-03-21,1.4675,1.4869,1.2865,1.3188,78581,0
2005-03-22,1.28,1.4804,1.28,1.4416,46716,0
2005-03-23,1.4416,1.5515,1.4416,1.5063,103331,0
2005-03-24,1.4869,1.5321,1.4416,1.5257,82913,0
2005-03-28,1.4804,1.5063,1.4545,1.5063,56152,0
2005-03-29,1.5063,1.5063,1.4545,1.4998,23977,0
2005-03-30,1.4481,1.5451,1.4416,1.4869,44550,0
2005-03-31,1.4675,1.5451,1.4545,1.4933,17789,0
2005-04-01,1.4416,1.4933,1.4028,1.4675,36042,0
2005-04-04,1.4481,1.4869,1.4352,1.4739,31866,0
2005-04-05,1.5063,1.5063,1.4222,1.4416,25833,0
2005-04-06,1.4028,1.4222,1.3382,1.4028,29236,0
2005-04-07,1.4416,1.4545,1.4028,1.4416,40064,0
2005-04-08,1.4352,1.4804,1.4158,1.461,20573,0
2005-04-11,1.4416,1.4675,1.4352,1.4545,10673,0
2005-04-12,1.4545,1.4869,1.4416,1.4675,5878,0
2005-04-13,1.4481,1.4545,1.4093,1.4416,18563,0
2005-04-14,1.4093,1.4675,1.4093,1.4352,9127,0
2005-04-15,1.4222,1.4416,1.4028,1.4416,14850,0
